A. Bover,1910,Prop,1,0,1,0,0,0,date unknown,g,n,i,s
A. Donelly,1910,Hooker,1,0,1,0,0,0,date unknown,g,n,i,s
Oswald Gebbie,1910,Centre,1,0,1,0,0,0,Florencia Varela,Argentina,9000,Chubut,Departamento Escalante
L.H. Gribbell,1910,Flanker,1,0,1,0,0,0,date unknown,g,n,i,s
Fairy Heatlie,1891,Forward,7,2,4,1,0,6,Cape Prov,g,n,i,s
F. Henrys,1910,Lock,1,0,1,0,0,0,date unknown,g,n,i,s
Frank Heriot,1910,Centre,1,0,1,0,0,0,Philippine,Nederland,4553,Nederland,Zeeland
W.H. Hyman,1910,Flanker,1,0,1,0,0,0,date unknown,g,n,i,s
C.J. MacCarthy,1910,Wing,1,0,1,0,1,3,date unknown,g,n,i,s
Carlos Mold,1910,Fly-half,1,0,1,0,0,0,date unknown,g,n,i,s
Alvan Reid,1910,Prop,1,0,1,0,0,0,date unknown,g,n,i,s
J.E. Saffery,1910,Fullback,1,0,1,0,0,0,date unknown,g,n,i,s
Frederick Sawyer,1910,Lock,1,0,1,0,0,0,Surrey,United Kingdom,England,South East,Surrey
Henry Talbot,1910,Wing,1,0,1,0,0,0,date unknown,g,n,i,s
Arnaldo Watson-Hutton,1910,Scrum-half,1,0,1,0,0,0,date unknown,g,n,i,s
W. Braddon,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Enrique Bustamante,1927,,4,0,4,0,0,0,date unknown,g,n,i,s
Ray Cameron,1927,,3,0,3,0,0,0,date unknown,g,n,i,s
Jorge Conrard,1927,,2,0,2,0,0,0,date unknown,g,n,i,s
Reginald Cooper,1927,,4,0,4,0,0,0,date unknown,g,n,i,s
Jose Cuesta Silva,1927,,4,0,4,0,0,0,date unknown,g,n,i,s
Antonio Hobson,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Fabio Lucioni,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Miguel McCormick,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Antonio Pasalagua,1927,,2,0,2,0,0,0,date unknown,g,n,i,s
Cesar Pollano,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Arturo Rodriguez Jurado,1927,,8,2,6,0,0,0,Buenos Aires,Argentina,CABA,Comuna 6,CABA
Rodolfo Serra,1927,,3,0,3,0,0,0,date unknown,g,n,i,s
Cesar Vazquez,1927,,3,0,3,0,0,0,date unknown,g,n,i,s
Alberto Zappa,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Martin Ayerra,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Roberto Botting,1927,,3,0,3,0,0,0,date unknown,g,n,i,s
G.E.F. Cooke,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Marco Hernandez,1927,,3,0,3,0,0,0,date unknown,g,n,i,s
A. Jacobs,1927,,2,0,2,0,0,0,date unknown,g,n,i,s
Carlos Reyes,1927,,3,0,3,0,0,0,date unknown,g,n,i,s
Alfredo Riganti,1927,,3,0,3,0,0,0,date unknown,g,n,i,s
Julian Sommer,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
C. Derkheim,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Norberto Escary,1927,,4,0,4,0,1,3,date unknown,g,n,i,s
Vicente Grimoldi,1927,,2,0,2,0,0,0,date unknown,g,n,i,s
Llewellyn Makin,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
Francisco Torino,1927,,2,0,2,0,0,3,date unknown,g,n,i,s
Salvador Muller,1927,,1,0,1,0,0,0,date unknown,g,n,i,s
J. Bridger,1932,,1,0,1,0,0,0,date unknown,g,n,i,s
Ernesto Cilley,1932,,2,0,2,0,0,0,date unknown,g,n,i,s
K.A.M. Cookson,1932,,1,0,1,0,0,0,date unknown,g,n,i,s
Roberto de Abelleyra,1932,,2,0,2,0,0,0,date unknown,g,n,i,s
Carlos Echeverria,1932,,1,0,1,0,0,0,date unknown,g,n,i,s
Jumbo Francombe,1932,,3,0,3,0,0,0,date unknown,g,n,i,s
Carlos Huntley-Robertson,1932,,2,0,2,0,0,0,date unknown,g,n,i,s
Harald Maurer,1932,,2,0,2,0,0,0,date unknown,g,n,i,s
