['Apimeleki Amaraki', '1924', '', '8', '3', '4', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Kuruka Bogiwalu', '1924', 'Flanker', '7', '3', '3', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Viliame Devo', '1924', 'Wing', '5', '2', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Esava Kobiti', '1924', 'Fullback', '8', '3', '4', '1', '0', '5', 'date unknown', 'g', 'n', 'i', 's']
['Jioji Koroibanuve', '1924', '', '6', '2', '3', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Samisoni Koroitamudu', '1924', '', '5', '2', '2', '1', '0', '8', 'date unknown', 'g', 'n', 'i', 's']
['Atunaisa Laqeretabua', '1924', 'Lock', '19', '11', '6', '2', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Filimone Masivulo', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Lepani Matea', '1924', '', '5', '2', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Fereti Naceba', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Sairusi Natuna', '1924', 'Wing', '9', '4', '4', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Aloesi Qio', '1924', 'Fullback', '8', '3', '4', '1', '0', '7', 'date unknown', 'g', 'n', 'i', 's']
['Lepani Tamani', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Savenaca Tamanibeka', '1924', 'Centre', '10', '4', '5', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Isikeli Taukei', '1924', 'Wing', '7', '2', '4', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Kemueli Tolili', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Nalovu Tubutubu', '1924', 'Utility back', '5', '2', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Solomone Tuicakau', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Ilaisa Tulele', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Ulaiasi Vosabalavu', '1924', 'Wing', '5', '2', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Kitione Kida', '1926', 'Fly-half', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Rafaele Kuruisiga', '1926', 'Scrum-half', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Osea Nabavu', '1926', 'Scrum-half', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Kinivuai Nabili', '1926', 'Lock', '5', '3', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Apenisa Nayacalagilagi', '1926', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Saimone Rabici', '1926', 'Forward', '5', '2', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Pita Ravaga', '1926', 'Prop', '6', '3', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Manasa Seniloli', '1926', 'Centre', '7', '3', '4', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Taniela Uluiviti', '1926', 'Forward', '6', '2', '4', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Semi Vakarua', '1926', 'Forward', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Jese Baleiwei', '1926', 'Flanker', '9', '5', '4', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Tevita Seniloli', '1926', 'Forward', '5', '3', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Delana', '1926', '', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Livai', '1926', '', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Poasa Waqa', '1926', 'Utility back', '10', '7', '3', '0', '3', '9', 'date unknown', 'g', 'n', 'i', 's']
['Josefa Bibi', '1928', '', '4', '2', '2', '0', '0', '15', 'date unknown', 'g', 'n', 'i', 's']
['Isikeli Cawa', '1928', 'Centre', '11', '7', '3', '1', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Avaiata Durusolo', '1928', '', '3', '2', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Anare Mara', '1928', 'Wing', '4', '2', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Saimone Matasarasara', '1928', '', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Joeli Ravai', '1928', 'Scrum-half', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Manasa Ravai', '1928', '', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Epeli Ravouvou', '1928', 'Lock', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Veresi Taliqa', '1928', '', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Jo Waqa', '1928', 'Fly-half', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Asela Batikaciwa', '1932', 'Scrum-half', '6', '5', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Aseri Bose', '1932', 'Prop', '6', '5', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Vula Daunibau', '1932', 'No. 8', '3', '3', '0', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Isikeli Daveta', '1932', 'Wing', '6', '5', '1', '0', '6', '18', 'date unknown', 'g', 'n', 'i', 's']
['Alifereti Koroi', '1932', 'Wing', '4', '3', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Akuila Matanibukaca', '1932', 'Lock', '6', '5', '1', '0', '2', '19', 'date unknown', 'g', 'n', 'i', 's']
['Sakeasi Rabitu', '1932', 'Flanker', '6', '5', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Joape Suluaqalo', '1932', 'Hooker', '3', '3', '0', '0', '3', '9', 'date unknown', 'g', 'n', 'i', 's']
['Sunia Tubuna', '1932', 'Fullback', '3', '3', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Peni Tuidraki', '1932', 'Fly-half', '3', '3', '0', '0', '0', '4', 'date unknown', 'g', 'n', 'i', 's']
['Vilitati Vavaitamana', '1932', 'Lock', '10', '7', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Samu Baravilala', '1934', 'Fly-half', '7', '5', '2', '0', '3', '42', 'circa 1915', 'Per\xc3\xba', 'Tacna', 'Candarave', 'Circa']
['Sairusi Bola', '1934', 'Lock', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Isoa Gavidi', '1934', 'Fullback', '4', '2', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Seru Ralawa', '1934', 'Utility back', '7', '4', '2', '1', '2', '14', 'date unknown', 'g', 'n', 'i', 's']
['Raiwalui Seniloli', '1934', 'Prop', '3', '2', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Eroni Vavaitamana', '1934', 'Flanker', '3', '2', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Vilisi Nadaku', '1934', 'Lock', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Jone Wesele', '1934', 'Scrum-half', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Peni Sailasa', '1934', 'Flanker', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Ratu Dovi', '1938', 'Fly-half', '3', '1', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Atunaisa Kororua', '1938', 'Scrum-half', '3', '1', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Vetaia Naisoro', '1938', 'Prop', '3', '1', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Solomone Qurai', '1938', 'Lock', '4', '2', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Ulaiasi Radike', '1938', 'Fly-half', '3', '1', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Apakuki Tuitavua', '1938', 'Lock', '16', '8', '7', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Esava Vavaitamana', '1938', 'Prop', '8', '4', '3', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Josaia Voreqe', '1938', 'Wing', '5', '3', '1', '1', '3', '9', 'date unknown', 'g', 'n', 'i', 's']
['Tomasi Vosaicake', '1938', 'Hooker', '4', '2', '1', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Isireli Korovulavula', '1938', 'Fullback', '3', '2', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Isimeli Wea', '1938', 'Lock', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
