Henri Amand,1906,Fly-half,1,0,1,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Albert Branlat,1906,"Lock, Prop",3,0,3,0,0,2,Saint-Vivien-de-Medo,g,n,i,s
Noel Cessieux,1906,No. 8,1,0,1,0,1,3,Andance,France,07340,France métropolitaine,Rhône-Alpes
Marcel Communeau,1906,"Lock, No. 8, Wing",21,1,20,0,3,9,Beauvais,France,60000,France métropolitaine,Picardie
William Crichton,1906,Fullback,2,0,2,0,0,0,Cockermouth,United Kingdom,England,North West England,Cumbria
Paul Dedeyn,1906,Hooker,1,0,1,0,0,0,Moulineaux,France,76530,France métropolitaine,Haute-Normandie
Jacques Dufourcq,1906,"Flanker, Lock",4,0,4,0,0,0,Salies-de-Bearn,France,64270,France métropolitaine,Aquitaine
Georges Jerome,1906,Lock,2,0,2,0,1,3,Cayenne,France,97300,Guyane,Cayenne
Henri Lacassagne,1906,Scrum-half,2,0,2,0,0,0,Viella,France,65120,France métropolitaine,Midi-Pyrénées
Gaston Lane,1906,"Centre, Wing",16,1,15,0,1,3,Paris,France,France métropolitaine,Île-de-France,Paris
Henri Levee,1906,Centre,1,0,1,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Allan Muhr,1906,"Prop, Lock",3,0,3,0,2,6,United States,United States of America,Missing,Missing,Missing
Augustin Pujol,1906,Wing,1,0,1,0,0,2,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine,Midi-Pyrénées
Paul Sagot,1906,"Wing, Centre",3,0,3,0,1,5,Dijon,France,21000,France métropolitaine,Bourgogne
Andre Verges,1906,"Prop, Lock",3,0,3,0,0,0,?,g,n,i,s
Pierre Gaudermen,1906,No. 8,1,0,1,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Albert Hubert,1906,Fly-half,7,0,7,0,0,0,Noisy-le-Sec,France,93130,France métropolitaine,Île-de-France
Emile Lesieur,1906,"Wing, Centre",12,0,12,0,2,6,Paris,France,France métropolitaine,Île-de-France,Paris
Ernest Lewis,1906,Centre,1,0,1,0,0,0,Cardiff,United Kingdom,Wales,Cardiff,Missing
Paul Maclos,1906,"Wing, Centre, Flanker",2,0,2,0,0,7,Amazy,France,58190,France métropolitaine,Bourgogne
G. Maurin,1906,Flanker,1,0,1,0,0,0,?,g,n,i,s
Theodore Varvier,1906,"Centre, Fly-half, Fullback",6,0,6,0,0,0,Lyon,France,France métropolitaine,Rhône-Alpes,Métropole de Lyon
Charles Beaurin-Gressier,1907,"No. 8, Prop",2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Marc Giacardy,1907,"Halfback, Fly-half, Flanker",1,0,1,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine,Aquitaine
Henri Isaac,1907,Fullback,2,0,2,0,0,0,Guadeloupe,France,Guadeloupe,Missing,Missing
Henri Martin,1907,"Fullback, Centre",2,0,2,0,0,0,Cayenne,France,97300,Guyane,Cayenne
Paul Mauriat,1907,"Hooker, Lock, Prop",19,1,18,0,1,5,Neuville-sur-Saone,France,69250,France métropolitaine,Rhône-Alpes
A. Poirier,1907,Hooker,1,0,1,0,0,0,?,g,n,i,s
Charles Vareilles,1907,Wing,5,0,5,0,0,4,Saigon,Việt Nam,Đông Nam Bộ,Thành phố Hồ Chí Minh,Missing
Georges Borchard,1908,"Hooker, Lock, Flanker",5,0,5,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine,Aquitaine
Rene Duval,1908,"Flanker, Fly-half",6,0,6,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Pierre Guillemin,1908,"Prop, Lock",11,1,10,0,1,3,Bonnevaux,France,30450,France métropolitaine,Languedoc-Roussillon
Alfred Mayssonnie,1908,"Scrum-half, Fly-half",3,0,3,0,0,0,Lavernose,France,31410,France métropolitaine,Midi-Pyrénées
Henri Moure,1908,Flanker,1,0,1,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine,Aquitaine
Rene von Malmann,1908,"Lock, Prop",7,0,7,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Maurice Leuvielle,1908,"Centre, Lock, No. 8",7,0,7,0,0,0,Saint-Loubes,France,33450,France métropolitaine,Aquitaine
Alphonse Masse,1908,"Flanker, Lock",7,0,7,0,0,0,Saint-Christophe-de-,France,38520,France métropolitaine,Rhône-Alpes
Jean Caujolle,1909,Fullback,5,0,5,0,0,0,Saint-Girons,France,09200,France métropolitaine,Midi-Pyrénées
Georges Fourcade,1909,Hooker,2,0,2,0,0,0,Saint-Pierre-sur-Dro,g,n,i,s
Henri Houblain,1909,Centre,2,0,2,0,0,0,?,g,n,i,s
Jules Icard,1909,Lock,2,0,2,0,0,0,?,g,n,i,s
Andre Theuriet,1909,Scrum-half,5,0,5,0,0,0,Lyon,France,France métropolitaine,Rhône-Alpes,Métropole de Lyon
