John Arthur,1871,Halfback,2,1,1,0,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
William Brown,1871,Fullback,5,1,2,2,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Angus Buchanan,1871,Forward,1,1,0,0,1,NA,Inverary,Canada,Ontario,Inverary,Missing
Tom Chalmers,1871,Fullback,6,1,3,2,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Alfred Clunies-Ross,1871,Fullback,1,1,0,0,0,NA,Cocos Islands,124,07157,Illes Balears,Serra de Tramuntana
Andrew Colville,1871,Forward,2,1,1,0,0,NA,Edinburgh,United Kingdom,Scotland,City of Edinburgh,Missing
William Cross,1871,Halfback,2,1,1,0,1,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Daniel Drew,1871,Forward,2,1,1,0,0,NA,Dunoon,United Kingdom,Scotland,Argyll and Bute,Dunoon
Jim Finlay,1871,Forward,4,1,2,1,1,NA,Edinburgh,United Kingdom,Scotland,City of Edinburgh,Missing
William Forsyth,1871,Forward,1,1,0,0,0,NA,Ross,United States of America,Ohio,Ross County,Missing
Bulldog Irvine,1871,Forward,13,5,4,4,1,NA,Blair Atholl,United Kingdom,Scotland,Perth and Kinross,Blair Atholl
William Lyall,1871,Forward,1,1,0,0,0,NA,St Cuthbert's,United Kingdom,England,North West England,Lancashire
John MacFarlane,1871,Forward,3,1,1,1,0,NA,Montego Bay,Jamaica,Cornwall County,Saint James,Montego Bay
Thomas Marshall,1871,Three-quarters,4,1,2,1,0,NA,NHumb,g,n,i,s
James Mein,1871,Forward,5,1,2,2,0,NA,Jedburgh,United Kingdom,Scotland,Scottish Borders,Jedburgh
Francis Moncreiff,1871,Forward,3,1,1,1,0,NA,Midlothian,United Kingdom,Scotland,Midlothian,Missing
Robert Munro,1871,Forward,1,1,0,0,0,NA,?,g,n,i,s
George Ritchie,1871,Forward,1,1,0,0,0,NA,Edinburgh,United Kingdom,Scotland,City of Edinburgh,Missing
Alexander Robertson,1871,Forward,1,1,0,0,0,NA,Ayr,United Kingdom,Scotland,South Ayrshire,Ayr
John Thomson,1871,Forward,1,1,0,0,0,NA,?,g,n,i,s
John Anderson,1872,Forward,1,0,1,0,0,NA,Edinburgh,United Kingdom,Scotland,City of Edinburgh,Missing
Leslie Balfour-Melville,1872,Fullback,1,0,1,0,0,NA,Edinburgh,United Kingdom,Scotland,City of Edinburgh,Missing
Edward Bannerman,1872,Forward,2,0,1,1,0,NA,Aberdeenshire,United Kingdom,Scotland,Aberdeenshire,Missing
Charles Cathcart,1872,Forward,3,0,2,1,0,NA,Edinburgh,United Kingdom,Scotland,City of Edinburgh,Missing
James McClure,1872,Forward,1,0,1,0,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Reginald Maitland,1872,Three-quarters,1,0,1,0,0,NA,Hants,Canada,Nova Scotia,Hants County,Missing
William Marshall,1872,Forward,1,0,1,0,0,NA,?,g,n,i,s
Frederick Maxwell,1872,Forward,1,0,1,0,0,NA,Devonport,Australia,7310,Tasmania,Devonport
Henry Renny-Tailyour,1872,Forward,1,0,1,0,0,NA,Mussorrie,g,n,i,s
Henry Allan,1873,Forward,1,0,0,1,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Peter Anton,1873,Forward,1,0,0,1,0,NA,Errol,United States of America,New Hampshire,Coös County,Errol
Charles Bryce,1873,Forward,2,0,1,1,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
John Davidson,1873,Forward,2,0,1,1,0,NA,Banchory,United Kingdom,Scotland,Aberdeenshire,Banchory
William Grant,1873,Halfback,2,0,1,1,0,NA,Bengal,United States of America,Minnesota,Itasca,Bengal
George McClure,1873,Three-quarters,1,0,0,1,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Alexander Petrie,1873,Forward,11,4,3,4,0,NA,Birkenhead,United Kingdom,England,North West England,Birkenhead
James Sanderson,1873,Fullback,1,0,0,1,0,NA,Madras,India,600001,Tamil Nadu,Chennai
Tom Whittington,1873,Forward,1,0,0,1,0,NA,Neath,United Kingdom,Wales,West Glamorgan,Neath
Robert Wilson,1873,Forward,2,0,1,1,0,NA,?,g,n,i,s
Alexander Wood,1873,Forward,3,0,1,2,0,NA,Kincardin,Sierra Leone,Western Area,Western Area Urban,Freetown
Hugh Hamilton,1874,Three-quarters,2,0,1,1,0,NA,New South Wales,Australia,New South Wales,Missing,Missing
Gilbert Heron,1874,Forward,2,0,1,1,0,NA,?,g,n,i,s
William Kidston,1874,Three-quarters,1,0,1,0,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Tom Neilson,1874,Forward,1,0,1,0,0,NA,?,g,n,i,s
James Reid,1874,Forward,5,2,2,1,1,NA,?,g,n,i,s
Alexander Stewart,1874,Halfback,2,0,2,0,0,NA,Bombay,India,Maharashtra,Greater Bombay,Mumbai
John Tod,1874,Forward,2,0,1,1,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Arthur Young,1874,Forward,1,0,1,0,0,NA,1855,Danmark,1855,Region Hovedstaden,Frederiksberg Kommune
Allan Arthur,1875,Forward,2,0,1,1,0,NA,?,g,n,i,s
Malcolm Cross,1875,Three-quarters,9,4,2,3,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
James Dunlop,1875,Forward,1,0,0,1,0,NA,?,g,n,i,s
Alec Finlay,1875,Forward,1,0,0,1,0,NA,?,g,n,i,s
Ninian Finlay,1875,Three-quarters,9,2,3,4,0,NA,Edinburgh,United Kingdom,Scotland,City of Edinburgh,Missing
George Fleming,1875,Forward,2,0,1,1,0,NA,Renfrew,United Kingdom,Scotland,Renfrewshire,Renfrew
John Gordon,1875,Halfback,3,2,0,1,0,NA,Clerkenwell,United Kingdom,England,Greater London,London
Arthur Marshall,1875,Forward,1,0,0,1,0,NA,?,g,n,i,s
Duncan Robertson,1875,Forward,1,0,0,1,0,NA,?,g,n,i,s
William Bolton,1876,Forward,1,0,1,0,0,NA,Stirling,United Kingdom,Scotland,Stirlingshire,Stirling
Nat Brewis,1876,Forward,6,2,2,2,0,NA,Nthb,g,n,i,s
James Carrick,1876,Fullback,2,1,1,0,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Gussie Graham,1876,Forward,10,4,3,3,1,NA,Middlebie,United Kingdom,Scotland,Dumfries and Galloway,Middlebie
John Junor,1876,Forward,6,2,2,2,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
David Lang,1876,Forward,2,1,1,0,0,NA,Paisley,United Kingdom,Scotland,Renfrewshire,Paisley
George Paterson,1876,Halfback,1,0,1,0,0,NA,Bangalore,India,560001,Karnataka,Bangalore Urban
Charles Villar,1876,Forward,3,2,1,0,0,NA,Cheltenham,United Kingdom,England,South West England,Gloucestershire
David Watson,1876,Forward,3,2,1,0,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Henry Johnston,1877,Fullback,2,2,0,0,0,NA,Kirkwall,United Kingdom,Scotland,Orkney,Kirkwall
Robert Mackenzie,1877,Three-quarters,4,2,1,1,3,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Henry Napier,1877,Forward,5,3,0,2,0,NA,Glasgow,United Kingdom,G,Scotland,Glasgow City
Edward Pocock,1877,Three-quarters,2,2,0,0,1,NA,Clifton,United Kingdom,England,South West England,City of Bristol
