Jim Bevan,1881,Three-quarters,1,0,1,0,0,NA,Vic,Australia,Victoria,Missing,Missing
Godfrey Darbishire,1881,Forward,1,0,1,0,0,NA,Lancs,United Kingdom,S6 3TB,England,Yorkshire and the Humber
Barry Girling,1881,Forward,1,0,1,0,0,NA,Bristol,United Kingdom,England,South West England,City of Bristol
George Harding,1881,Forward,4,1,3,0,0,NA,Lancs,United Kingdom,S6 3TB,England,Yorkshire and the Humber
Edward Lewis,1881,Halfback,1,0,1,0,0,NA,Llandovery,United Kingdom,Wales,Carmarthenshire,Llandovery
Bathurst Mann,1881,Forward,1,0,1,0,0,NA,The Curragh,United Kingdom,Northern Ireland,County Antrim,Cushendun
Charlie Newman,1881,Halfback,10,1,7,2,0,NA,Newport,United Kingdom,NP,Wales,Monmouthshire
Edward Peake,1881,Three-quarters,1,0,1,0,0,NA,Monmouth,United Kingdom,NP25,Wales,Monmouthshire
William Phillips,1881,Forward,5,2,3,0,0,NA,Cardiff,United Kingdom,Wales,Cardiff,Missing
Frank Purdon,1881,Forward,4,1,3,0,0,NA,Co Westmeath,Republic of Ireland,Leinster,County Westmeath,Missing
Aneurin Rees,1881,Forward,1,0,1,0,0,NA,Llandovery,United Kingdom,Wales,Carmarthenshire,Llandovery
Richard Summers,1881,Fullback,1,0,1,0,0,NA,Haverfordwest,United Kingdom,Wales,Pembrokeshire,Haverfordwest
Edward Treharne,1881,Forward,2,0,2,0,0,NA,Ystradyfodwg,g,n,i,s
Leonard Watkins,1881,Halfback,1,0,1,0,0,NA,Abergavenny,United Kingdom,NP7,Wales,Monmouthshire
Richard Williams,1881,Forward,1,0,1,0,0,NA,Llowes,United Kingdom,Wales,Powys,Llowes
Thomas Baker-Jones,1882,Forward,6,1,4,1,1,NA,Newport,United Kingdom,NP,Wales,Monmouthshire
Ronald Bridie,1882,Halfback,1,1,0,0,1,NA,-,g,n,i,s
Tom Clapp,1882,Forward,14,4,8,2,2,NA,Marylebon,g,n,i,s
Samuel Clark,1882,Fullback,2,2,0,0,0,NA,Weymouth,United Kingdom,England,South West England,Dorset
Bill Evans,1882,Three-quarters,2,1,1,0,1,NA,Rhymney,United Kingdom,NP22,Wales,Monmouthshire
Bob Gould,1882,Forward,11,2,7,2,0,NA,Newport,United Kingdom,NP,Wales,Monmouthshire
Charles Lewis,1882,Fullback,5,1,4,0,0,NA,Llangadog,United Kingdom,Wales,Carmarthenshire,Llangadog
George Morris,1882,Forward,5,1,4,0,0,NA,Swansea,United Kingdom,Wales,West Glamorgan,Swansea
William Norton,1882,Three-quarters,6,2,4,0,1,NA,Carmarthen,United Kingdom,Wales,Carmarthenshire,Carmarthen
Hugh Vincent,1882,Forward,1,1,0,0,0,NA,Caernarfon,United Kingdom,Wales,Gwynedd,Caernarfon
Tom Williams,1882,Forward,1,1,0,0,0,NA,Llwynypia,United Kingdom,Wales,Rhondda Cynon Taf,Llwynypia
Harry Bowen,1882,Fullback,4,0,3,1,0,NA,Llanelly,Australia,Victoria,Loddon Mallee,Shire of Loddon
Alfred Cattell,1882,Forward,2,0,2,0,0,NA,Rutland,United Kingdom,England,East Midlands,Rutland
James Clare,1882,Three-quarters,1,0,1,0,0,NA,London,United Kingdom,England,Greater London,London
Dai Gwyn,1882,Centre,6,1,4,1,0,0,Swansea,United Kingdom,Wales,West Glamorgan,Swansea
Thomas Judson,1882,Forward,2,0,2,0,1,NA,Lancs,United Kingdom,S6 3TB,England,Yorkshire and the Humber
John Griffin,1883,Forward,1,0,1,0,0,NA,Southampton,United Kingdom,England,South East,Southampton
Arthur Jones,1883,Forward,1,0,1,0,0,NA,Risca,United Kingdom,NP11,Wales,Monmouthshire
Horace Lyne,1883,Forward,5,1,4,0,0,NA,Newport,United Kingdom,NP,Wales,Monmouthshire
