Bcountry,Bcountry1,Bcountry2,Bcountry3,BirthMonth,BirthYear,City,Debut,Draws,Losses,Matches,Name,Points,Position,Tries,Wins,Team,Links
United Kingdom,Derbyshire,Missing,Missing,circa 1847,Derbyshire,Derbyshire,1871,0.0,1.0,2.0,John Bentley,,Halfback,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/232.html
United Kingdom,England,Greater London,London,March 28,1849,London,1871,1.0,1.0,4.0,Reginald Birkett,,Forward,1.0,2.0,England,http://www.espnscrum.com/england/rugby/player/233.html
Australia,Western Australia,Perth,Missing,May 28,1848,Perth,1871,0.0,1.0,1.0,Benjamin Burns,,Forward,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/236.html
United Kingdom,England,North West England,Liverpool,August 24,1848,Liverpool,1871,0.0,1.0,1.0,John Clayton,,Forward,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/238.html
Ireland,Munster,County Cork,Cork,October 21,1848,Cork,1871,0.0,1.0,1.0,Charles Crompton,,Forward,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/241.html
United Kingdom,England,South East,Oxon,May 5,1849,Oxford,1871,0.0,1.0,1.0,Alfred Davenport,,Forward,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/243.html
United Kingdom,England,North West England,Greater Manchester,October 15,1851,Salford,1871,0.0,1.0,1.0,John Dugdale,,Forward,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/245.html
United Kingdom,England,South East,Hampshire,July 14,1844,Hampshire,1871,0.0,1.0,1.0,Arthur Gibson,,Forward,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/248.html
United Kingdom,England,Greater London,London,April 28,1846,W Ham,1871,0.0,1.0,1.0,Joseph Green,,Halfback,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/249.html
United Kingdom,England,Greater London,London,December 18,1845,Lewisham,1871,0.0,1.0,2.0,Arthur Guillemard,,Fullback,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/250.html
United Kingdom,England,South East,Oxon,October 8,1848,Oxon,1871,1.0,1.0,4.0,Alfred Hamersley,,Forward,1.0,2.0,England,http://www.espnscrum.com/england/rugby/player/251.html
United Kingdom,England,South East,Kent,May 25,1848,Kent,1871,0.0,1.0,1.0,Harry Luscombe,,Forward,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/253.html
United Kingdom,England,North West England,Liverpool,August 4,1851,W Derby,1871,0.0,1.0,1.0,Arthur Lyon,,Fullback,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/255.html
United Kingdom,England,North West England,Lancs,(guess: regd Q2),Chorlton,Lancashire,1871,0.0,1.0,1.0,William MacLaren,,Three-quarters,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/257.html
Deutschland,10965,Berlin,Friedrichshain-Kreuzberg,May 20,1848,Yorks,1871,0.0,1.0,1.0,Richard Osborne,,Fullback,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/262.html
United Kingdom,England,Greater London,London,December 25,1848,London,1871,0.0,1.0,2.0,Charles Sherrard,,Forward,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/265.html
United Kingdom,England,East of England,Suffolk,July 12,1850,Greenwich,1871,1.0,1.0,3.0,Frederic Stokes,,Forward,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/266.html
United Kingdom,England,North West England,Liverpool,September 23,1849,Liverpool,1871,0.0,1.0,1.0,Frank Tobin,,Halfback,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/268.html
India,West Bengal,Kolkata,Missing,December 15,1846,Calcutta,1871,2.0,1.0,6.0,Dawson Turner,,Forward,0.0,3.0,England,http://www.espnscrum.com/england/rugby/player/269.html
United States of America,Virginia,Sussex,Missing,January 23,1850,Sussex,1871,0.0,1.0,1.0,Henry Turner,,Forward,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/270.html
United Kingdom,England,West Midlands,Herefordshire,May 18,1846,Hereford,1872,0.0,0.0,3.0,Thomas Batson,,Forward,0.0,3.0,England,http://www.espnscrum.com/england/rugby/player/274.html
United Kingdom,England,South East,Kent,September 3,1846,Kent,1872,1.0,0.0,2.0,James Body,,Forward,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/275.html
Australia,QLD,Cawnpore,Missing,July 28,1850,Cawnpore,1872,2.0,0.0,5.0,James Bush,,Forward,0.0,3.0,England,http://www.espnscrum.com/england/rugby/player/276.html
United Kingdom,England,South East,Kent,May 3,1849,Kent,1872,0.0,0.0,1.0,Frederick Currey,,Forward,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/278.html
United States of America,Minnesota,Itasca,Bengal,December 11,1849,Bengal,1872,0.0,0.0,1.0,Francis d'Aguilar,,Forward,1.0,1.0,England,http://www.espnscrum.com/england/rugby/player/279.html
United Kingdom,England,Greater London,London,September 8,1852,Marylebone,1872,1.0,0.0,2.0,Stephen Finney,,Halfback,1.0,1.0,England,http://www.espnscrum.com/england/rugby/player/280.html
France,14100,France métropolitaine,Normandie,January 15,1850,Glos,1872,1.0,0.0,3.0,Harold Freeman,,Three-quarters,0.0,2.0,England,http://www.espnscrum.com/england/rugby/player/281.html
United Kingdom,Berkshire,Missing,Missing,October 16,1852,Berkshire,1872,0.0,0.0,1.0,Francis Isherwood,,Forward,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/282.html
United Kingdom,England,South East,Surrey,November 23,1849,Surrey,1872,2.0,0.0,6.0,Frank Luscombe,,Forward,0.0,4.0,England,http://www.espnscrum.com/england/rugby/player/283.html
United Kingdom,GU1 4UT,England,South East,December 17,1850,Guildford,1872,1.0,0.0,3.0,James Mackinlay,,Forward,0.0,2.0,England,http://www.espnscrum.com/england/rugby/player/285.html
United Kingdom,England,South East,Surrey,May 5,1849,Chertsey,1872,1.0,0.0,2.0,Frederick Mills,,Fullback,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/289.html
Sint Maarten,Missing,Missing,Missing,November 14,1850,Sx,1872,0.0,0.0,1.0,William Moberly,,Fullback,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/290.html
United Kingdom,England,South East,Kent,March 24,1851,Gravesend,1872,0.0,0.0,1.0,Nipper Pinching,,Forward,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/291.html
United Kingdom,England,Greater London,London,December 16,1847,Hampstead,1872,0.0,0.0,1.0,Percy Wilkinson,,Halfback,0.0,1.0,England,http://www.espnscrum.com/england/rugby/player/293.html
United Kingdom,England,Greater London,London,March 16,1853,London,1873,1.0,0.0,1.0,Cecil Boyle,,Halfback,0.0,0.0,England,http://www.espnscrum.com/england/rugby/player/296.html
United States of America,Pennsylvania,Washington County,Hackney,October 24,1848,Hackney,1873,2.0,0.0,5.0,Ernest Cheston,,Forward,1.0,3.0,England,http://www.espnscrum.com/england/rugby/player/298.html
