Place,Name,Years,Tests,Matches,Number
"Auckland, New Zealand","Carter, George",1884,0,7,3
"Auckland, New Zealand","Lecky, John Gage",1884,0,7,6
"Blackheath, England","Robertson, George Scott",1884,0,8,11
"Calcutta, India","Braddon, Henry Yule",1884,0,7,2
"Castleisland, Ireland","O'Connor, Timothy Beehane",1884,0,7,8
"Christchurch, New Zealand","Helmore, George Henry Noble",1884,0,7,5
"Christchurch, New Zealand","Millton, Edward Bowler",1884,0,7,16
"Christchurch, New Zealand","Millton, William Varnham",1884,0,8,7
"Greytown, New Zealand","Udy, Hart",1884,0,8,14
"Liverpool, England","Dumbell, John Thomas",1884,0,5,4
"London, England","Ryan, Thomas",1884,0,9,12
"Otakou, New Zealand","Taiaroa, John Grey",1884,0,9,13
"Piltdown, Ireland","O'Donnell, James",1884,0,7,9
"Rotorua, New Zealand","Warbrick, Jospeh Astbury",1884,0,7,17
"Taieri, New Zealand","Allan, James",1884,0,8,1
"Unknown, New Zealand","Wilson, Robert J.",1884,0,6,18
"Wellington, New Zealand","Davy, Edwin",1884,0,3,19
"Wellington, New Zealand","Roberts, Henry",1884,0,7,10
"Wellington, New Zealand","Webb, Peter Purves",1884,0,8,15
"Auckland, New Zealand","Jervis, Francis Mahon",1893,0,10,26
"Auckland, New Zealand","McKenzie, Robert Hugh",1893,0,2,44
"Auckland, New Zealand","Speight, Charles Richard Barton",1893,0,7,32
"Auckland, New Zealand","Wynyard, William Thomas",1893,0,7,34
"Calcutta, India","Herrold, Maurice",1893,0,2,36
"Hillend, New Zealand","Wilson, Henry Clarke",1893,0,7,40
"Hutt, New Zealand","Pringle, Walter Peter",1893,0,5,30
"Masterton, New Zealand","Gray, Roderick",1893,0,2,43
"Nelson, New Zealand","Harper, George",1893,0,3,41
"Nelson, New Zealand","Shannon, Graham",1893,0,6,31
"Oamaru, New Zealand","Gardner, John Henry",1893,0,4,25
"Omahu, New Zealand","Tiopira, Hoeroa",1893,0,8,33
"Otakou, New Zealand","Ellison, Thomas Rangiwahia",1893,0,7,23
"Scotland, New Zealand","Stuart, Angus John",1893,0,7,38
"Timaru, New Zealand","Macintosh, Charles Nicholson",1893,0,4,39
"Urenui, New Zealand","Good, Alan",1893,0,4,42
"Wainuiomata, New Zealand","Mowlem, John",1893,0,4,37
"Christchurch, New Zealand","Cooke, Alfred Ernest",1894,0,1,49
"Kaiapoi, New Zealand","Balch, William",1894,0,1,47
"Kaiapoi, New Zealand","Maber, George",1894,0,1,53
"Mercury Bay, New Zealand","Swindley, John Tila",1894,0,1,55
"Patea, New Zealand","Hughes, Daniel John",1894,0,1,51
"Pigeon Bay, New Zealand","Stewart, David Taylor",1894,0,1,54
"Urenui, New Zealand","Good, Hugh Maurice",1894,0,1,50
"Waitara, New Zealand","Bayly, Walter",1894,0,1,48
"Wolverhampton, England","Humphreys, George William",1894,0,1,52
"Christchurch, New Zealand","Kerr, Alexander",1896,0,1,58
"Glenorchy, Australia","Young, Francis Beresford",1896,0,1,66
"Invercargill, New Zealand","McRobie, Nisbet",1896,0,1,60
"Riccarton, New Zealand","Frost, Harry",1896,0,1,57
"Rochdale, England","Watson, James Donald",1896,0,1,65
"Thames, New Zealand","Surman, Frank",1896,0,1,64
"Wanganui, New Zealand","McDonnell, Peter",1896,0,1,59
"Auckland, New Zealand","Handcock, Robert Alexander",1897,0,8,70
"Auckland, New Zealand","Wilson, Alexander",1897,0,8,79
"Christchurch, New Zealand","Brooker, Frank Jenner",1897,0,4,77
"Christchurch, New Zealand","Harris, William Albert",1897,0,9,72
"Inverkeithing, Scotland","Armit, Alexander McNaughton",1897,0,9,76
"New Plymouth, New Zealand","Wells, William John Geddes",1897,0,7,75
"Timaru, New Zealand","Mills, Hugh Parsons",1897,0,8,80
"Unknown, New Zealand","Glennie, Ernest",1897,0,6,78
"Wanganui, New Zealand","Blair, John Alexander",1897,0,9,67
"Wellington, New Zealand","Calnan, Joseph John",1897,0,9,68
"Wellington, New Zealand","Hardcastle, William Robert",1897,0,7,71
"Christchurch, New Zealand","Drake, Walter Augustus",1901,0,1,93
"Dunedin, New Zealand","Burt, John Robert",1901,0,1,81
"India, India","O'Dowda, Bernard Clement",1901,0,2,88
"Marsden, New Zealand","O'Brien, John",1901,0,1,87
