Name,Debut,Number
Opai Asher,1903,95
Reuben Cooke,1903,96
Jimmy Duncan,1903,69
Bernard Fanning,1903,108
David Gallaher,1903,97
Mickey Kiernan,1903,99
Paddy Long,1903,100
Duncan McGregor,1903,101
Dick McGregor,1903,86
Archie McMinn,1903,102
George Nicholson,1903,103
Bubs Tyler,1903,106
Daniel Udy,1903,90
Carbine Wallace,1903,107
Maurice Wood,1903,91
Tom Cross,1904,92
Billy Glenn,1904,111
Eric Harper,1904,112
Peter Harvey,1904,113
Paddy McMinn,1904,114
Bronco Seeling,1904,115
Billy Stead,1904,105
Rob Bennet,1905,132
Jerry Burgess,1905,133
Ernie Dodd,1905,83
Bolla Francis,1905,134
Colin Gilray,1905,135
Donald Macpherson,1905,136
Charles Purdue,1905,89
Pat Purdue,1905,137
Bill Smith,1905,138
John Spencer,1905,110
Hubert Turtill,1905,139
Eric Watkins,1905,140
Edgar Wrigley,1905,141
Steve Casey,1905,116
Bill Cunningham,1905,82
Bob Deans,1905,129
George Gillett,1905,126
Francis Glasgow,1905,117
Jimmy Hunter,1905,118
Alex McDonald,1905,128
Jimmy O'Sullivan,1905,122
Fred Roberts,1905,123
George Smith,1905,74
Simon Mynott,1905,120
Fred Newton,1905,121
Bunny Abbott,1906,130
Ernest Booth,1906,127
Bill Mackrell,1906,131
Ginger Colman,1907,142
Frank Fryer,1907,143
Ned Hughes,1907,144
Massa Johnston,1907,119
Frank Mitchinson,1907,145
Don Cameron,1908,150
Mona Thomson,1908,124
Ranji Wilson,1908,151
Paddy Burns,1908,152
Doddy Gray,1908,153
Don Hamilton,1908,154
Peter Murray,1908,155
Sandy Paterson,1908,156
Bill Reedy,1908,157
Circus Hayward,1908,158
Henry Avery,1910,170
William Fuller,1910,162
Gerald McKellar,1910,167
James Maguire,1910,168
Joe O'Leary,1910,163
Henry Paton,1910,148
Jimmy Ridland,1910,164
Jack Stohr,1910,165
Dave Evans,1910,161
Billy Mitchell,1910,171
James Ryan,1910,169
Harry Atkinson,1913,173
Jock Cuthill,1913,174
Norkey Dewar,1913,175
Doolan Downing,1913,176
Tiger Lynch,1913,177
Dougie McGregor,1913,178
Jock McKenzie,1913,179
Toby Murray,1913,180
Dick Roberts,1913,181
George Sellars,1913,182
Harry Taylor,1913,183
Peter Williams,1913,184
Jim Wylie,1913,185
James Baird,1913,190
Buster Barrett,1913,191
Charles Brown,1913,192
William Cummings,1913,193
William Francis,1913,194
William Geddes,1913,195
Charles Gillespie,1913,196
Edward Hasell,1913,197
John Macky,1913,198
Jim McNeece,1913,199
Augustine Spillane,1913,200
James Stewart,1913,201
Reginald Taylor,1913,202
Eric Cockroft,1913,203
Alfred Fanning,1913,204
James Tilyard,1913,205
Michael Cain,1913,187
James Graham,1913,189
Robert Black,1914,211
John Bruce,1914,186
Sal Irvine,1914,208
John O'Brien,1914,210
Teddy Roberts,1914,207
George Aitken,1921,229
Cecil Badeley,1921,215
Moke Belliss,1921,226
Jim Donald,1921,218
Bill Duncan,1921,219
Richard Fogarty,1921,230
Nipper Kingstone,1921,231
Jim Moffitt,1921,222
Ginger Nicholls,1921,232
Mark Nicholls,1921,233
Jock Richardson,1921,234
John Steel,1921,223
Percival Storey,1921,224
Son White,1921,235
Andrew McLean,1921,236
Alfred West,1921,225
Billy Fea,1921,248
Charles Fletcher,1921,240
Karl Ifwersen,1921,249
Stanley Siddells,1921,250
Maurice Brownlie,1924,261
Bert Cooke,1924,292
Les Cupples,1924,252
Bill Dalley,1924,296
Quentin Donald,1924,275
Augustine Hart,1924,293
Bull Irvine,1924,280
Fred Lucas,1924,276
Read Masters,1924,281
George Nepia,1924,295
James Parker,1924,299
Snowy Svenson,1924,258
Cyril Brownlie,1924,291
Neil McGregor,1924,298
Jimmy Mill,1924,267
Cliff Porter,1925,286
Geoff Alley,1928,327
Syd Carleton,1928,334
Bunny Finlayson,1928,305
Bert Grenside,1928,329
Swin Hadley,1928,330
Bill Hazlett,1928,323
Lance Johnson,1928,307
David Lindsay,1928,338
Alan Robilliard,1928,300
George Scrimshaw,1928,332
Ron Stewart,1928,288
Archie Strang,1928,342
Tuna Swain,1928,333
Reuben McWilliams,1928,339
Herb Lilburne,1928,331
Ian Harvey,1928,301
Beau Cottrell,1929,362
Bert Geddes,1929,369
Bill Heke,1929,364
Lew Hook,1929,350
Charlie Oliver,1929,352
Keith Reid,1929,365
Wattie Reside,1929,371
Fritz Snow,1929,341
Charlie Sonntag,1929,366
Jack Tuck,1929,373
Alfred Waterman,1929,367
Clinton Stringfellow,1929,368
Alfred Kivell,1929,375
Bert Palmer,1929,353
Rawi Cundy,1929,363
Tiny Leys,1929,374
Walter Batty,1930,344
George Hart,1930,376
Don Oliver,1930,377
Dick Steere,1930,354
Merv Corner,1930,378
John Hore,1930,343
Hugh McLean,1930,379
Kelly Ball,1931,380
Ron Bush,1931,381
Ted Jessep,1931,382
Don Max,1931,383
Tom Metcalfe,1931,384
Rusty Page,1931,385
George Purdue,1931,386
Frank Solomon,1931,387
George Bullock-Douglas,1932,388
Pat Caughey,1932,389
Frank Kilby,1932,337
Jack Manchester,1932,393
Bunk Pollock,1932,396
Joe Procter,1932,394
Ray Clarke,1932,390
Arthur Collins,1932,391
Gordon Innes,1932,392
Bill Hadley,1934,400
Bubs Knight,1934,324
Arthur Lambourn,1934,401
Roderick McKenzie,1934,403
Ned Barry,1934,397
Jack Griffiths,1934,399
Edward Holder,1934,398
Ron King,1934,404
Hawea Mataira,1934,402
Mike Gilbert,1935,407
Tonk Mahoney,1935,370
Brushy Mitchell,1935,412
Tori Reid,1935,408
Joey Sadler,1935,414
Doug Dalton,1935,411
Snowy Tindill,1936,417
Everard Jackson,1936,421
Shorty Killeen,1936,422
John Rankin,1936,423
Jim Watt,1936,424
Jock Wells,1936,425
Colin Gillies,1936,426
Ronald Ward,1936,429
Donald Cobden,1937,430
John Dick,1937,431
John Hooper,1937,432
Allan Parkhill,1937,433
Harold Simon,1937,434
John Sullivan,1937,428
John Taylor,1937,435
David Trevathan,1937,436
Bill Phillips,1937,437
Trevor Berghan,1938,438
Snow Bowman,1938,445
Les George,1938,439
Harold Milliken,1938,440
Thomas Morrison,1938,441
Charlie Quaid,1938,442
Charlie Saxton,1938,443
Fred Allen,1946,449
Wally Argus,1946,450
Has Catley,1946,451
John Dunn,1946,452
Ken Elliott,1946,453
Ron Elvidge,1946,454
Jack Finlay,1946,455
Harry Frazer,1946,456
Jimmy Haig,1946,457
Maurice McHugh,1946,458
Pat Rhind,1946,459
Bob Scott,1946,460
John Smith,1946,461
Roy White,1946,462
Charlie Willocks,1946,463
John McRae,1946,464
Eric Boggs,1946,465
Alf Budd,1946,466
Maurice Goddard,1946,467
Keith Arnold,1947,468
Ben Couch,1947,469
Ray Dalton,1947,470
Lachie Grant,1947,471
John McLean,1947,473
Johnny Simpson,1947,474
Percy Tetzlaff,1947,475
Neville Thornton,1947,476
Jim Kearney,1947,477
Tim Mason,1947,478
Lester Harvey,1949,494
Sammy Henderson,1949,488
Jack McNab,1949,489
Laurence Savage,1949,490
Kevin Skinner,1949,491
Peter Johnstone,1949,495
Bill Meates,1949,496
