Name,Country,City,Team,OtherName
William Murphy,"Ireland	",,Australia,
Roy Chambers,Australia,Dulwich,Australia,
Roland Raymond,Fiji,,Australia,
Patrick Mulligan,SouthAfrica,,Australia,
Haggis Lang,India,Multan,Australia,
Peter Kay,Australia,Adelaide,Australia,
Toutai Kefu,Tonga,,Australia,
Owen Farrell,England,Wigan,England,
Charlie Sharples,HongKong,Hong Kong,England,
Matt Banahan,England,Channel Islands,,
David Cooke,Australia,Brisbane,,
Henry Marsh,Ireland,,England,
Barron Kilner,England,Thornhill Lees,,
Arthur Evanson,Wales,Llansoy,,
Gregory Wade,Australia,Sydney,,
Fred Bonsor,France,,,
John Palmer,Malta,,,
Malcolm Young,England,Northumberland,,
Christopher Williams,Wales,Pontypridd,England,
John Barton,England,Wigan,England,
John Scott,England,Exeter,England,
Friedrich Lombard,SouthAfrica,Frankfort,SouthAfrica,
Delarey du Preez,SouthAfrica,Queenstown,SouthAfrica,
Ricky Januarie,SouthAfrica,Hopefield,SouthAfrica,
Meyer Bosman,SouthAfrica,Bethlehem,SouthAfrica,
Werner Greeff,SouthAfrica,Bellville,SouthAfrica,
Trevor Halstead,SouthAfrica,"Margate, Kwazulu-Natal",SouthAfrica,
Dean Hall,SouthAfrica,"Springs, Gauteng",SouthAfrica,
Robbie Kempson,SouthAfrica,Queenstown,SouthAfrica,
Percy Montgomery,Namibia,Walvis Bay,SouthAfrica,
John Bell,England,Newcastle-under-Lyme,England,
Temple Gurdon,England,"Barnham Broom, Norfolk",England,
George Thomson,England,Halifax,England,
Stuart Neame,England,Preston-next-Faversham,England,
Hugh Rowley,England,Charlton,England,
Wilfred Bolton,England,"Worthing, Sussex",England,
John Dewhurst,England,"Skipton, Yorkshire",England,
Andrew Slocock,England,Stratford-on-Avon,England,
R. Gilbert,England,Dartmouth,England,
Cecil Kershaw,Bangladesh,Dhaka,England,
Stanley Considine,India,Bilaspur,England,
Bill Tucker,Bermuda,Hamilton,England,
Clive Woodward,England,Cambridgeshire,England,
Gary Rees,England,"Long Eaton, Derbyshire",England,
Jamie Salmon,HongKong,Hong Kong,England,
Andy Mullins,England,"Eltham, London",England,
John Mallett,England,Lincoln,England,
