Bcountry,Bcountry1,Bcountry2,Bcountry3,BirthMonth,BirthYear,City,Debut,Draws,Losses,Matches,Name,Points,Position,Tries,Wins,Team,Links
UK,England,East of England,Hertfordshire,July 15,1978,Hemel Hempstead,2002,2,25,76,Steve Thompson,20.0,Hooker,4,49,England,http://www.espnscrum.com/england/rugby/player/13846.html
UK,England,South East,Buckinghamshire,January 21,1982,"Taplow, Bucks",2002,0,0,2,Nick Duncombe,0.0,Scrum-half,0,2,England,http://www.espnscrum.com/england/rugby/player/13843.html
New Zealand/Aotearoa,Waikato,South Waikato District,Tokoroa,February 10,1974,Tokoroa,2002,0,2,6,Henry Paul,6.0,Centre,0,4,England,http://www.espnscrum.com/england/rugby/player/13872.html
UK,Scotland,Dundee City,Dundee,September 26,1977,Dundee,2002,0,0,1,Geoff Appleford,0.0,Centre,0,1,England,http://www.espnscrum.com/england/rugby/player/13981.html
Deutschland,Baden-Württemberg,Regierungsbezirk Karlsruhe,Heidelberg,June 16,1980,Heidelberg,2002,0,0,3,Phil Christophers,5.0,Centre,1,3,England,http://www.espnscrum.com/england/rugby/player/13983.html
UK,England,Greater London,London,September 25,1973,Lewisham,2002,0,0,1,Alex Codling,0.0,Lock,0,1,England,http://www.espnscrum.com/england/rugby/player/13984.html
South Africa,2001,Gauteng,City of Johannesburg Metropolitan Municipality,June 3,1977,Johannesburg,2002,0,0,1,Michael Horak,0.0,Fullback,0,1,England,http://www.espnscrum.com/england/rugby/player/13990.html
UK,CH63,England,North West England,November 8,1978,Clatterbridge,2002,0,0,2,Ben Johnston,0.0,Centre,0,2,England,http://www.espnscrum.com/england/rugby/player/13991.html
UK,England,North East England,Stockton-on-Tees,May 30,1982,Stockton-on-Tees,2002,0,3,10,James Simpson-Daniel,15.0,Wing,3,7,England,http://www.espnscrum.com/england/rugby/player/14088.html
UK,England,East of England,Hertfordshire,February 20,1982,Hertford,2003,0,0,2,Robbie Morris,0.0,Prop,0,2,England,http://www.espnscrum.com/england/rugby/player/14099.html
UK,England,East Midlands,City of Leicester,August 14,1982,Leicester,2003,1,1,6,Ollie Smith,5.0,Centre,1,4,England,http://www.espnscrum.com/england/rugby/player/14148.html
UK,England,North West England,Warrington,December 1,1976,Warrington,2003,0,1,3,Mike Worsley,0.0,Prop,0,2,England,http://www.espnscrum.com/england/rugby/player/14142.html
South Africa,Western Cape,City of Cape Town,Cape Town,June 3,1978,Cape Town,2003,0,4,9,Stuart Abbott,10.0,Centre,2,5,England,http://www.espnscrum.com/england/rugby/player/14302.html
UK,England,Yorkshire and the Humber,Bingley,February 16,1978,Bingley,2003,0,1,2,Dan Scarbrough,5.0,Fullback,1,1,England,http://www.espnscrum.com/england/rugby/player/14259.html
UK,England,North West England,Greater Manchester,June 24,1980,Manchester,2004,0,8,12,Chris Jones,5.0,Lock,1,4,England,http://www.espnscrum.com/england/rugby/player/126816.html
South Africa,KwaZulu-Natal,eThekwini Metropolitan Municipality,Durban,October 1,1982,Durban,2004,0,20,44,Matt Stevens,0.0,Prop,0,24,England,http://www.espnscrum.com/england/rugby/player/14409.html
UK,England,Greater London,London,January 16,1980,London,2004,0,6,10,Michael Lipman,0.0,Flanker,0,4,England,http://www.espnscrum.com/england/rugby/player/14559.html
UK,DA1 1DN,England,South East,January 10,1981,Dartford,2004,0,2,5,Andy Titterrell,0.0,Hooker,0,3,England,http://www.espnscrum.com/england/rugby/player/14273.html
UK,England,South West England,Swindon,April 29,1979,Swindon,2004,1,14,22,Tim Payne,0.0,Prop,0,7,England,http://www.espnscrum.com/england/rugby/player/14569.html
UK,England,North West England,Cumbria,December 26,1979,Workington,2004,1,26,56,Mark Cueto,100.0,Wing,20,29,England,http://www.espnscrum.com/england/rugby/player/14268.html
UK,England,South West England,Gloucestershire,April 25,1978,Gloucester,2004,0,3,7,Andy Hazell,5.0,Back-row,1,4,England,http://www.espnscrum.com/england/rugby/player/14257.html
UK,England,South East,Kent,November 1,1979,"Bromley, Kent",2004,0,17,42,Andrew Sheridan,0.0,Prop,0,25,England,http://www.espnscrum.com/england/rugby/player/14271.html
UK,GU1 4UT,England,South East,September 8,1976,Guildford,2004,0,0,1,Hugh Vyvyan,5.0,Lock,1,1,England,http://www.espnscrum.com/england/rugby/player/14000.html
UK,England,East Midlands,Leicestershire,May 17,1982,Wigston,2004,0,14,28,Harry Ellis,25.0,Scrum-half,5,14,England,http://www.espnscrum.com/england/rugby/player/14659.html
