Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
A. Bover,Argentina,1910,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
A. Donelly,Argentina,1910,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,,
Oswald Gebbie,Argentina,1910,Centre,1.0,0.0,1.0,0.0,0.0,0.0,Florencia Varela,Argentina
L.H. Gribbell,Argentina,1910,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Fairy Heatlie,Argentina,1891,Forward,7.0,2.0,4.0,1.0,6.0,0.0,Cape Prov,
F. Henrys,Argentina,1910,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Frank Heriot,Argentina,1910,Centre,1.0,0.0,1.0,0.0,0.0,0.0,Philippine,Phillipines
W.H. Hyman,Argentina,1910,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
C.J. MacCarthy,Argentina,1910,Wing,1.0,0.0,1.0,0.0,3.0,1.0,,
Carlos Mold,Argentina,1910,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Alvan Reid,Argentina,1910,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
J.E. Saffery,Argentina,1910,Fullback,1.0,0.0,1.0,0.0,0.0,0.0,,
Frederick Sawyer,Argentina,1910,Lock,1.0,0.0,1.0,0.0,0.0,0.0,Surrey,England
Henry Talbot,Argentina,1910,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Arnaldo Watson-Hutton,Argentina,1910,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
W. Braddon,Argentina,1927,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Enrique Bustamante,Argentina,1927,Prop,4.0,0.0,4.0,0.0,0.0,0.0,,
Ray Cameron,Argentina,1927,Prop,3.0,0.0,3.0,0.0,0.0,0.0,,
Jorge Conrard,Argentina,1927,Hooker,2.0,0.0,2.0,0.0,0.0,0.0,,
Reginald Cooper,Argentina,1927,Scrum-half,4.0,0.0,4.0,0.0,0.0,0.0,,
Jose Cuesta Silva,Argentina,1927,Lock,4.0,0.0,4.0,0.0,0.0,0.0,,
Antonio Hobson,Argentina,1927,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Fabio Lucioni,Argentina,1927,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Miguel McCormick,Argentina,1927,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Antonio Pasalagua,Argentina,1927,No. 8,2.0,0.0,2.0,0.0,0.0,0.0,,
Cesar Pollano,Argentina,1927,Fullback,1.0,0.0,1.0,0.0,0.0,0.0,,
Arturo Rodriguez Jurado,Argentina,1927,Centre,8.0,2.0,6.0,0.0,0.0,0.0,Buenos Aires,Argentina
Rodolfo Serra,Argentina,1927,Lock,3.0,0.0,3.0,0.0,0.0,0.0,,
Cesar Vazquez,Argentina,1927,Wing,3.0,0.0,3.0,0.0,0.0,0.0,,
Alberto Zappa,Argentina,1927,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Martin Ayerra,Argentina,1927,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Roberto Botting,Argentina,1927,No. 8,3.0,0.0,3.0,0.0,0.0,0.0,,
G.E.F. Cooke,Argentina,1927,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Marco Hernandez,Argentina,1927,Centre,3.0,0.0,3.0,0.0,0.0,0.0,,
A. Jacobs,Argentina,1927,Fullback,2.0,0.0,2.0,0.0,0.0,0.0,,
Carlos Reyes,Argentina,1927,Centre,3.0,0.0,3.0,0.0,0.0,0.0,,
Alfredo Riganti,Argentina,1927,Prop,3.0,0.0,3.0,0.0,0.0,0.0,,
Julian Sommer,Argentina,1927,No. 8,1.0,0.0,1.0,0.0,0.0,0.0,,
C. Derkheim,Argentina,1927,Fullback,1.0,0.0,1.0,0.0,0.0,0.0,,
Norberto Escary,Argentina,1927,Wing,4.0,0.0,4.0,0.0,3.0,1.0,,
Vicente Grimoldi,Argentina,1927,Hooker,2.0,0.0,2.0,0.0,0.0,0.0,,
Llewellyn Makin,Argentina,1927,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Francisco Torino,Argentina,1927,Fly-half,2.0,0.0,2.0,0.0,3.0,0.0,,
Salvador Muller,Argentina,1927,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
J. Bridger,Argentina,1932,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Ernesto Cilley,Argentina,1932,Prop,2.0,0.0,2.0,0.0,0.0,0.0,,
K.A.M. Cookson,Argentina,1932,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Roberto de Abelleyra,Argentina,1932,Fullback,2.0,0.0,2.0,0.0,0.0,0.0,,
Carlos Echeverria,Argentina,1932,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Jumbo Francombe,Argentina,1932,Prop,3.0,0.0,3.0,0.0,0.0,0.0,,
Carlos Huntley-Robertson,Argentina,1932,No. 8,2.0,0.0,2.0,0.0,0.0,0.0,,
Harald Maurer,Argentina,1932,Wing,2.0,0.0,2.0,0.0,0.0,0.0,,
Adolfo Navajas,Argentina,1932,Flanker,2.0,0.0,2.0,0.0,0.0,0.0,,
Edmundo Stanfield,Argentina,1932,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Jorge Stewart,Argentina,1932,Lock,2.0,0.0,2.0,0.0,0.0,0.0,,
Norman Tozer,Argentina,1932,Hooker,2.0,0.0,2.0,0.0,0.0,0.0,,
A. Turner,Argentina,1932,Centre,2.0,0.0,2.0,0.0,0.0,0.0,,
Oscar Bernat,Argentina,1932,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Antonio Lanusse,Argentina,1932,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Ian Lewis,Argentina,1932,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Tomas Sanderson,Argentina,1932,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Hector Alfonso,Argentina,1936,Fullback,2.0,1.0,1.0,0.0,0.0,0.0,,
Jorge Cilley,Argentina,1936,Flanker,4.0,3.0,1.0,0.0,0.0,0.0,,
Noel Cooper,Argentina,1936,Scrum-half,3.0,2.0,1.0,0.0,0.0,0.0,,
Riebeck Elliot,Argentina,1936,Wing,2.0,1.0,1.0,0.0,0.0,0.0,,
Jose Frigoli,Argentina,1936,Flanker,3.0,2.0,1.0,0.0,0.0,0.0,,
Virgilio Inchausti,Argentina,1936,Hooker,3.0,2.0,1.0,0.0,0.0,0.0,,
Gilbert Logan,Argentina,1936,No. 8,1.0,0.0,1.0,0.0,0.0,0.0,,
Bernardo Mitchelstein,Argentina,1936,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Horacio Pascuali,Argentina,1936,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Tomas Salzman,Argentina,1936,Lock,3.0,2.0,1.0,0.0,0.0,0.0,,
Emilio Schiavio,Argentina,1936,Wing,3.0,2.0,1.0,0.0,0.0,0.0,,
Herbert Talbot,Argentina,1936,Centre,4.0,3.0,1.0,0.0,0.0,0.0,,
Percy Talbot,Argentina,1936,Fly-half,2.0,1.0,1.0,0.0,0.0,0.0,,
Eduardo Arriaga,Argentina,1936,Fly-half,2.0,2.0,0.0,0.0,0.0,0.0,,
Archie Cameron,Argentina,1936,Hooker,3.0,3.0,0.0,0.0,0.0,0.0,,
Luis Hughes,Argentina,1936,Wing,1.0,1.0,0.0,0.0,0.0,0.0,,
Walter Sutton,Argentina,1936,Lock,1.0,1.0,0.0,0.0,0.0,0.0,,
Jose Tagliabue,Argentina,1936,Prop,2.0,2.0,0.0,0.0,0.0,0.0,,
Raymond Wilkins,Argentina,1936,Centre,2.0,2.0,0.0,0.0,0.0,0.0,,
Archie Ker,Argentina,1936,Lock,2.0,2.0,0.0,0.0,0.0,0.0,,
Hector Pasman,Argentina,1936,Fullback,1.0,1.0,0.0,0.0,0.0,0.0,,
Samuel Ratcliff,Argentina,1936,Wing,1.0,1.0,0.0,0.0,0.0,0.0,,
Tomas Blades,Argentina,1938,Flanker,1.0,1.0,0.0,0.0,0.0,0.0,,
Eric Buckley,Argentina,1938,Wing,1.0,1.0,0.0,0.0,0.0,0.0,,
Keith Bush,Argentina,1938,Centre,1.0,1.0,0.0,0.0,0.0,0.0,,
