A. Bover,1910,Prop,date unknown,1,0,0,0,g,n,i
A. Donelly,1910,Hooker,date unknown,1,0,0,0,g,n,i
Oswald Gebbie,1910,Centre,Florencia Varela,1,0,0,0,Argentina,9000,Chubut
L.H. Gribbell,1910,Flanker,date unknown,1,0,0,0,g,n,i
Fairy Heatlie,1891,Forward,Cape Prov,7,2,0,6,g,n,i
F. Henrys,1910,Lock,date unknown,1,0,0,0,g,n,i
Frank Heriot,1910,Centre,Philippine,1,0,0,0,Nederland,4553,Nederland
W.H. Hyman,1910,Flanker,date unknown,1,0,0,0,g,n,i
C.J. MacCarthy,1910,Wing,date unknown,1,0,1,3,g,n,i
Carlos Mold,1910,Fly-half,date unknown,1,0,0,0,g,n,i
Alvan Reid,1910,Prop,date unknown,1,0,0,0,g,n,i
J.E. Saffery,1910,Fullback,date unknown,1,0,0,0,g,n,i
Frederick Sawyer,1910,Lock,Surrey,1,0,0,0,United Kingdom,England,South East
Henry Talbot,1910,Wing,date unknown,1,0,0,0,g,n,i
Arnaldo Watson-Hutton,1910,Scrum-half,date unknown,1,0,0,0,g,n,i
W. Braddon,1927,,date unknown,1,0,0,0,g,n,i
Enrique Bustamante,1927,,date unknown,4,0,0,0,g,n,i
Ray Cameron,1927,,date unknown,3,0,0,0,g,n,i
Jorge Conrard,1927,,date unknown,2,0,0,0,g,n,i
Reginald Cooper,1927,,date unknown,4,0,0,0,g,n,i
Jose Cuesta Silva,1927,,date unknown,4,0,0,0,g,n,i
Antonio Hobson,1927,,date unknown,1,0,0,0,g,n,i
Fabio Lucioni,1927,,date unknown,1,0,0,0,g,n,i
Miguel McCormick,1927,,date unknown,1,0,0,0,g,n,i
Antonio Pasalagua,1927,,date unknown,2,0,0,0,g,n,i
Cesar Pollano,1927,,date unknown,1,0,0,0,g,n,i
Arturo Rodriguez Jurado,1927,,Buenos Aires,8,2,0,0,Argentina,CABA,Comuna 6
Rodolfo Serra,1927,,date unknown,3,0,0,0,g,n,i
Cesar Vazquez,1927,,date unknown,3,0,0,0,g,n,i
Alberto Zappa,1927,,date unknown,1,0,0,0,g,n,i
Martin Ayerra,1927,,date unknown,1,0,0,0,g,n,i
Roberto Botting,1927,,date unknown,3,0,0,0,g,n,i
G.E.F. Cooke,1927,,date unknown,1,0,0,0,g,n,i
Marco Hernandez,1927,,date unknown,3,0,0,0,g,n,i
A. Jacobs,1927,,date unknown,2,0,0,0,g,n,i
Carlos Reyes,1927,,date unknown,3,0,0,0,g,n,i
Alfredo Riganti,1927,,date unknown,3,0,0,0,g,n,i
Julian Sommer,1927,,date unknown,1,0,0,0,g,n,i
C. Derkheim,1927,,date unknown,1,0,0,0,g,n,i
Norberto Escary,1927,,date unknown,4,0,1,3,g,n,i
Vicente Grimoldi,1927,,date unknown,2,0,0,0,g,n,i
Llewellyn Makin,1927,,date unknown,1,0,0,0,g,n,i
Francisco Torino,1927,,date unknown,2,0,0,3,g,n,i
Salvador Muller,1927,,date unknown,1,0,0,0,g,n,i
J. Bridger,1932,,date unknown,1,0,0,0,g,n,i
Ernesto Cilley,1932,,date unknown,2,0,0,0,g,n,i
K.A.M. Cookson,1932,,date unknown,1,0,0,0,g,n,i
Roberto de Abelleyra,1932,,date unknown,2,0,0,0,g,n,i
Carlos Echeverria,1932,,date unknown,1,0,0,0,g,n,i
Jumbo Francombe,1932,,date unknown,3,0,0,0,g,n,i
Carlos Huntley-Robertson,1932,,date unknown,2,0,0,0,g,n,i
Harald Maurer,1932,,date unknown,2,0,0,0,g,n,i
Adolfo Navajas,1932,,date unknown,2,0,0,0,g,n,i
Edmundo Stanfield,1932,,date unknown,1,0,0,0,g,n,i
Jorge Stewart,1932,,date unknown,2,0,0,0,g,n,i
Norman Tozer,1932,,date unknown,2,0,0,0,g,n,i
A. Turner,1932,,date unknown,2,0,0,0,g,n,i
Oscar Bernat,1932,,date unknown,1,0,0,0,g,n,i
Antonio Lanusse,1932,,date unknown,1,0,0,0,g,n,i
Ian Lewis,1932,,date unknown,1,0,0,0,g,n,i
Tomas Sanderson,1932,,date unknown,1,0,0,0,g,n,i
Hector Alfonso,1936,,date unknown,2,1,0,0,g,n,i
Jorge Cilley,1936,,date unknown,4,3,0,0,g,n,i
Noel Cooper,1936,,date unknown,3,2,0,0,g,n,i
Riebeck Elliot,1936,,date unknown,2,1,0,0,g,n,i
Jose Frigoli,1936,,date unknown,3,2,0,0,g,n,i
Virgilio Inchausti,1936,,date unknown,3,2,0,0,g,n,i
Gilbert Logan,1936,,date unknown,1,0,0,0,g,n,i
Bernardo Mitchelstein,1936,,date unknown,1,0,0,0,g,n,i
Horacio Pascuali,1936,,date unknown,1,0,0,0,g,n,i
Tomas Salzman,1936,,date unknown,3,2,0,0,g,n,i
Emilio Schiavio,1936,,date unknown,3,2,0,0,g,n,i
Herbert Talbot,1936,,date unknown,4,3,0,0,g,n,i
Percy Talbot,1936,,date unknown,2,1,0,0,g,n,i
Eduardo Arriaga,1936,,date unknown,2,2,0,0,g,n,i
Archie Cameron,1936,Hooker,date unknown,3,3,0,0,g,n,i
Luis Hughes,1936,,date unknown,1,1,0,0,g,n,i
Walter Sutton,1936,,date unknown,1,1,0,0,g,n,i
Jose Tagliabue,1936,,date unknown,2,2,0,0,g,n,i
Raymond Wilkins,1936,,date unknown,2,2,0,0,g,n,i
Archie Ker,1936,,date unknown,2,2,0,0,g,n,i
Hector Pasman,1936,,date unknown,1,1,0,0,g,n,i
Samuel Ratcliff,1936,,date unknown,1,1,0,0,g,n,i
Tomas Blades,1938,,date unknown,1,1,0,0,g,n,i
Eric Buckley,1938,,date unknown,1,1,0,0,g,n,i
Keith Bush,1938,,date unknown,1,1,0,0,g,n,i
Jeronimo Cernegoy,1938,,date unknown,1,1,0,0,g,n,i
P.H. Cox,1938,,date unknown,1,1,0,0,g,n,i
Douglas Hine,1938,,date unknown,1,1,0,0,g,n,i
Ricardo Martin,1938,,date unknown,1,1,0,0,g,n,i
Marcelo Pacheco,1938,,date unknown,1,1,0,0,g,n,i
J. Topping,1938,,date unknown,1,1,0,0,g,n,i
Matias Avellaneda,1948,Wing,Parana,4,2,0,0,Brasil,Região Nordeste,PE
Juan de Pablo,1948,Wing,date unknown,1,0,0,0,g,n,i
Guillermo Ehrman,1948,Scrum-half,date unknown,10,3,5,21,g,n,i
Ricardo Follett,1948,Prop,Buenos Aires,5,0,0,0,Argentina,CABA,Comuna 6
Ricardo Frigerio,1948,Fullback,date unknown,3,0,0,0,g,n,i
Ricardo Giles,1948,Fly-half,date unknown,6,1,0,0,g,n,i
Lucas Glastra,1948,Lock,date unknown,3,0,0,0,g,n,i
Bruno Grigolon,1948,"Flanker, Prop",date unknown,3,0,0,0,g,n,i
Luis Maurette,1948,Lock,date unknown,3,0,0,0,g,n,i
Enrique Monpelat,1948,"Centre, Fly-half",date unknown,2,0,0,0,g,n,i
Miguel Sarandon,1948,"Back-row, Hooker",date unknown,9,3,0,0,g,n,i
Ronaldo Sharpe,1948,Prop,date unknown,1,0,0,0,g,n,i
Carlos Swain,1948,Hooker,date unknown,7,3,1,3,g,n,i
Normando Tompkins,1948,"Lock, Flanker",date unknown,5,0,0,0,g,n,i
Prudencio Torres Garcia,1948,Centre,date unknown,1,0,0,0,g,n,i
Horacio Achaval,1948,Hooker,date unknown,1,0,0,0,g,n,i
Juan Hardie,1948,Prop,date unknown,1,0,0,0,g,n,i
Ezequiel Holmberg,1948,"Scrum-half, Flanker",date unknown,2,0,0,0,g,n,i
A. Jones,1948,Centre,date unknown,1,0,0,0,g,n,i
Jaime O'Farrell,1948,"Prop, Flanker",date unknown,4,2,6,18,g,n,i
Arturo Phillips,1948,No. 8,date unknown,3,0,0,0,g,n,i
Jorge Sansot,1948,Centre,date unknown,1,0,0,0,g,n,i
Julian Santiago,1948,Wing,date unknown,2,0,0,0,g,n,i
Edmundo Caffarone,1949,Wing,date unknown,8,2,2,6,g,n,i
Emilio Dominguez,1949,Lock,date unknown,6,0,0,0,g,n,i
Luis Dorado,1949,Wing,date unknown,1,0,0,0,g,n,i
Barry Holmes,1949,Fullback,Buenos Aires,6,2,0,4,Argentina,CABA,Comuna 6
Miguel Hughes,1949,Flanker,date unknown,2,0,0,0,g,n,i
