Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Paddy Carew,Australia,1899,Prop,4,1,3,0,0,0,"Pine Mountain, QLD",Australia
James Carson,Australia,1899,Prop,1,1,0,0,0,0,Grahamstown,SouthAfrica
Ginger Colton,Australia,1899,No. 8,2,1,1,0,3,1,"Brisbane, QLD",Australia
Walter Davis,Australia,1899,Lock,3,1,2,0,0,0,NA,
Charlie Ellis,Australia,1899,Lock,4,1,3,0,0,0,"Newcastle, NSW",Australia
Poley Evans,Australia,1899,Wing,2,1,1,0,3,1,"Indooroopilly, QLD",Australia
Austin Gralton,Australia,1899,Scrum-half,3,1,2,0,0,0,"Kempsey, NSW",Australia
Alex Kelly,Australia,1899,Flanker,1,1,0,0,0,0,"Bourke, NSW",Australia
Bob McCowan,Australia,1899,Fullback,3,1,2,0,0,0,Renfrewshire,Scotland
Hyam Marks,Australia,1899,Lock,2,1,1,0,0,0,"Sydney, NSW",Australia
Frank Row,Australia,1899,Centre,3,1,2,0,0,0,"Dalby, QLD",Australia
Lonnie Spragg,Australia,1899,Centre,4,1,3,0,17,3,"Redfern, NSW",Australia
Dooee Tanner,Australia,1899,Prop,2,1,1,0,0,0,"Brisbane, QLD",Australia
Peter Ward,Australia,1899,Fly-half,4,1,3,0,0,0,Invercargill,NewZealand
Charlie White,Australia,1899,Wing,3,1,2,0,0,0,"Maitland, NSW",Australia
Robert Challoner,Australia,1899,No. 8,1,0,1,0,0,0,Stratford,NewZealand
Arthur Corfe,Australia,1899,Flanker,1,0,1,0,0,0,Christchurch,NewZealand
Ernest Currie,Australia,1899,Scrum-half,1,0,1,0,0,0,Dunedin,NewZealand
Charles Graham,Australia,1899,Hooker,1,0,1,0,0,0,"Castlereagh, NSW",Australia
Alec Henry,Australia,1899,Centre,1,0,1,0,0,0,"Brisbane, QLD",Australia
Norm Street,Australia,1899,Flanker,1,0,1,0,0,0,"Bathurst, NSW",England
Tom Ward,Australia,1899,Wing,1,0,1,0,0,0,"Brisbane, QLD",Australia
Roger Barton,Australia,1899,Flanker,1,0,1,0,0,0,"Bathurst, NSW",England
Sime Boland,Australia,1899,Flanker,3,0,3,0,0,0,"Brisbane, QLD",Australia
George Bouffler,Australia,1899,Hooker,1,0,1,0,0,0,"Orange, NSW",Australia
Arch Boyd,Australia,1899,Scrum-half,1,0,1,0,0,0,"Sydney, NSW",Australia
Wally Cobb,Australia,1899,Fullback,2,0,2,0,0,0,"Newcastle, NSW",Australia
Syd Miller,Australia,1899,Wing,1,0,1,0,0,0,"Sydney, NSW",Australia
Iggy O'Donnell,Australia,1899,Fly-half,2,0,2,0,0,0,"Hillston, NSW",Australia
Bill Webb,Australia,1899,Prop,2,0,2,0,0,0,Dunedin,NewZealand
Bill Hardcastle,Australia,1899,Flanker,2,0,2,0,0,0,Wellington,NewZealand
Jack O'Donnell,Australia,1899,Hooker,1,0,1,0,0,0,"Hillston, NSW",Australia
Jum Sampson,Australia,1899,No. 8,1,0,1,0,0,0,NA,
Alec Burdon,Australia,1903,Prop,4,0,4,0,3,1,"Sydney, NSW",Australia
Lew Evans,Australia,1903,Fly-half,3,0,3,0,0,0,"Brisbane, QLD",Australia
James Joyce,Australia,1903,Lock,1,0,1,0,0,0,"Penrith, NSW",Australia
Harold Judd,Australia,1903,Flanker,5,0,5,0,0,0,"Dawes Pt, NSW",Australia
Ted Larkin,Australia,1903,Hooker,1,0,1,0,0,0,"N Lambton, NSW",Australia
Dinny Lutge,Australia,1903,Lock,4,0,4,0,0,0,"Sydney, NSW",Australia
Johnny Maund,Australia,1903,Fullback,1,0,1,0,0,0,"Bathurst, NSW",England
Frank Nicholson,Australia,1903,Prop,2,0,2,0,0,0,"Villeneuva, QLD",Australia
Charlie Redwood,Australia,1903,Wing,4,0,4,0,0,0,Blenheim,NewZealand
Sid Riley,Australia,1903,Centre,1,0,1,0,0,0,Auckland,NewZealand
Stan Wickham,Australia,1903,Centre,5,0,5,0,3,0,"Lucknow, NSW",Australia
Snowy Baker,Australia,1904,Scrum-half,2,0,2,0,0,0,"Sydney, NSW",Australia
Puddin Colton,Australia,1904,Flanker,2,0,2,0,0,0,"Brisbane, QLD",Australia
Eddie Dore,Australia,1904,Hooker,1,0,1,0,0,0,Limerick,Ireland
Jack Hindmarsh,Australia,1904,Centre,1,0,1,0,0,0,"Sydney, NSW",Australia
Billy Richards,Australia,1904,Lock,5,0,5,0,0,0,"Vegetable Creek, NSW",Australia
Jack Verge,Australia,1904,Fullback,2,0,2,0,0,0,"Hampden Hall, NSW",Australia
Patrick Walsh,Australia,1904,Back-row,3,0,3,0,0,0,"Newcastle, NSW",Australia
Phil Carmichael,Australia,1904,Fullback,4,1,3,0,6,0,"Sandgate, QLD",Australia
Alex McKinnon,Australia,1904,Lock,1,0,1,0,0,0,"Smeaton, VIC",Australia
Douglas McLean,Australia,1904,Wing,3,0,3,0,3,1,"Brisbane, QLD",Australia
John Manning,Australia,1904,Fly-half,1,0,1,0,0,0,"Sydney, NSW",Australia
Voy Oxenham,Australia,1904,Prop,2,0,2,0,0,0,"Brisbane, QLD",Australia
Allen Oxlade,Australia,1904,Hooker,4,0,4,0,0,0,"Brisbane, QLD",Australia
Blue Dixon,Australia,1904,Lock,1,0,1,0,0,0,"Brisbane, QLD",Australia
Francis Finley,Australia,1904,Scrum-half,1,0,1,0,0,0,"Armidale, NSW",Australia
Frank Futter,Australia,1904,Centre,1,0,1,0,0,0,"Cootamundra, NSW",Australia
Jack Meibusch,Australia,1904,Prop,1,0,1,0,0,0,"Surat, QLD",Australia
Fred Nicholson,Australia,1904,Wing,1,0,1,0,0,0,"Brisbane, QLD",Australia
Jim White,Australia,1904,Flanker,1,0,1,0,0,0,"Orange, NSW",Australia
George Anlezark,Australia,1905,Fly-half,1,0,1,0,0,0,"Bathurst, NSW",England
Jimmy Clarken,Australia,1905,Prop,4,1,3,0,0,0,Thames,NewZealand
Mickey Dore,Australia,1905,Scrum-half,1,0,1,0,0,0,"Brisbane, QLD",Australia
Bill Hirschberg,Australia,1905,Flanker,1,0,1,0,0,0,"Armidale, NSW",Australia
Ben Lucas,Australia,1905,Flanker,1,0,1,0,0,0,"Brisbane, QLD",Australia
Arthur Penman,Australia,1905,Fullback,1,0,1,0,0,0,"Ultimo, NSW",Australia
Bede Smith,Australia,1905,Centre,4,0,3,1,0,0,"Wellington, NSW",Australia
Mac Smith,Australia,1905,Centre,1,0,1,0,0,0,"Bathurst, NSW",England
Blair Swannell,Australia,1899,Forward,8,6,2,0,3,1,"W Underwood, Bucks",England
"Jack ""Bowser"" Barnett",Australia,1907,Prop,5,1,3,1,0,0,"Carcoar, NSW",Australia
Peter Burge,Australia,1907,Lock,3,0,2,1,0,0,"Penrith, NSW",Australia
Bill Dix,Australia,1907,Fullback,4,1,2,1,0,0,Ashton-in-Makerfield,England
