Paddy Carew,1899,Prop,4,1,3,0,0,0,Qld,Australia,Queensland,Missing,Missing
James Carson,1899,Prop,1,1,0,0,0,0,Grahamstown,South Africa,Eastern Cape,Sarah Baartman District Municipality,Grahamstown
Ginger Colton,1899,No. 8,2,1,1,0,1,3,QLD,Australia,Queensland,Missing,Missing
Walter Davis,1899,Lock,3,1,2,0,0,0,circa 1877,Perú,Tacna,Candarave,Circa
Charlie Ellis,1899,Lock,4,1,3,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Poley Evans,1899,Wing,2,1,1,0,1,3,Qld,Australia,Queensland,Missing,Missing
Austin Gralton,1899,Scrum-half,3,1,2,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Alex Kelly,1899,Flanker,1,1,0,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Bob McCowan,1899,Fullback,3,1,2,0,0,0,Renfrewshire,United Kingdom,Scotland,Renfrewshire,Missing
Hyam Marks,1899,Lock,2,1,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Frank Row,1899,Centre,3,1,2,0,0,0,Qld,Australia,Queensland,Missing,Missing
Lonnie Spragg,1899,Centre,4,1,3,0,3,17,NSW,Australia,New South Wales,Missing,Missing
Dooee Tanner,1899,Prop,2,1,1,0,0,0,QLD,Australia,Queensland,Missing,Missing
Peter Ward,1899,Fly-half,4,1,3,0,0,0,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill
Charlie White,1899,Wing,3,1,2,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Robert Challoner,1899,No. 8,1,0,1,0,0,0,Stratford,United Kingdom,England,West Midlands,Warwickshire
Arthur Corfe,1899,Flanker,1,0,1,0,0,0,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch
Ernest Currie,1899,Scrum-half,1,0,1,0,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin
Charles Graham,1899,Hooker,1,0,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Alec Henry,1899,Centre,1,0,1,0,0,0,QLD,Australia,Queensland,Missing,Missing
Norm Street,1899,Flanker,1,0,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Thomas Ward,1899,Wing,1,0,1,0,0,0,QLD,Australia,Queensland,Missing,Missing
Roger Barton,1899,Flanker,1,0,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Sine Boland,1899,Flanker,3,0,3,0,0,0,QLD,Australia,Queensland,Missing,Missing
Bob Bouffler,1899,Hooker,1,0,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Arch Boyd,1899,Scrum-half,1,0,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Wally Cobb,1899,Fullback,2,0,2,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Syd Miller,1899,Wing,1,0,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Iggy O'Donnell,1899,Fly-half,2,0,2,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Bill Webb,1899,Prop,2,0,2,0,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin
Bill Hardcastle,1899,Flanker,2,0,2,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington
Jack O'Donnell,1899,Hooker,1,0,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
Jum Sampson,1899,No. 8,1,0,1,0,0,0,circa 1873,Perú,Tacna,Candarave,Circa
Alec Burdon,1903,Prop,4,0,4,0,1,3,NSW,Australia,New South Wales,Missing,Missing
Lew Evans,1903,Fly-half,3,0,3,0,0,0,QLD,Australia,Queensland,Missing,Missing
James Joyce,1903,Lock,1,0,1,0,0,0,NSW,Australia,New South Wales,Missing,Missing
