Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
John Bentley,England,1871,Halfback,2.0,1.0,1.0,0.0,NA,0.0,Derbyshire,England
Reginald Birkett,England,1871,Forward,4.0,2.0,1.0,1.0,NA,1.0,London,England
Benjamin Burns,England,1871,Forward,1.0,0.0,1.0,0.0,NA,0.0,Perth,Australia
John Clayton,England,1871,Forward,1.0,0.0,1.0,0.0,NA,0.0,Liverpool,England
Charles Crompton,England,1871,Forward,1.0,0.0,1.0,0.0,NA,0.0,Cork,Ireland
Alfred Davenport,England,1871,Forward,1.0,0.0,1.0,0.0,NA,0.0,Oxford,England
John Dugdale,England,1871,Forward,1.0,0.0,1.0,0.0,NA,0.0,Salford,England
Arthur Gibson,England,1871,Forward,1.0,0.0,1.0,0.0,NA,0.0,Hampshire,England
Joseph Green,England,1871,Halfback,1.0,0.0,1.0,0.0,NA,0.0,W Ham,England
Arthur Guillemard,England,1871,Fullback,2.0,1.0,1.0,0.0,NA,0.0,Lewisham,England
Alfred Hamersley,England,1871,Forward,4.0,2.0,1.0,1.0,NA,1.0,Oxon,England
Harry Luscombe,England,1871,Forward,1.0,0.0,1.0,0.0,NA,0.0,Kent,England
Arthur Lyon,England,1871,Fullback,1.0,0.0,1.0,0.0,NA,0.0,W Derby,England
William MacLaren,England,1871,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,Lancashire,England
Richard Osborne,England,1871,Fullback,1.0,0.0,1.0,0.0,NA,0.0,Yorks,England
Charles Sherrard,England,1871,Forward,2.0,1.0,1.0,0.0,NA,0.0,London,England
Frederic Stokes,England,1871,Forward,3.0,1.0,1.0,1.0,NA,0.0,Greenwich,England
Frank Tobin,England,1871,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Liverpool,England
Dawson Turner,England,1871,Forward,6.0,3.0,1.0,2.0,NA,0.0,Calcutta,India
Henry Turner,England,1871,Forward,1.0,0.0,1.0,0.0,NA,0.0,Sussex,England
Thomas Batson,England,1872,Forward,3.0,3.0,0.0,0.0,NA,0.0,Hereford,England
James Body,England,1872,Forward,2.0,1.0,0.0,1.0,NA,0.0,Kent,England
James Bush,England,1872,Forward,5.0,3.0,0.0,2.0,NA,0.0,Cawnpore,Australia
Frederick Currey,England,1872,Forward,1.0,1.0,0.0,0.0,NA,0.0,Kent,England
Francis d'Aguilar,England,1872,Forward,1.0,1.0,0.0,0.0,NA,1.0,Bengal,India
Stephen Finney,England,1872,Halfback,2.0,1.0,0.0,1.0,NA,1.0,Marylebone,England
Harold Freeman,England,1872,Three-quarters,3.0,2.0,0.0,1.0,NA,0.0,Glos,France
Francis Isherwood,England,1872,Forward,1.0,1.0,0.0,0.0,NA,0.0,Berkshire,England
Frank Luscombe,England,1872,Forward,6.0,4.0,0.0,2.0,NA,0.0,Surrey,England
James Mackinlay,England,1872,Forward,3.0,2.0,0.0,1.0,NA,0.0,Guildford,England
Frederick Mills,England,1872,Fullback,2.0,1.0,0.0,1.0,NA,0.0,Chertsey,England
William Moberly,England,1872,Fullback,1.0,1.0,0.0,0.0,NA,0.0,Sx,England
Nipper Pinching,England,1872,Forward,1.0,1.0,0.0,0.0,NA,0.0,Gravesend,England
Percy Wilkinson,England,1872,Halfback,1.0,1.0,0.0,0.0,NA,0.0,Hampstead,England
Cecil Boyle,England,1873,Halfback,1.0,0.0,0.0,1.0,NA,0.0,London,England
Ernest Cheston,England,1873,Forward,5.0,3.0,0.0,2.0,NA,1.0,Hackney,USA
William Fletcher,England,1873,Forward,2.0,0.0,0.0,2.0,NA,0.0,Kensington,England
Henry Lawrence,England,1873,Forward,4.0,2.0,0.0,2.0,NA,0.0,Lahore,India
Henry Marsh,England,1873,Forward,1.0,0.0,0.0,1.0,NA,0.0,NA,Ireland
Murray Marshall,England,1873,Forward,10.0,6.0,1.0,3.0,NA,0.0,"Guildford, Surrey",England
Sydney Morse,England,1873,Fullback,3.0,1.0,0.0,2.0,NA,0.0,Birmingham,England
Cyril Rickards,England,1873,Forward,1.0,0.0,0.0,1.0,NA,0.0,Jeypore,India
Ernest Still,England,1873,Forward,1.0,0.0,0.0,1.0,NA,0.0,Epsom,England
Charles Vanderspar,England,1873,Fullback,1.0,0.0,0.0,1.0,NA,0.0,Ceylon,SriLanka
John Batten,England,1874,Fullback,1.0,1.0,0.0,0.0,NA,0.0,Kumaon,India
Marshall Brooks,England,1874,Fullback,1.0,1.0,0.0,0.0,NA,0.0,Lancs,England
Henry Bryden,England,1874,Forward,1.0,1.0,0.0,0.0,NA,0.0,Banbury,England
William Collins,England,1874,Halfback,5.0,4.0,0.0,1.0,NA,1.0,Monghyr,India
Charles Crosse,England,1874,Forward,2.0,2.0,0.0,0.0,NA,0.0,Herts,England
Foster Cunliffe,England,1874,Forward,1.0,1.0,0.0,0.0,NA,0.0,Llanfyllin,Wales
James Genth,England,1874,Forward,2.0,1.0,0.0,1.0,NA,0.0,Manchester,England
Edward Kewley,England,1874,Forward,7.0,4.0,1.0,2.0,NA,1.0,Bucks,England
William Milton,England,1874,Three-quarters,2.0,2.0,0.0,0.0,NA,0.0,Bucks,England
Sidney Parker,England,1874,Forward,2.0,1.0,0.0,1.0,NA,0.0,Oxon,England
William Stafford,England,1874,Forward,1.0,1.0,0.0,0.0,NA,0.0,,
Roger Walker,England,1874,Forward,5.0,4.0,0.0,1.0,NA,0.0,Bury,England
Frank Adams,England,1875,Forward,7.0,4.0,0.0,3.0,NA,2.0,Newcastle-upon-Tyne,England
Edward Fraser,England,1875,Forward,1.0,1.0,0.0,0.0,NA,0.0,Burnside,USA
Harry Graham,England,1875,Forward,4.0,3.0,0.0,1.0,NA,0.0,Wimbledon,England
William Hutchinson,England,1875,Forward,2.0,2.0,0.0,0.0,NA,0.0,Sculcoates,England
Arthur Michell,England,1875,Halfback,3.0,2.0,0.0,1.0,NA,1.0,Headington,England
Edward Nash,England,1875,Halfback,1.0,1.0,0.0,0.0,NA,0.0,Eton,England
Alec Pearson,England,1875,Fullback,7.0,4.0,1.0,2.0,NA,0.0,VIC,Australia
Edward Perrott,England,1875,Forward,1.0,1.0,0.0,0.0,NA,0.0,Llanfyllin,Wales
Lennard Stokes,England,1875,Three-quarters,12.0,8.0,1.0,3.0,NA,0.0,Greenwich,England
Louis Birkett,England,1875,Fullback,3.0,1.0,1.0,1.0,NA,0.0,St Saviour,Jersey
Wyndham Evanson,England,1875,Halfback,5.0,1.0,1.0,3.0,NA,1.0,Llansoy,Wales
Josiah Paul,England,1875,Forward,1.0,0.0,0.0,1.0,NA,0.0,Glos,France
Jeaffreson Brewer,England,1875,Forward,1.0,1.0,0.0,0.0,NA,0.0,Ebbw Vale,Wales
Charles Bryden,England,1875,Forward,2.0,1.0,1.0,0.0,NA,0.0,Banbury,England
Mark Bulteel,England,1875,Forward,1.0,1.0,0.0,0.0,NA,0.0,Liverpool,England
Charles Clark,England,1875,Halfback,1.0,1.0,0.0,0.0,NA,1.0,W Derby,England
John Graham,England,1875,Forward,1.0,1.0,0.0,0.0,NA,0.0,Surrey,England
Walter Greg,England,1875,Forward,2.0,2.0,0.0,0.0,NA,0.0,Macclesfield,England
Charles Gunner,England,1875,Three-quarters,1.0,1.0,0.0,0.0,NA,0.0,Bishops Waltham,England
Spencer Login,England,1875,Fullback,1.0,1.0,0.0,0.0,NA,0.0,Punjab,India
Ernest Marriott,England,1875,Forward,1.0,1.0,0.0,0.0,NA,0.0,Salford,England
Edward Turner,England,1875,Forward,3.0,3.0,0.0,0.0,NA,1.0,Epping,France
Courteney Verelst,England,1875,Forward,2.0,2.0,0.0,0.0,NA,0.0,Wirral,England
Arthur Heath,England,1876,Fullback,1.0,1.0,0.0,0.0,NA,0.0,Newcastle-under-Lyme,England
William Hunt,England,1876,Forward,4.0,3.0,1.0,0.0,NA,0.0,Preston,England
William Hutchinson,England,1876,Halfback,2.0,2.0,0.0,0.0,NA,2.0,Charlton,USA
Frederic Lee,England,1876,Forward,2.0,2.0,0.0,0.0,NA,1.0,Chelsea,England
William Rawlinson,England,1876,Forward,1.0,1.0,0.0,0.0,NA,0.0,Bury St Edmunds,England
Thomas Tetley,England,1876,Three-quarters,1.0,1.0,0.0,0.0,NA,0.0,Bradford,England
George Turner,England,1876,Forward,1.0,1.0,0.0,0.0,NA,0.0,Essex,England
Henry Fowler,England,1877,Forward,1.0,1.0,0.0,0.0,NA,0.0,Herts,England
Gillie Harrison,England,1877,Forward,7.0,5.0,1.0,1.0,NA,0.0,Cottingham,England
Monkey Hornby,England,1877,Fullback,9.0,4.0,2.0,3.0,NA,1.0,Blackburn,England
Petley Price,England,1877,Halfback,3.0,1.0,1.0,1.0,NA,0.0,Poona,Australia
Charles Touzel,England,1877,Forward,2.0,1.0,1.0,0.0,NA,0.0,Cheshire,England
Harry Garnett,England,1877,Forward,1.0,0.0,1.0,0.0,NA,0.0,Yorks,England
Archibald Law,England,1877,Forward,1.0,0.0,1.0,0.0,NA,0.0,Nice,France
Robert Todd,England,1877,Forward,1.0,0.0,1.0,0.0,NA,0.0,Bury,England
John Biggs,England,1878,Forward,2.0,1.0,0.0,1.0,NA,0.0,Reading,England
Frank Fowler,England,1878,No. 8,2.0,0.0,0.0,2.0,NA,0.0,Newbury,England
Howard Fowler,England,1878,Forward,3.0,1.0,0.0,2.0,NA,0.0,Tottenham,England
Temple Gurdon,England,1878,Forward,16.0,12.0,1.0,3.0,NA,1.0,"Barnham Broom, Norfolk",England
Henry Kayll,England,1878,Fullback,1.0,0.0,0.0,1.0,NA,0.0,Sunderland,England
George Thomson,England,1878,Forward,9.0,6.0,1.0,2.0,NA,1.0,Halifax,England
George Vernon,England,1878,Forward,5.0,4.0,0.0,1.0,NA,0.0,London,England
John Bell,England,1878,Halfback,1.0,1.0,0.0,0.0,NA,0.0,Newcastle-under-Lyme,England
Thomas Blatherwick,England,1878,Forward,1.0,1.0,0.0,0.0,NA,0.0,Quebec,Canada
Jimmy Budd,England,1878,Forward,5.0,3.0,0.0,2.0,NA,1.0,Bristol,England
Ernest Dawson,England,1878,Forward,1.0,1.0,0.0,0.0,NA,0.0,PEI,Canada
Henry Enthoven,England,1878,Three-quarters,1.0,1.0,0.0,0.0,NA,0.0,Liverpool,England
Herbert Gardner,England,1878,Forward,1.0,1.0,0.0,0.0,NA,1.0,Cawnpore,Australia
Allan Jackson,England,1878,Halfback,NA,NA,NA,NA,NA,NA,Spanish Town,Jamaica
William Penny,England,1878,Fullback,3.0,2.0,0.0,1.0,NA,1.0,Langport,England
George Burton,England,1879,Forward,6.0,4.0,0.0,2.0,NA,6.0,Wakefield,England
Harry Huth,England,1879,Fullback,1.0,0.0,0.0,1.0,NA,0.0,Huddersfield,England
Norman McLeod,England,1879,Forward,2.0,1.0,0.0,1.0,NA,0.0,Madras,India
Stuart Neame,England,1879,Forward,4.0,3.0,0.0,1.0,NA,0.0,Preston-next-Faversham,England
Hugh Rowley,England,1879,Forward,9.0,5.0,1.0,3.0,NA,3.0,Charlton,England
Henry Springmann,England,1879,Forward,2.0,0.0,0.0,2.0,NA,0.0,W Derby,England
Henry Taylor,England,1879,Halfback,5.0,3.0,1.0,1.0,NA,6.0,Greenwich,England
Harold Bateson,England,1879,Forward,1.0,1.0,0.0,0.0,NA,0.0,Liverpool,England
William Openshaw,England,1879,Halfback,1.0,1.0,0.0,0.0,NA,0.0,Cape Town,SouthAfrica
Henry Twynam,England,1879,Halfback,8.0,7.0,0.0,1.0,NA,4.0,Hants,Canada
Sidney Ellis,England,1880,Forward,1.0,1.0,0.0,0.0,NA,1.0,Lewisham,England
Thomas Fry,England,1880,Fullback,3.0,3.0,0.0,0.0,NA,1.0,Greenwich,England
Charles Gurdon,England,1880,Forward,14.0,10.0,1.0,3.0,NA,0.0,Norfolk,England
Robert Hunt,England,1880,Three-quarters,4.0,2.0,0.0,2.0,NA,2.0,Preston,England
Barron Kilner,England,1880,Forward,1.0,1.0,0.0,0.0,NA,0.0,Thornhill Lees,England
Ellis Markendale,England,1880,Forward,1.0,1.0,0.0,0.0,NA,1.0,Salford,England
John Schofield,England,1880,Forward,1.0,1.0,0.0,0.0,NA,0.0,Stretford,England
Ernie Woodhead,England,1880,Forward,1.0,1.0,0.0,0.0,NA,0.0,Huddersfield,England
Charles Coates,England,1880,Forward,3.0,1.0,1.0,1.0,NA,0.0,Lambeth,England
Richard Finch,England,1880,Halfback,1.0,1.0,0.0,0.0,NA,0.0,Kensington,England
Charles Phillips,England,1880,Forward,3.0,2.0,0.0,1.0,NA,0.0,,
Charles Sawyer,England,1880,Three-quarters,2.0,2.0,0.0,0.0,NA,1.0,Manchester,England
Charles Fernandes,England,1881,Forward,3.0,2.0,0.0,1.0,NA,1.0,Wakefield,England
Walter Hewitt,England,1881,Forward,4.0,2.0,0.0,2.0,NA,0.0,Kent,England
John Ravenscroft,England,1881,Forward,1.0,1.0,0.0,0.0,NA,0.0,Wirral,England
Ryder Richardson,England,1881,Halfback,1.0,1.0,0.0,0.0,NA,0.0,Chorlton,England
James Ward,England,1881,Forward,2.0,1.0,0.0,1.0,NA,0.0,Staines,England
Harry Vassall,England,1881,Forward,5.0,2.0,1.0,2.0,NA,3.0,Tadcaster,England
Charles Wilson,England,1881,Forward,1.0,1.0,0.0,0.0,NA,0.0,Norfolk,England
Frank Wright,England,1881,Halfback,1.0,0.0,0.0,1.0,NA,0.0,Leigh,England
Teddy Beswick,England,1882,Three-quarters,2.0,0.0,1.0,1.0,NA,0.0,Penrith,England
Wilfred Bolton,England,1882,Three-quarters,11.0,7.0,2.0,2.0,NA,6.0,"Worthing, Sussex",England
Herbert Fuller,England,1882,Forward,6.0,4.0,1.0,1.0,NA,0.0,Bath,England
James Hunt,England,1882,Forward,3.0,1.0,1.0,1.0,NA,0.0,Preston,England
Bernard Middleton,England,1882,Forward,2.0,1.0,0.0,1.0,NA,0.0,Whitehaven,England
Aubrey Spurling,England,1882,Forward,1.0,0.0,0.0,1.0,NA,0.0,Camberwell,England
Philip Newton,England,1882,Forward,1.0,0.0,1.0,0.0,NA,0.0,Brentford,England
John Payne,England,1882,Halfback,7.0,6.0,1.0,0.0,NA,0.0,Lancs,England
William Tatham,England,1882,Forward,7.0,6.0,1.0,0.0,NA,1.0,Walsingham,USA
Arthur Evanson,England,1882,Three-quarters,4.0,4.0,0.0,0.0,NA,0.0,Llansoy,Wales
Robert Henderson,England,1882,Forward,5.0,5.0,0.0,0.0,NA,1.0,Calcutta,India
Richard Kindersley,England,1882,Forward,3.0,3.0,0.0,0.0,NA,2.0,Devon,England
Alan Rotherham,England,1882,Halfback,12.0,8.0,1.0,3.0,NA,2.0,Coventry,England
Graham Standing,England,1882,Forward,2.0,2.0,0.0,0.0,NA,0.0,Clapham,England
Arthur Taylor,England,1882,Fullback,4.0,4.0,0.0,0.0,NA,0.0,Greenwich,England
Gregory Wade,England,1882,Three-quarters,8.0,8.0,0.0,0.0,NA,7.0,Sydney,Australia
Charles Wooldridge,England,1882,Forward,7.0,7.0,0.0,0.0,NA,0.0,Winchester,England
Edward Moore,England,1883,Forward,2.0,2.0,0.0,0.0,NA,0.0,Dudley,England
Richard Pattisson,England,1883,Forward,2.0,2.0,0.0,0.0,NA,0.0,Tonbridge,England
Henry Tristram,England,1883,Fullback,5.0,4.0,0.0,1.0,NA,0.0,Durham,England
Charles Chapman,England,1884,Three-quarters,1.0,1.0,0.0,0.0,NA,0.0,Lincs,Wales
Charles Marriott,England,1884,Forward,7.0,5.0,1.0,1.0,NA,0.0,Suffolk,England
Edmund Strong,England,1884,Forward,3.0,3.0,0.0,0.0,NA,0.0,Somerset,England
Henry Bell,England,1884,Forward,1.0,1.0,0.0,0.0,NA,0.0,Liverpool,England
Herbert Fallas,England,1884,Three-quarters,1.0,1.0,0.0,0.0,NA,0.0,Wakefield,England
Charles Sample,England,1884,Fullback,3.0,2.0,0.0,1.0,NA,0.0,Castle Ward,England
Alfred Teggin,England,1884,Forward,6.0,3.0,1.0,2.0,NA,1.0,Manchester,England
Henry Wigglesworth,England,1884,Three-quarters,1.0,1.0,0.0,0.0,NA,0.0,Doncaster,England
Albert Wood,England,1884,Forward,1.0,1.0,0.0,0.0,NA,0.0,,
Edward Court,England,1885,Forward,1.0,1.0,0.0,0.0,NA,0.0,Northwich,England
John Hawcridge,England,1885,Three-quarters,2.0,2.0,0.0,0.0,NA,2.0,Macclesfield,England
Arthur Kemble,England,1885,Forward,3.0,2.0,1.0,0.0,NA,0.0,Carlisle,England
Henry Ryalls,England,1885,Forward,2.0,2.0,0.0,0.0,NA,1.0,Wirral,England
Frank (Slazenger-)Moss,England,1885,Forward,3.0,3.0,0.0,0.0,NA,0.0,Manchester,England
Drewy Stoddart,England,1885,Three-quarters,10.0,6.0,3.0,1.0,5.0,2.0,S Shields,England
Charles Horley,England,1885,Forward,1.0,1.0,0.0,0.0,NA,0.0,Pendlebury,England
Fred Bonsor,England,1886,Halfback,6.0,3.0,0.0,3.0,0.0,0.0,NA,France
William Clibbon,England,1886,Forward,6.0,2.0,1.0,3.0,NA,0.0,Co Tipperary,Ireland
Charles Elliot,England,1886,Forward,1.0,1.0,0.0,0.0,NA,0.0,Bishop Wearmouth,
Froude Hancock,England,1886,Forward,10.0,8.0,2.0,0.0,3.0,1.0,Somerset,England
Rupert Inglis,England,1886,Forward,3.0,2.0,0.0,1.0,NA,0.0,Hanover Square,USA
George Jeffery,England,1886,Forward,6.0,2.0,1.0,3.0,NA,1.0,London,England
Rawson Robertshaw,England,1886,Three-quarters,5.0,2.0,0.0,3.0,NA,0.0,Bradford,England
Edgar Wilkinson,England,1886,Forward,5.0,2.0,0.0,3.0,NA,2.0,Bradford,England
Norman Spurling,England,1886,Forward,3.0,1.0,0.0,2.0,NA,0.0,Blackheath,England
Rev Brutton,England,1886,Three-quarters,1.0,0.0,0.0,1.0,NA,0.0,Tynemouth,England
Hiatt Baker,England,1887,Forward,1.0,0.0,0.0,1.0,NA,0.0,Clifton,England
Charles Cleveland,England,1887,Forward,2.0,0.0,0.0,2.0,NA,0.0,Bombay,India
John Dewhurst,England,1887,Forward,4.0,0.0,2.0,2.0,0.0,0.0,"Skipton, Yorkshire",England
