John Bentley,1871,Halfback,Derbyshire,2,1,0,United Kingdom,Derbyshire,Missing
Reginald Birkett,1871,Forward,London,4,2,1,United Kingdom,England,Greater London
Benjamin Burns,1871,Forward,Perth,1,0,0,Australia,Western Australia,Perth
John Clayton,1871,Forward,Liverpool,1,0,0,United Kingdom,England,North West England
Charles Crompton,1871,Forward,Cork,1,0,0,Republic of Ireland,Munster,County Cork
Alfred Davenport,1871,Forward,Oxford,1,0,0,United Kingdom,England,South East
John Dugdale,1871,Forward,Salford,1,0,0,United Kingdom,England,North West England
Arthur Gibson,1871,Forward,Hampshire,1,0,0,United Kingdom,England,South East
Joseph Green,1871,Halfback,W Ham,1,0,0,United Kingdom,England,Greater London
Arthur Guillemard,1871,Fullback,Lewisham,2,1,0,United Kingdom,England,Greater London
Alfred Hamersley,1871,Forward,Oxon,4,2,1,United Kingdom,England,South East
Harry Luscombe,1871,Forward,Kent,1,0,0,United Kingdom,England,South East
Arthur Lyon,1871,Fullback,W Derby,1,0,0,United Kingdom,England,North West England
William MacLaren,1871,Three-quarters,Lancashire,1,0,0,United Kingdom,England,North West England
Richard Osborne,1871,Fullback,Yorks,1,0,0,Deutschland,10965,Berlin
Charles Sherrard,1871,Forward,London,2,1,0,United Kingdom,England,Greater London
Frederic Stokes,1871,Forward,Greenwich,3,1,0,United Kingdom,England,East of England
Frank Tobin,1871,Halfback,Liverpool,1,0,0,United Kingdom,England,North West England
Dawson Turner,1871,Forward,Calcutta,6,3,0,India,West Bengal,Kolkata
Henry Turner,1871,Forward,Sussex,1,0,0,United States of America,Virginia,Sussex
Thomas Batson,1872,Forward,Hereford,3,3,0,United Kingdom,England,West Midlands
James Body,1872,Forward,Kent,2,1,0,United Kingdom,England,South East
James Bush,1872,Forward,Cawnpore,5,3,0,Australia,Queensland,Cawnpore
Frederick Currey,1872,Forward,Kent,1,1,0,United Kingdom,England,South East
Francis d'Aguilar,1872,Forward,Bengal,1,1,1,United States of America,Minnesota,Itasca
Stephen Finney,1872,Halfback,Marylebone,2,1,1,United Kingdom,England,Greater London
Harold Freeman,1872,Three-quarters,Glos,3,2,0,France,14100,France métropolitaine
Francis Isherwood,1872,Forward,Berkshire,1,1,0,United Kingdom,Berkshire,Missing
Frank Luscombe,1872,Forward,Surrey,6,4,0,United Kingdom,England,South East
James Mackinlay,1872,Forward,Guildford,3,2,0,United Kingdom,GU1 4UT,England
