John Bentley,1871,Halfback,Derbyshire,2,1,0,
Reginald Birkett,1871,Forward,London,4,2,1,
Benjamin Burns,1871,Forward,Perth,1,0,0,
John Clayton,1871,Forward,Liverpool,1,0,0,
Charles Crompton,1871,Forward,Cork,1,0,0,
Alfred Davenport,1871,Forward,Oxford,1,0,0,
John Dugdale,1871,Forward,Salford,1,0,0,
Arthur Gibson,1871,Forward,Hampshire,1,0,0,
Joseph Green,1871,Halfback,W Ham,1,0,0,
Arthur Guillemard,1871,Fullback,Lewisham,2,1,0,
Alfred Hamersley,1871,Forward,Oxon,4,2,1,
Harry Luscombe,1871,Forward,Kent,1,0,0,
Arthur Lyon,1871,Fullback,W Derby,1,0,0,
William MacLaren,1871,Three-quarters,Lancashire,1,0,0,
Richard Osborne,1871,Fullback,Yorks,1,0,0,
Charles Sherrard,1871,Forward,London,2,1,0,
Frederic Stokes,1871,Forward,Greenwich,3,1,0,
Frank Tobin,1871,Halfback,Liverpool,1,0,0,
Dawson Turner,1871,Forward,Calcutta,6,3,0,
Henry Turner,1871,Forward,Sussex,1,0,0,
Thomas Batson,1872,Forward,Hereford,3,3,0,
James Body,1872,Forward,Kent,2,1,0,
James Bush,1872,Forward,Cawnpore,5,3,0,
Frederick Currey,1872,Forward,Kent,1,1,0,
Francis d'Aguilar,1872,Forward,Bengal,1,1,1,
Stephen Finney,1872,Halfback,Marylebone,2,1,1,
Harold Freeman,1872,Three-quarters,Glos,3,2,0,
Francis Isherwood,1872,Forward,Berkshire,1,1,0,
Frank Luscombe,1872,Forward,Surrey,6,4,0,
James Mackinlay,1872,Forward,Guildford,3,2,0,
Frederick Mills,1872,Fullback,Chertsey,2,1,0,
William Moberly,1872,Fullback,Sx,1,1,0,
Nipper Pinching,1872,Forward,Gravesend,1,1,0,
P. Wilkinson,1872,Halfback,date unknown,1,1,0,
Cecil Boyle,1873,Halfback,London,1,0,0,
Ernest Cheston,1873,Forward,Hackney,5,3,1,
William Fletcher,1873,Forward,Kensington,2,0,0,
Henry Lawrence,1873,Forward,Lahore,4,2,0,
Henry Marsh,1873,Forward,1850,1,0,0,
Murray Marshall,1873,Forward,Goldalming,10,6,0,
Sydney Morse,1873,Fullback,Birmingham,3,1,0,
Cyril Rickards,1873,Forward,Jeypon,1,0,0,
Ernest Still,1873,Forward,Epsom,1,0,0,
Charles Vanderspar,1873,Fullback,Ceylon,1,0,0,
John Batten,1874,Fullback,Kumaon,1,1,0,
Marshall Brooks,1874,Fullback,Lancs,1,1,0,
Henry Bryden,1874,Forward,Banbury,1,1,0,
William Collins,1874,Halfback,Monghyr,5,4,1,
Charles Crosse,1874,Forward,Herts,2,2,0,
Foster Cunliffe,1874,Forward,Llanfyllin,1,1,0,
James Genth,1874,Forward,Charlton,2,1,0,
Edward Kewley,1874,Forward,Bucks,7,4,1,
William Milton,1874,Three-quarters,Bucks,2,2,0,
Sidney Parker,1874,Forward,Oxon,2,1,0,
William Stafford,1874,Forward,1854,1,1,0,
Roger Walker,1874,Forward,Bury,5,4,0,
Frank Adams,1875,Forward,Newcastle-upon-Tyne,7,4,2,
Edward Fraser,1875,Forward,Burnside,1,1,0,
Harry Graham,1875,Forward,Kingston,4,3,0,
William Hutchinson,1875,Forward,Sculcoates,2,2,0,
Arthur Michell,1875,Halfback,Headington,3,2,1,
Edward Nash,1875,Halfback,Eton,1,1,0,
Alec Pearson,1875,Fullback,VIC,7,4,0,
Edward Perrott,1875,Forward,Llanfyllin,1,1,0,
Lennard Stokes,1875,Three-quarters,Greenwich,12,8,0,
Louis Birkett,1875,Fullback,St Saviour,3,1,0,
Wyndham Evanson,1875,Halfback,Llansoy,5,1,1,
Josiah Paul,1875,Forward,Glos,1,0,0,
Jeaffreson Brewer,1875,Forward,Ebbw Vale,1,1,0,
Charles Bryden,1875,Forward,Banbury,2,1,0,
Mark Bulteel,1875,Forward,Liverpool,1,1,0,
Charles Clark,1875,Halfback,W Derby,1,1,1,
John Graham,1875,Forward,Surrey,1,1,0,
Walter Greg,1875,Forward,Macclesfield,2,2,0,
Charles Gunner,1875,Three-quarters,Bishops Waltham,1,1,0,
Spencer Login,1875,Fullback,Punjab,1,1,0,
Ernest Marriott,1875,Forward,Salford,1,1,0,
Edward Turner,1875,Forward,Epping,3,3,1,
Courteney Verelst,1875,Forward,Wirral,2,2,0,
Arthur Heath,1876,Fullback,Newcastle-under-Lyme,1,1,0,
William Hunt,1876,Forward,Preston,4,3,0,
William Hutchinson,1876,Halfback,Charlton,2,2,2,
Frederic Lee,1876,Forward,Chelsea,2,2,1,
William Rawlinson,1876,Forward,Bury St Edmunds,1,1,0,
Thomas Tetley,1876,Three-quarters,Bradford,1,1,0,
George Turner,1876,Forward,Essex,1,1,0,
Henry Fowler,1877,Forward,Herts,1,1,0,
Gillie Harrison,1877,Forward,Cottingham,7,5,0,
Monkey Hornby,1877,Fullback,Blackburn,9,4,1,
Petley Price,1877,Halfback,Poona,3,1,0,
Charles Touzel,1877,Forward,Cheshire,2,1,0,
Harry Garnett,1877,Forward,Yorks,1,0,0,
Archibald Law,1877,Forward,Nice,1,0,0,
Robert Todd,1877,Forward,Bury,1,0,0,
John Biggs,1878,Forward,Reading,2,1,0,
Frank Fowler,1878,No. 8,Newbury,2,0,0,
Howard Fowler,1878,Forward,Tottenham,3,1,0,
Temple Gurdon,1878,Forward,Norflk,16,12,1,
Henry Kayll,1878,Fullback,Sunderland,1,0,0,
George Thomson,1878,Forward,Yorks,9,6,1,
George Vernon,1878,Forward,London,5,4,0,
John Bell,1878,Halfback,Newcastle-uunder-Lym,1,1,0,
Thomas Blatherwick,1878,Forward,Quebec,1,1,0,
Jimmy Budd,1878,Forward,Bristol,5,3,1,
Ernest Dawson,1878,Forward,Charlottetown,1,1,0,
Henry Enthoven,1878,Three-quarters,Liverpool,1,1,0,
Herbert Gardner,1878,Forward,Cawnpore,1,1,1,
Allan Jackson,1878,Halfback,Spanish Town,,,,
William Penny,1878,Fullback,Langport,3,2,1,
George Burton,1879,Forward,Wakefield,6,4,6,
Harry Huth,1879,Fullback,Huddersfield,1,0,0,
Norman McLeod,1879,Forward,Madras,2,1,0,
Stuart Neame,1879,Forward,Preston FavershaKent,4,3,0,
Hugh Rowley,1879,Forward,Chorlton-upon-Medloc,9,5,3,
Henry Springmann,1879,Forward,W Derby,2,0,0,
Henry Taylor,1879,Halfback,Greenwich,5,3,6,
Harold Bateson,1879,Forward,Liverpool,1,1,0,
William Openshaw,1879,Halfback,Cape Town,1,1,0,
Henry Twynam,1879,Halfback,Hants,8,7,4,
Sidney Ellis,1880,Forward,Lewisham,1,1,1,
Thomas Fry,1880,Fullback,Greenwich,3,3,1,
Charles Gurdon,1880,Forward,Norfolk,14,10,0,
Robert Hunt,1880,Three-quarters,Preston,4,2,2,
Barron Kilner,1880,Forward,Thornhill Leer,1,1,0,
Ellis Markendale,1880,Forward,Salford,1,1,1,
John Schofield,1880,Forward,Stretford,1,1,0,
Ernie Woodhead,1880,Forward,Huddersfield,1,1,0,
Charles Coates,1880,Forward,Lambeth,3,1,0,
Richard Finch,1880,Halfback,Kensington,1,1,0,
Charles Phillips,1880,Forward,?,3,2,0,
Charles Sawyer,1880,Three-quarters,Manchester,2,2,1,
Charles Fernandes,1881,Forward,Wakefield,3,2,1,
Walter Hewitt,1881,Forward,Kent,4,2,0,
John Ravenscroft,1881,Forward,Wirral,1,1,0,
Ryder Richardson,1881,Halfback,Chorlton,1,1,0,
James Ward,1881,Forward,Staines,2,1,0,
Harry Vassall,1881,Forward,Tadcaster,5,2,3,
Charles Wilson,1881,Forward,Norfolk,1,1,0,
Frank Wright,1881,Halfback,Leigh,1,0,0,
Teddy Beswick,1882,Three-quarters,Penrith,2,0,0,
Wilfred Bolton,1882,Three-quarters,Sx,11,7,6,
Herbert Fuller,1882,Forward,Bath,6,4,0,
James Hunt,1882,Forward,Preston,3,1,0,
Bernard Middleton,1882,Forward,Whitehaven,2,1,0,
Aubrey Spurling,1882,Forward,Camberwell,1,0,0,
Philip Newton,1882,Forward,Brentford,1,0,0,
John Payne,1882,Halfback,Lancs,7,6,0,
William Tatham,1882,Forward,Walsingham,7,6,1,
Arthur Evanson,1882,Three-quarters,nr.Usk,4,4,0,
Robert Henderson,1882,Forward,Calcutta,5,5,1,
Richard Kindersley,1882,Forward,Devon,3,3,2,
Alan Rotherham,1882,Halfback,Coventry,12,8,2,
Graham Standing,1882,Forward,Clapham,2,2,0,
Arthur Taylor,1882,Fullback,Greenwich,4,4,0,
Gregory Wade,1882,Three-quarters,NSW,8,8,7,
Charles Wooldridge,1882,Forward,Winchester,7,7,0,
Edward Moore,1883,Forward,Dudley,2,2,0,
Richard Pattisson,1883,Forward,Tonbridge,2,2,0,
Henry Tristram,1883,Fullback,Durham,5,4,0,
Charles Chapman,1884,Three-quarters,Lincs,1,1,0,
Charles Marriott,1884,Forward,Suffolk,7,5,0,
Edward Strong,1884,Forward,Axbridge,3,3,0,
Henry Bell,1884,Forward,Liverpool,1,1,0,
Herbert Fallas,1884,Three-quarters,Wakefield,1,1,0,
Charles Sample,1884,Fullback,Castle Ward,3,2,0,
Alfred Teggin,1884,Forward,Manchester,6,3,1,
Henry Wigglesworth,1884,Three-quarters,Doncaster,1,1,0,
Albert Wood,1884,Forward,date unknown,1,1,0,
Edward Court,1885,Forward,Northwich,1,1,0,
John Hawcridge,1885,Three-quarters,Macclesfield,2,2,2,
Arthur Kemble,1885,Forward,Carlisle,3,2,0,
Henry Ryalls,1885,Forward,Wirral,2,2,1,
Frank (Slazenger-)Moss,1885,Forward,Manchester,3,3,0,
Drewy Stoddart,1885,Three-quarters,S Shields,10,6,2,5
Charles Horley,1885,Forward,Pendlebury,1,1,0,
Fred Bonsor,1886,Halfback,1862,6,3,0,0
William Clibbon,1886,Forward,Co Tipperary,6,2,0,
Charles Elliot,1886,Forward,Sunderland,1,1,0,
Froude Hancock,1886,Forward,Somerset,10,8,1,3
Rupert Inglis,1886,Forward,Hanover Square,3,2,0,
George Jeffery,1886,Forward,London,6,2,1,
Rawson Robertshaw,1886,Three-quarters,Bradford,5,2,0,
Edgar Wilkinson,1886,Forward,Bradford,5,2,2,
Norman Spurling,1886,Forward,Blackheath,3,1,0,
Rev Brutton,1886,Three-quarters,Tynemouth,1,0,0,
Hiatt Baker,1887,Forward,Clifton,1,0,0,
Charles Cleveland,1887,Forward,Bombay,2,0,0,
John Dewhurst,1887,Forward,Yorks,4,0,0,0
John Hickson,1887,Forward,Clapham Common,6,2,0,0
John le Fleming,1887,Three-quarters,Tonbridge,1,0,0,
Dicky Lockwood,1887,Three-quarters,Crigglestone,14,8,5,28
Sam Roberts,1887,Fullback,date unknown,2,0,0,
Bob Seddon,1887,Forward,Lancashire,3,0,0,
Arthur Fagan,1887,Three-quarters,Calcutta,1,0,0,
Frank Pease,1887,Forward,Darlington,1,0,0,
Mason Scott,1887,Halfback,Newcastle-upon-Tyne,3,2,0,0
Charles Anderton,1889,Forward,Machester,1,1,0,0
Harry Bedford,1889,Forward,Leeds,3,3,2,2
John Cave,1889,Forward,Surbiton,1,1,0,0
Frank Evershed,1889,Forward,Staffs,10,7,4,7
Donald Jowett,1889,Forward,Bradford,6,5,0,2
Frederick Lowrie,1889,Forward,Wakefield,2,1,0,0
Arthur Robinson,1889,Forward,Darlington,4,3,0,0
Artie Royle,1889,Fullback,date unknown,1,1,0,0
William Scott,1889,Halfback,Gateshead,1,1,0,0
John Sutcliffe,1889,Three-quarters,nr Halifax,1,1,1,3
Harry Wilkinson,1889,Forward,Halifax,1,1,0,0
William Yiend,1889,Forward,Winchcome,6,5,0,0
Richard Budworth,1890,Forward,Essex,3,1,1,1
Francis Fox,1890,Halfback,Wellington,2,1,0,0
Willie Mitchell,1890,Fullback,Quebec,10,7,0,3
Dolly Morrison,1890,Three-quarters,Guisborough,4,3,1,1
John Rogers,1890,Forward,Aston,4,2,1,1
Jim Valentine,1890,Centre,Salford,4,1,0,2
Samuel Woods,1890,Forward,NSW,13,9,1,6
James Wright,1890,Halfback,Yorks,1,0,0,0
Randolph Aston,1890,Centre,Kensington,5,5,2,2
Jack Dyson,1890,Three-quarters,Skelmanthorpe,4,3,1,2
Edgar Holmes,1890,Forward,Bradford,2,2,0,0
