Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Apimeleki Amaraki,Fiji,1924,Centre,8,3,4,1,3,1,,
Kuruka Bogiwalu,Fiji,1924,Flanker,7,3,3,1,3,1,,
Viliame Devo,Fiji,1924,Wing,5,2,2,1,3,1,,
Esava Kobiti,Fiji,1924,Fullback,8,3,4,1,5,0,,
Jioji Koroibanuve,Fiji,1924,Centre,6,2,3,1,0,0,,
Samisoni Koroitamudu,Fiji,1924,NA,5,2,2,1,8,0,,
Atunaisa Laqeretabua,Fiji,1924,Lock,19,11,6,2,6,2,,
Filimone Masivulo,Fiji,1924,NA,5,2,2,1,0,0,,
Lepani Matea,Fiji,1924,NA,5,2,2,1,3,1,,
Fereti Naceba,Fiji,1924,NA,5,2,2,1,0,0,,
Sairusi Natuna,Fiji,1924,Wing,9,4,4,1,3,1,,
Aloesi Qio,Fiji,1924,Fullback,8,3,4,1,7,0,,
Lepani Tamani,Fiji,1924,NA,5,2,2,1,0,0,,
Savenaca Tamanibeka,Fiji,1924,Centre,10,4,5,1,3,1,,
Isikeli Taukei,Fiji,1924,Wing,7,2,4,1,0,0,,
Kemueli Tolili,Fiji,1924,NA,5,2,2,1,0,0,,
Nalovu Tubutubu,Fiji,1924,Utility back,5,2,2,1,3,1,,
Solomone Tuicakau,Fiji,1924,NA,5,2,2,1,0,0,,
Ilaisa Tulele,Fiji,1924,NA,5,2,2,1,0,0,,
Ulaiasi Vosabalavu,Fiji,1924,Wing,5,2,2,1,3,1,,
Kitione Kida,Fiji,1926,Fly-half,2,1,1,0,0,0,,
Rafaele Kuruisiga,Fiji,1926,Scrum-half,3,1,2,0,0,0,,
Osea Nabavu,Fiji,1926,Scrum-half,2,1,1,0,3,1,,
Kinivuai Nabili,Fiji,1926,Lock,5,3,2,0,0,0,,
Apenisa Nayacalagilagi,Fiji,1926,Centre,1,1,0,0,0,0,,
Saimone Rabici,Fiji,1926,Forward,5,2,3,0,0,0,,
Pita Ravaga,Fiji,1926,Prop,6,3,3,0,0,0,,
Manasa Seniloli,Fiji,1926,Centre,7,3,4,0,0,0,,
Taniela Uluiviti,Fiji,1926,Forward,6,2,4,0,0,0,,
Semi Vakarua,Fiji,1926,Forward,2,1,1,0,0,0,,
