Apimeleki Amaraki,1924,,date unknown,8,3,1,3,g,n,i
Kuruka Bogiwalu,1924,Flanker,date unknown,7,3,1,3,g,n,i
Viliame Devo,1924,Wing,date unknown,5,2,1,3,g,n,i
Esava Kobiti,1924,Fullback,date unknown,8,3,0,5,g,n,i
Jioji Koroibanuve,1924,,date unknown,6,2,0,0,g,n,i
Samisoni Koroitamudu,1924,,date unknown,5,2,0,8,g,n,i
Atunaisa Laqeretabua,1924,Lock,date unknown,19,11,2,6,g,n,i
Filimone Masivulo,1924,,date unknown,5,2,0,0,g,n,i
Lepani Matea,1924,,date unknown,5,2,1,3,g,n,i
Fereti Naceba,1924,,date unknown,5,2,0,0,g,n,i
Sairusi Natuna,1924,Wing,date unknown,9,4,1,3,g,n,i
Aloesi Qio,1924,Fullback,date unknown,8,3,0,7,g,n,i
Lepani Tamani,1924,,date unknown,5,2,0,0,g,n,i
Savenaca Tamanibeka,1924,Centre,date unknown,10,4,1,3,g,n,i
Isikeli Taukei,1924,Wing,date unknown,7,2,0,0,g,n,i
Kemueli Tolili,1924,,date unknown,5,2,0,0,g,n,i
Nalovu Tubutubu,1924,Utility back,date unknown,5,2,1,3,g,n,i
Solomone Tuicakau,1924,,date unknown,5,2,0,0,g,n,i
Ilaisa Tulele,1924,,date unknown,5,2,0,0,g,n,i
Ulaiasi Vosabalavu,1924,Wing,date unknown,5,2,1,3,g,n,i
Kitione Kida,1926,Fly-half,date unknown,2,1,0,0,g,n,i
Rafaele Kuruisiga,1926,Scrum-half,date unknown,3,1,0,0,g,n,i
Osea Nabavu,1926,Scrum-half,date unknown,2,1,1,3,g,n,i
Kinivuai Nabili,1926,Lock,date unknown,5,3,0,0,g,n,i
Apenisa Nayacalagilagi,1926,Centre,date unknown,1,1,0,0,g,n,i
Saimone Rabici,1926,Forward,date unknown,5,2,0,0,g,n,i
Pita Ravaga,1926,Prop,date unknown,6,3,0,0,g,n,i
Manasa Seniloli,1926,Centre,date unknown,7,3,0,0,g,n,i
Taniela Uluiviti,1926,Forward,date unknown,6,2,0,0,g,n,i
Semi Vakarua,1926,Forward,date unknown,2,1,0,0,g,n,i
Jese Baleiwei,1926,Flanker,date unknown,9,5,1,3,g,n,i
Tevita Seniloli,1926,Forward,date unknown,5,3,2,6,g,n,i
Delana,1926,,date unknown,1,0,0,0,g,n,i
Livai,1926,,date unknown,1,0,0,0,g,n,i
Poasa Waqa,1926,Utility back,date unknown,10,7,3,9,g,n,i
Josefa Bibi,1928,,date unknown,4,2,0,15,g,n,i
Isikeli Cawa,1928,Centre,date unknown,11,7,2,6,g,n,i
Avaiata Durusolo,1928,,date unknown,3,2,0,0,g,n,i
Anare Mara,1928,Wing,date unknown,4,2,1,3,g,n,i
Saimone Matasarasara,1928,,date unknown,2,1,0,0,g,n,i
Joeli Ravai,1928,Scrum-half,date unknown,4,2,0,0,g,n,i
Manasa Ravai,1928,,date unknown,2,1,0,0,g,n,i
Epeli Ravouvou,1928,Lock,date unknown,4,2,0,0,g,n,i
Veresi Taliqa,1928,,date unknown,4,2,0,0,g,n,i
Jo Waqa,1928,Fly-half,date unknown,1,1,0,0,g,n,i
Asela Batikaciwa,1932,Scrum-half,date unknown,6,5,0,0,g,n,i
Aseri Bose,1932,Prop,date unknown,6,5,1,3,g,n,i
Vula Daunibau,1932,No. 8,date unknown,3,3,2,6,g,n,i
Isikeli Daveta,1932,Wing,date unknown,6,5,6,18,g,n,i
Alifereti Koroi,1932,Wing,date unknown,4,3,2,6,g,n,i
Akuila Matanibukaca,1932,Lock,date unknown,6,5,2,19,g,n,i
Sakeasi Rabitu,1932,Flanker,date unknown,6,5,0,0,g,n,i
Joape Suluaqalo,1932,Hooker,date unknown,3,3,3,9,g,n,i
Sunia Tubuna,1932,Fullback,date unknown,3,3,0,0,g,n,i
Peni Tuidraki,1932,Fly-half,date unknown,3,3,0,4,g,n,i
Vilitati Vavaitamana,1932,Lock,date unknown,10,7,0,0,g,n,i
Samu Baravilala,1934,Fly-half,circa 1915,7,5,3,42,Perú,Tacna,Candarave
Sairusi Bola,1934,Lock,date unknown,1,1,0,0,g,n,i
Isoa Gavidi,1934,Fullback,date unknown,4,2,0,0,g,n,i
Seru Ralawa,1934,Utility back,date unknown,7,4,2,14,g,n,i
Raiwalui Seniloli,1934,Prop,date unknown,3,2,1,3,g,n,i
Eroni Vavaitamana,1934,Flanker,date unknown,3,2,0,0,g,n,i
Vilisi Nadaku,1934,Lock,date unknown,5,2,0,0,g,n,i
Jone Wesele,1934,Scrum-half,date unknown,2,1,0,0,g,n,i
Peni Sailasa,1934,Flanker,date unknown,1,1,0,0,g,n,i
Ratu Dovi,1938,Fly-half,date unknown,3,1,0,0,g,n,i
Atunaisa Kororua,1938,Scrum-half,date unknown,3,1,0,0,g,n,i
Vetaia Naisoro,1938,Prop,date unknown,3,1,0,0,g,n,i
Solomone Qurai,1938,Lock,date unknown,4,2,0,0,g,n,i
Ulaiasi Radike,1938,Fly-half,date unknown,3,1,0,0,g,n,i
Apakuki Tuitavua,1938,Lock,date unknown,16,8,0,0,g,n,i
Esava Vavaitamana,1938,Prop,date unknown,8,4,0,0,g,n,i
Josaia Voreqe,1938,Wing,date unknown,5,3,3,9,g,n,i
Tomasi Vosaicake,1938,Hooker,date unknown,4,2,1,3,g,n,i
Isireli Korovulavula,1938,Fullback,date unknown,3,2,1,3,g,n,i
Isimeli Wea,1938,Lock,date unknown,1,0,0,0,g,n,i
Epeli Bola,1939,Wing,date unknown,1,1,1,3,g,n,i
George Cakobau,1939,Fly-half,Bau,1,1,0,2,Malaysia,Sarawak,Bahagian Kuching
Penaia Ganilau,1939,Flanker,date unknown,1,1,0,0,g,n,i
Peni Lagilagi,1939,Flanker,date unknown,1,1,0,0,g,n,i
Vereniki Loba,1939,Forward,date unknown,1,1,0,0,g,n,i
Inoke Nagatalevu,1939,Fly-half,date unknown,1,1,0,0,g,n,i
Sevesi Vatudau,1939,Prop,date unknown,1,1,0,0,g,n,i
Ilaitia Cobitu,1947,Flanker,date unknown,5,3,0,0,g,n,i
Emosi Dawai,1947,Wing,date unknown,1,1,1,3,g,n,i
Luke Dawai,1947,Forward,date unknown,2,2,0,0,g,n,i
Solomone Mataiyavi,1947,Lock,date unknown,2,2,0,0,g,n,i
Onisimo Naikovu,1947,Prop,date unknown,4,3,0,0,g,n,i
Tuiyau Naitini,1947,Scrum-half,circa 1910,5,3,0,0,Perú,Tacna,Candarave
Etuate Nima,1947,Wing,date unknown,3,2,4,12,g,n,i
Manasa Nukuvou,1947,Flanker,date unknown,5,4,0,0,g,n,i
Ilisoni Ravoka,1947,Wing,date unknown,4,3,2,6,g,n,i
Lui Saladoka,1947,Hooker,date unknown,1,1,0,0,g,n,i
Waisea Tuisese,1947,Centre,date unknown,4,2,1,3,g,n,i
