['Apimeleki Amaraki', '1924', '', '8', '3', '4', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Kuruka Bogiwalu', '1924', 'Flanker', '7', '3', '3', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Viliame Devo', '1924', 'Wing', '5', '2', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Esava Kobiti', '1924', 'Fullback', '8', '3', '4', '1', '0', '5', 'date unknown', 'g', 'n', 'i']
['Jioji Koroibanuve', '1924', '', '6', '2', '3', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Samisoni Koroitamudu', '1924', '', '5', '2', '2', '1', '0', '8', 'date unknown', 'g', 'n', 'i']
['Atunaisa Laqeretabua', '1924', 'Lock', '19', '11', '6', '2', '2', '6', 'date unknown', 'g', 'n', 'i']
['Filimone Masivulo', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Lepani Matea', '1924', '', '5', '2', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Fereti Naceba', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Sairusi Natuna', '1924', 'Wing', '9', '4', '4', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Aloesi Qio', '1924', 'Fullback', '8', '3', '4', '1', '0', '7', 'date unknown', 'g', 'n', 'i']
['Lepani Tamani', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Savenaca Tamanibeka', '1924', 'Centre', '10', '4', '5', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Isikeli Taukei', '1924', 'Wing', '7', '2', '4', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Kemueli Tolili', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Nalovu Tubutubu', '1924', 'Utility back', '5', '2', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Solomone Tuicakau', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Ilaisa Tulele', '1924', '', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Ulaiasi Vosabalavu', '1924', 'Wing', '5', '2', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Kitione Kida', '1926', 'Fly-half', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Rafaele Kuruisiga', '1926', 'Scrum-half', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Osea Nabavu', '1926', 'Scrum-half', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Kinivuai Nabili', '1926', 'Lock', '5', '3', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Apenisa Nayacalagilagi', '1926', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Saimone Rabici', '1926', 'Forward', '5', '2', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Pita Ravaga', '1926', 'Prop', '6', '3', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Manasa Seniloli', '1926', 'Centre', '7', '3', '4', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Taniela Uluiviti', '1926', 'Forward', '6', '2', '4', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Semi Vakarua', '1926', 'Forward', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Jese Baleiwei', '1926', 'Flanker', '9', '5', '4', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Tevita Seniloli', '1926', 'Forward', '5', '3', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Delana', '1926', '', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Livai', '1926', '', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Poasa Waqa', '1926', 'Utility back', '10', '7', '3', '0', '3', '9', 'date unknown', 'g', 'n', 'i']
['Josefa Bibi', '1928', '', '4', '2', '2', '0', '0', '15', 'date unknown', 'g', 'n', 'i']
['Isikeli Cawa', '1928', 'Centre', '11', '7', '3', '1', '2', '6', 'date unknown', 'g', 'n', 'i']
['Avaiata Durusolo', '1928', '', '3', '2', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Anare Mara', '1928', 'Wing', '4', '2', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Saimone Matasarasara', '1928', '', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Joeli Ravai', '1928', 'Scrum-half', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Manasa Ravai', '1928', '', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Epeli Ravouvou', '1928', 'Lock', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Veresi Taliqa', '1928', '', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Jo Waqa', '1928', 'Fly-half', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Asela Batikaciwa', '1932', 'Scrum-half', '6', '5', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Aseri Bose', '1932', 'Prop', '6', '5', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Vula Daunibau', '1932', 'No. 8', '3', '3', '0', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Isikeli Daveta', '1932', 'Wing', '6', '5', '1', '0', '6', '18', 'date unknown', 'g', 'n', 'i']
['Alifereti Koroi', '1932', 'Wing', '4', '3', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Akuila Matanibukaca', '1932', 'Lock', '6', '5', '1', '0', '2', '19', 'date unknown', 'g', 'n', 'i']
['Sakeasi Rabitu', '1932', 'Flanker', '6', '5', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Joape Suluaqalo', '1932', 'Hooker', '3', '3', '0', '0', '3', '9', 'date unknown', 'g', 'n', 'i']
['Sunia Tubuna', '1932', 'Fullback', '3', '3', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Peni Tuidraki', '1932', 'Fly-half', '3', '3', '0', '0', '0', '4', 'date unknown', 'g', 'n', 'i']
['Vilitati Vavaitamana', '1932', 'Lock', '10', '7', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Samu Baravilala', '1934', 'Fly-half', '7', '5', '2', '0', '3', '42', 'circa 1915', 'Per\xc3\xba', 'Tacna', 'Candarave']
['Sairusi Bola', '1934', 'Lock', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Isoa Gavidi', '1934', 'Fullback', '4', '2', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Seru Ralawa', '1934', 'Utility back', '7', '4', '2', '1', '2', '14', 'date unknown', 'g', 'n', 'i']
['Raiwalui Seniloli', '1934', 'Prop', '3', '2', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Eroni Vavaitamana', '1934', 'Flanker', '3', '2', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Vilisi Nadaku', '1934', 'Lock', '5', '2', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Jone Wesele', '1934', 'Scrum-half', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Peni Sailasa', '1934', 'Flanker', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Ratu Dovi', '1938', 'Fly-half', '3', '1', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Atunaisa Kororua', '1938', 'Scrum-half', '3', '1', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Vetaia Naisoro', '1938', 'Prop', '3', '1', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Solomone Qurai', '1938', 'Lock', '4', '2', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Ulaiasi Radike', '1938', 'Fly-half', '3', '1', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Apakuki Tuitavua', '1938', 'Lock', '16', '8', '7', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Esava Vavaitamana', '1938', 'Prop', '8', '4', '3', '1', '0', '0', 'date unknown', 'g', 'n', 'i']
['Josaia Voreqe', '1938', 'Wing', '5', '3', '1', '1', '3', '9', 'date unknown', 'g', 'n', 'i']
['Tomasi Vosaicake', '1938', 'Hooker', '4', '2', '1', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Isireli Korovulavula', '1938', 'Fullback', '3', '2', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Isimeli Wea', '1938', 'Lock', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Epeli Bola', '1939', 'Wing', '1', '1', '0', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['George Cakobau', '1939', 'Fly-half', '1', '1', '0', '0', '0', '2', 'Bau', 'Malaysia', 'Sarawak', 'Bahagian Kuching']
['Penaia Ganilau', '1939', 'Flanker', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Peni Lagilagi', '1939', 'Flanker', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Vereniki Loba', '1939', 'Forward', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Inoke Nagatalevu', '1939', 'Fly-half', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Sevesi Vatudau', '1939', 'Prop', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Ilaitia Cobitu', '1947', 'Flanker', '5', '3', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Emosi Dawai', '1947', 'Wing', '1', '1', '0', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Luke Dawai', '1947', 'Forward', '2', '2', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Solomone Mataiyavi', '1947', 'Lock', '2', '2', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Onisimo Naikovu', '1947', 'Prop', '4', '3', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Tuiyau Naitini', '1947', 'Scrum-half', '5', '3', '2', '0', '0', '0', 'circa 1910', 'Per\xc3\xba', 'Tacna', 'Candarave']
['Etuate Nima', '1947', 'Wing', '3', '2', '1', '0', '4', '12', 'date unknown', 'g', 'n', 'i']
['Manasa Nukuvou', '1947', 'Flanker', '5', '4', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Ilisoni Ravoka', '1947', 'Wing', '4', '3', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Lui Saladoka', '1947', 'Hooker', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Waisea Tuisese', '1947', 'Centre', '4', '2', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Alipate Veikoso', '1947', 'Fly-half', '5', '3', '2', '0', '1', '9', 'date unknown', 'g', 'n', 'i']
['Taniela Ranavue', '1947', 'Fullback', '10', '5', '5', '0', '3', '41', 'date unknown', 'g', 'n', 'i']
['Marika Tabukaci', '1947', 'Prop', '2', '2', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Apisake Kikau', '1948', 'Lock', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Malakai Labaibure', '1948', 'Lock', '8', '2', '6', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Joeli Susu', '1948', 'Hooker', '6', '3', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Sailosi Valewai', '1948', 'Prop', '6', '3', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Ilaitia Vuivuda', '1948', 'Fullback', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Atunaisa Camaibau', '1948', 'Lock', '2', '1', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Kalivati Cavuilati', '1948', 'Wing', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Macanawai Cevalawa', '1948', 'Lock', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Jone Ravu', '1948', 'Fly-half', '5', '2', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Alipate Doviverata', '1948', 'Wing', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Semisi Baleca', '1951', 'Lock', '5', '3', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['George Cavalevu', '1951', 'Centre', '8', '4', '4', '0', '4', '12', 'date unknown', 'g', 'n', 'i']
['Sunia Ganilau', '1951', 'Centre', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Waisake Kunavula', '1951', 'Lock', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Penaia Lese', '1951', 'Fullback', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Josefa Levula', '1951', 'Wing', '17', '8', '8', '1', '8', '32', 'date unknown', 'g', 'n', 'i']
['Isimeli Radrodro', '1951', 'No. 8', '5', '4', '1', '0', '0', '6', 'date unknown', 'g', 'n', 'i']
['Semisi Ralagi', '1951', 'Prop', '5', '3', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Wame Salabogi', '1951', 'Fly-half', '5', '3', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Maikeli Tuvoli', '1951', 'Lock', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Suliasi Vatubua', '1951', 'Scrum-half', '10', '5', '5', '0', '0', '16', 'date unknown', 'g', 'n', 'i']
['Rusiate Vuruya', '1951', 'No. 8', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Savenaca Pe', '1951', 'Prop', '5', '3', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Peni Tove', '1951', 'Prop', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Semesa Seruvatu', '1952', 'Lock', '7', '3', '4', '0', '2', '6', 'date unknown', 'g', 'n', 'i']
['Isikeli Cawa', '1952', 'Lock', '3', '3', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Samuela Domoni', '1952', 'Centre', '3', '2', '1', '0', '1', '3', '1968', '\xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd1\x8f', '\xd0\xa1\xd0\x9a\xd0\xa4\xd0\x9e', '\xd0\x9a\xd0\xb0\xd1\x80\xd0\xb0\xd1\x87\xd0\xb0\xd0\xb5\xd0\xb2\xd0\xbe-\xd0\xa7\xd0\xb5\xd1\x80\xd0\xba\xd0\xb5\xd1\x81\xd0\xb8\xd1\x8f']
['Navitalai Taga', '1952', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Mesake Biumaiwai', '1954', 'Centre', '4', '1', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Aminisitai Burogolevu', '1954', 'Wing', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Gabirieli Naborisi', '1954', 'Flanker', '1', '0', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Apenisa Nawalu', '1954', 'Prop', '4', '1', '3', '0', '0', '3', 'date unknown', 'g', 'n', 'i']
['Josefa Saukuru', '1954', 'Hooker', '15', '10', '5', '0', '2', '19', 'date unknown', 'g', 'n', 'i']
['Orisi Dawai', '1954', 'Wing', '12', '6', '5', '1', '5', '15', 'date unknown', 'g', 'n', 'i']
['Tomasi Naidole', '1954', 'Wing', '7', '5', '2', '0', '0', '4', 'Malomalo', 'g', 'n', 'i']
['Ratulevu Silatolu', '1954', '', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
