Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Henri Amand,France,1906,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,Paris,France
Albert Branlat,France,1906,"Lock, Prop",3.0,0.0,3.0,0.0,2.0,0.0,Saint-Vivien-de-Medo,
Noel Cessieux,France,1906,No. 8,1.0,0.0,1.0,0.0,3.0,1.0,Andance,France
Marcel Communeau,France,1906,"Wing, Lock, No. 8",21.0,1.0,20.0,0.0,9.0,3.0,Beauvais,France
William Crichton,France,1906,Fullback,2.0,0.0,2.0,0.0,0.0,0.0,Cockermouth,England
Paul Dedeyn,France,1906,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,Moulineaux,France
Jacques Dufourcq,France,1906,"Lock, Flanker",4.0,0.0,4.0,0.0,0.0,0.0,Salies-de-Bearn,France
Georges Jerome,France,1906,Lock,2.0,0.0,2.0,0.0,3.0,1.0,Cayenne,France
Henri Lacassagne,France,1906,Scrum-half,2.0,0.0,2.0,0.0,0.0,0.0,Viella,France
Gaston Lane,France,1906,"Wing, Centre",16.0,1.0,15.0,0.0,3.0,1.0,Paris,France
Henri Levee,France,1906,Centre,1.0,0.0,1.0,0.0,0.0,0.0,Paris,France
Allan Muhr,France,1906,"Lock, Prop",3.0,0.0,3.0,0.0,6.0,2.0,United States,USA
Augustin Pujol,France,1906,Wing,1.0,0.0,1.0,0.0,2.0,0.0,Toulouse,France
Paul Sagot,France,1906,"Wing, Centre",3.0,0.0,3.0,0.0,5.0,1.0,Dijon,France
Andre Verges,France,1906,"Prop, Lock",3.0,0.0,3.0,0.0,0.0,0.0,,
Pierre Gaudermen,France,1906,No. 8,1.0,0.0,1.0,0.0,0.0,0.0,Paris,France
Albert Hubert,France,1906,Fly-half,7.0,0.0,7.0,0.0,0.0,0.0,Noisy-le-Sec,France
Emile Lesieur,France,1906,"Centre, Wing",12.0,0.0,12.0,0.0,6.0,2.0,Paris,France
Ernest Lewis,France,1906,Centre,1.0,0.0,1.0,0.0,0.0,0.0,Cardiff,Wales
Paul Maclos,France,1906,"Flanker, Wing, Centre",2.0,0.0,2.0,0.0,7.0,0.0,Amazy,France
G. Maurin,France,1906,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Theodore Varvier,France,1906,"Fullback, Centre, Fly-half",6.0,0.0,6.0,0.0,0.0,0.0,Lyon,France
Charles Beaurin-Gressier,France,1907,"Prop, No. 8",2.0,0.0,2.0,0.0,0.0,0.0,Paris,France
Marc Giacardy,France,1907,"Fly-half, Flanker, Halfback",1.0,0.0,1.0,0.0,0.0,0.0,Bordeaux,France
Henri Isaac,France,1907,Fullback,2.0,0.0,2.0,0.0,0.0,0.0,Guadeloupe,France
Henri Martin,France,1907,"Centre, Fullback",2.0,0.0,2.0,0.0,0.0,0.0,Cayenne,France
