Henri Amand,1906,Fly-half,1,0,1,0,0,0,Paris,France,France métropolitaine,Île-de-France
Albert Branlat,1906,"Lock, Prop",3,0,3,0,0,2,Saint-Vivien-de-Medo,g,n,i
Noel Cessieux,1906,No. 8,1,0,1,0,1,3,Andance,France,07340,France métropolitaine
Marcel Communeau,1906,"Lock, No. 8, Wing",21,1,20,0,3,9,Beauvais,France,60000,France métropolitaine
William Crichton,1906,Fullback,2,0,2,0,0,0,Cockermouth,United Kingdom,England,North West England
Paul Dedeyn,1906,Hooker,1,0,1,0,0,0,Moulineaux,France,76530,France métropolitaine
Jacques Dufourcq,1906,"Flanker, Lock",4,0,4,0,0,0,Salies-de-Bearn,France,64270,France métropolitaine
Georges Jerome,1906,Lock,2,0,2,0,1,3,Cayenne,France,97300,Guyane
Henri Lacassagne,1906,Scrum-half,2,0,2,0,0,0,Viella,France,65120,France métropolitaine
Gaston Lane,1906,"Centre, Wing",16,1,15,0,1,3,Paris,France,France métropolitaine,Île-de-France
Henri Levee,1906,Centre,1,0,1,0,0,0,Paris,France,France métropolitaine,Île-de-France
Allan Muhr,1906,"Prop, Lock",3,0,3,0,2,6,United States,United States of America,Missing,Missing
Augustin Pujol,1906,Wing,1,0,1,0,0,2,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine
Paul Sagot,1906,"Wing, Centre",3,0,3,0,1,5,Dijon,France,21000,France métropolitaine
Andre Verges,1906,"Prop, Lock",3,0,3,0,0,0,?,g,n,i
Pierre Gaudermen,1906,No. 8,1,0,1,0,0,0,Paris,France,France métropolitaine,Île-de-France
Albert Hubert,1906,Fly-half,7,0,7,0,0,0,Noisy-le-Sec,France,93130,France métropolitaine
Emile Lesieur,1906,"Wing, Centre",12,0,12,0,2,6,Paris,France,France métropolitaine,Île-de-France
Ernest Lewis,1906,Centre,1,0,1,0,0,0,Cardiff,United Kingdom,Wales,Cardiff
Paul Maclos,1906,"Wing, Centre, Flanker",2,0,2,0,0,7,Amazy,France,58190,France métropolitaine
G. Maurin,1906,Flanker,1,0,1,0,0,0,?,g,n,i
Theodore Varvier,1906,"Centre, Fly-half, Fullback",6,0,6,0,0,0,Lyon,France,France métropolitaine,Rhône-Alpes
Charles Beaurin-Gressier,1907,"No. 8, Prop",2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France
Marc Giacardy,1907,"Halfback, Fly-half, Flanker",1,0,1,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Henri Isaac,1907,Fullback,2,0,2,0,0,0,Guadeloupe,France,Guadeloupe,Missing
Henri Martin,1907,"Fullback, Centre",2,0,2,0,0,0,Cayenne,France,97300,Guyane
Paul Mauriat,1907,"Hooker, Lock, Prop",19,1,18,0,1,5,Neuville-sur-Saone,France,69250,France métropolitaine
A. Poirier,1907,Hooker,1,0,1,0,0,0,?,g,n,i
Charles Vareilles,1907,Wing,5,0,5,0,0,4,Saigon,Việt Nam,Đông Nam Bộ,Thành phố Hồ Chí Minh
Georges Borchard,1908,"Hooker, Lock, Flanker",5,0,5,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Rene Duval,1908,"Flanker, Fly-half",6,0,6,0,0,0,Paris,France,France métropolitaine,Île-de-France
Pierre Guillemin,1908,"Prop, Lock",11,1,10,0,1,3,Bonnevaux,France,30450,France métropolitaine
Alfred Mayssonnie,1908,"Scrum-half, Fly-half",3,0,3,0,0,0,Lavernose,France,31410,France métropolitaine
Henri Moure,1908,Flanker,1,0,1,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Rene von Malmann,1908,"Lock, Prop",7,0,7,0,0,0,Paris,France,France métropolitaine,Île-de-France
Maurice Leuvielle,1908,"Centre, Lock, No. 8",7,0,7,0,0,0,Saint-Loubes,France,33450,France métropolitaine
Alphonse Masse,1908,"Flanker, Lock",7,0,7,0,0,0,Saint-Christophe-de-,France,38520,France métropolitaine
Jean Caujolle,1909,Fullback,5,0,5,0,0,0,Saint-Girons,France,09200,France métropolitaine
Georges Fourcade,1909,Hooker,2,0,2,0,0,0,Saint-Pierre-sur-Dro,g,n,i
Henri Houblain,1909,Centre,2,0,2,0,0,0,?,g,n,i
Jules Icard,1909,Lock,2,0,2,0,0,0,?,g,n,i
Andre Theuriet,1909,Scrum-half,5,0,5,0,0,0,Lyon,France,France métropolitaine,Rhône-Alpes
Etienne de Jouvencel,1909,Fullback,2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France
Paul Dupre,1909,Flanker,1,0,1,0,0,0,Gagny,France,93220,France métropolitaine
Marcel Burgun,1909,"Fly-half, Wing, Centre",11,1,10,0,0,0,St Petersburg,United States of America,Florida,Pinellas County
Jacques Gommes,1909,"Scrum-half, Flanker",1,0,1,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
