Henri Amand,1906,Fly-half,Paris,1,0,0,0
Albert Branlat,1906,"Lock, Prop",Saint-Vivien-de-Medo,3,0,0,2
Noel Cessieux,1906,No. 8,Andance,1,0,1,3
Marcel Communeau,1906,"Lock, No. 8, Wing",Beauvais,21,1,3,9
William Crichton,1906,Fullback,Cockermouth,2,0,0,0
Paul Dedeyn,1906,Hooker,Moulineaux,1,0,0,0
Jacques Dufourcq,1906,"Flanker, Lock",Salies-de-Bearn,4,0,0,0
Georges Jerome,1906,Lock,Cayenne,2,0,1,3
Henri Lacassagne,1906,Scrum-half,Viella,2,0,0,0
Gaston Lane,1906,"Centre, Wing",Paris,16,1,1,3
Henri Levee,1906,Centre,Paris,1,0,0,0
Allan Muhr,1906,"Prop, Lock",United States,3,0,2,6
Augustin Pujol,1906,Wing,Toulouse,1,0,0,2
Paul Sagot,1906,"Wing, Centre",Dijon,3,0,1,5
Andre Verges,1906,"Prop, Lock",?,3,0,0,0
Pierre Gaudermen,1906,No. 8,Paris,1,0,0,0
Albert Hubert,1906,Fly-half,Noisy-le-Sec,7,0,0,0
Emile Lesieur,1906,"Wing, Centre",Paris,12,0,2,6
Ernest Lewis,1906,Centre,Cardiff,1,0,0,0
Paul Maclos,1906,"Wing, Centre, Flanker",Amazy,2,0,0,7
G. Maurin,1906,Flanker,?,1,0,0,0
Theodore Varvier,1906,"Centre, Fly-half, Fullback",Lyon,6,0,0,0
Charles Beaurin-Gressier,1907,"No. 8, Prop",Paris,2,0,0,0
Marc Giacardy,1907,"Halfback, Fly-half, Flanker",Bordeaux,1,0,0,0
Henri Isaac,1907,Fullback,Guadeloupe,2,0,0,0
Henri Martin,1907,"Fullback, Centre",Cayenne,2,0,0,0
Paul Mauriat,1907,"Hooker, Lock, Prop",Neuville-sur-Saone,19,1,1,5
A. Poirier,1907,Hooker,?,1,0,0,0
Charles Vareilles,1907,Wing,Saigon,5,0,0,4
Georges Borchard,1908,"Hooker, Lock, Flanker",Bordeaux,5,0,0,0
Rene Duval,1908,"Flanker, Fly-half",Paris,6,0,0,0
Pierre Guillemin,1908,"Prop, Lock",Bonnevaux,11,1,1,3
Alfred Mayssonnie,1908,"Scrum-half, Fly-half",Lavernose,3,0,0,0
Henri Moure,1908,Flanker,Bordeaux,1,0,0,0
Rene von Malmann,1908,"Lock, Prop",Paris,7,0,0,0
Maurice Leuvielle,1908,"Centre, Lock, No. 8",Saint-Loubes,7,0,0,0
Alphonse Masse,1908,"Flanker, Lock",Saint-Christophe-de-,7,0,0,0
Jean Caujolle,1909,Fullback,Saint-Girons,5,0,0,0
Georges Fourcade,1909,Hooker,Saint-Pierre-sur-Dro,2,0,0,0
Henri Houblain,1909,Centre,?,2,0,0,0
Jules Icard,1909,Lock,?,2,0,0,0
Andre Theuriet,1909,Scrum-half,Lyon,5,0,0,0
Etienne de Jouvencel,1909,Fullback,Paris,2,0,0,0
Paul Dupre,1909,Flanker,Gagny,1,0,0,0
Marcel Burgun,1909,"Fly-half, Wing, Centre",St Petersburg,11,1,0,0
Jacques Gommes,1909,"Scrum-half, Flanker",Bordeaux,1,0,0,0
Augustin Hourdebaigt,1909,Lock,Bordeaux,5,0,1,3
Marcel Legrain,1909,"Centre, Flanker, No. 8",Paris,12,1,0,0
Claude Martin,1909,Fly-half,Lyon,3,0,0,0
Francis Mouronval,1909,"Centre, Flanker",Avesnes-sur-Helpe,1,0,0,0
Joe Anduran,1910,Hooker,Bayonne,1,0,0,0
Rene Boudreaux,1910,Prop,Paris,2,0,0,0
Maurice Bruneau,1910,"Wing, Centre, Fly-half",Bordeaux,4,0,1,3
Remi Laffitte,1910,"Centre, Flanker",Osserain,2,0,1,3
R. Menrath,1910,Fullback,?,1,0,0,8
M. Thevenot,1910,"Lock, Prop",?,3,0,0,0
Jules Cadenat,1910,"Prop, Lock, No. 8",Beziers,7,0,0,0
Julien Combe,1910,Fullback,?,4,1,0,0
Jacques Dedet,1910,"Centre, Fly-half",New Caledo,8,0,0,0
Guillaume Laterrade,1910,"Scrum-half, Halfback",Tarbes,5,1,1,3
Joseph de Muizon,1910,Wing,Versailles,1,0,0,0
Fernand Roujas,1910,Fly-half,La Mas d'Azil,1,0,0,0
Joseph Bavozet,1911,"Flanker, Lock",Lyon,3,1,0,0
Paul Decamps,1911,"Flanker, Lock",Paris,1,1,0,4
Pierre Failliot,1911,Wing,Paris,8,1,5,15
Fernand Forgues,1911,"Lock, Flanker",Pau,11,1,0,0
Andre Francquenelle,1911,Centre,Rochefort-sur-Mer,3,1,0,0
Pierre Mouniq,1911,"Prop, Lock",Luz-Saint-Sauveur,9,1,0,0
Georges Peyroutou,1911,Fly-half,Ondres,2,1,1,3
Gilbert Charpentier,1911,"Fly-half, Wing",Pissotte,3,0,0,0
Francois Dutour,1911,Fullback,Moissat,6,0,0,2
Rene Duffour,1911,Hooker,Tarbes,1,0,0,0
Charles du Souich,1911,Centre,Tours,2,0,0,0
Robert Monier,1911,Prop,Bordeaux,2,0,0,0
Raymond Simonpaoli,1911,Lock,Courtalain,3,0,1,3
Maurice Boyau,1912,Flanker,Mustapha,6,0,0,4
Jean-Jacques Conilh de Beyssac,1912,"Lock, Prop",Cauderan,5,0,0,0
Jean Domercq,1912,Back-row,Orthez,2,0,0,0
Julien Dufau,1912,"Wing, Centre",Biarritz,4,0,2,6
Daniel Ihingoue,1912,Centre,Ilharre,2,0,0,0
Jean Larribau,1912,"Scrum-half, Wing",Anglet,7,0,1,3
Edouard Vallot,1912,Hooker,London,1,0,0,0
Jacques Forestier,1912,Prop,Aix-les-Bains,1,0,0,0
Marcel Monniot,1912,"Lock, Prop",Paris,2,0,0,0
Jean-Rene Pascarel,1912,Hooker,Bordeaux,6,0,0,0
Jean Sentilles,1912,Centre,Tarbes,4,0,0,0
Helier Tilh,1912,"Prop, Lock, Wing",Bosdarros,6,0,0,0
Maurice Hedembaigt,1913,"Halfback, Scrum-half",Anglet,3,0,0,0
Pierre Jaureguy,1913,"Centre, Wing",Ostabat,4,0,0,0
Jean Sebedio,1913,"Prop, Flanker, No. 8",Saint-Jean-de-Luz,9,2,1,3
Geo Andre,1913,Wing,Paris,7,0,3,11
Albert Chatau,1913,Fly-half,Urrugne,1,0,0,0
Marcel Favre,1913,Prop,La Roche-sur-Foron,2,0,0,0
Clovis Bioussa,1913,Fly-half,Toulouse,3,0,0,0
Gustave Podevin,1913,Lock,Paris,2,0,0,0
Jean Semmartin,1913,Fullback,Ars-en-Re,2,0,0,0
Philippe Struxiano,1913,Scrum-half,Toulouse,7,2,0,6
Albert Eutropius,1913,Flanker,Cayenne,1,0,0,0
Henri Tavernier,1913,Prop,Saint-Just-en-Chauss,1,0,0,0
Jean-Marie Arnal,1914,Lock,Paris,2,0,0,0
Paul Faure,1914,"Prop, Hooker",Aureilhan,3,0,0,0
Robert Lacoste,1914,Wing,?,3,0,1,3
Rene Lasserre,1914,"Flanker, Fullback, Centre",Bayonne,15,4,2,10
Raphael Lavaud,1914,"Lock, Flanker",Bordeaux,2,0,0,0
Marcel-Frederic Lubin-Lebrere,1914,"Prop, Lock",Agen,15,3,2,6
Gilbert Pierrot,1914,Centre,Bizanos,3,0,0,0
Francois Poeydebasque,1914,"Fly-half, Centre",Bayonne,2,0,0,0
Lucien Besset,1914,"Centre, Fly-half",Paris,2,0,0,4
Robert Desvouges,1914,Lock,Neuilly-sur-Seine,1,0,0,0
Paulin Bascou,1914,Lock,Urrugne,1,0,0,0
Jean-Louis Capmau,1914,Flanker,Siran,1,0,1,3
Emmanuel Iguiniz,1914,Hooker,Bayonne,1,0,0,0
Eugene Billac,1920,Fly-half,Bayonne,9,3,2,6
Aime Cassayet-Armagnac,1920,"Lock, No. 8",Mont-de-Marsan,31,5,3,9
Andre Chilo,1920,"Wing, Fullback",Bordeaux,4,0,0,0
Rene Crabos,1920,Centre,Saint-Sever,17,6,1,19
Adolphe Jaureguy,1920,Wing,Ostabat,31,8,14,42
Joseph Laurent,1920,Flanker,Bayonne,3,0,0,0
Robert Marchand,1920,No. 8,Angouleme,2,0,0,0
Pierre Pons,1920,"Hooker, Prop",Llupia,6,1,0,0
Louis Puech,1920,Lock,Gorses,5,2,0,0
Paul Serre,1920,Wing,Clairac,2,0,0,0
Robert Thierry,1920,"Lock, Flanker",Brienon-sur-Armencon,4,1,0,0
Theophile Cambre,1920,Fullback,Bordeaux,4,2,0,0
Abel Guichemerre,1920,Flanker,Dax,4,1,0,0
Jean Lavigne,1920,Centre,Levignacq,2,0,0,0
Eugene Soulie,1920,"Lock, Prop",Paris,9,4,0,0
Maurice Biraben,1920,Prop,Dax,10,4,0,0
Georges Constant,1920,Flanker,Perpignan,1,0,0,0
Francois Borde,1920,Centre,Lourdes,12,4,1,3
William Gayraud-Hirigoyen,1920,Hooker,Laroque-Timbaut,1,1,1,3
Raoul Got,1920,Wing,Perpignan,13,4,6,18
Jean Larrieu,1920,"Hooker, Flanker",Toulouse,7,3,0,0
Pierre Moureu,1920,"No. 8, Prop, Lock",Larrau,17,5,2,6
Jean Boubee,1921,Back-row,Biarritz,9,3,1,3
Jean Clement,1921,"Fullback, Fly-half, Halfback",Tarbes,10,2,0,0
Gilbert Coscolla,1921,"Lock, Prop",Beziers,2,1,0,0
Jean Lobies,1921,Wing,Bone,3,1,0,0
Roger Piteu,1921,Scrum-half,Pau,15,2,2,6
Fernand Vaquer,1921,"No. 8, Lock",Latour-bas-Elne,3,1,0,0
Adolphe Bousquet,1921,Fly-half,Beziers,3,2,0,0
Edmond Cayrefourcq,1921,Wing,Tarbes,1,0,0,0
Charles-Anthoin Gonnet,1921,Hooker,Laon,16,4,0,5
Jacques Baquey,1921,Wing,Saint-Medard-en-Jall,1,1,0,0
Marcel de Laborderie,1921,"Wing, Centre",Buenos Aires,4,1,1,3
Maurice Jeangrand,1921,"Centre, Wing",Lourdes,1,1,0,0
Francois Cahuc,1922,Flanker,Pamiers,1,0,0,0
Joseph Pascot,1922,Fly-half,Port-Vendres,6,0,1,3
Andre Lafond,1922,Wing,Le Bouceau,1,0,0,0
Roger Ramis,1922,"Centre, Wing",Perpignan,3,0,0,0
Louis Beguet,1922,"Hooker, Prop",Neuf-Mesnil,10,3,1,32
