Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
William Allen,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,Lancs,England
George Andrews,Ireland,1875,Forward,2.0,0.0,2.0,0.0,NA,0.0,,
W.H. Ash,Ireland,1875,Forward,3.0,0.0,3.0,0.0,NA,0.0,,
Maurice Barlow,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,Dublin,Ireland
Richard Bell,Ireland,1875,Three-quarters,2.0,0.0,2.0,0.0,NA,0.0,,
Brab Casement,Ireland,1875,Forward,3.0,0.0,3.0,0.0,NA,0.0,Co Antri,France
Abram Combe,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Henry Cox,Ireland,1875,Forward,4.0,0.0,4.0,0.0,NA,0.0,Bangalore,India
Abraham Cronyn,Ireland,1875,Forward,3.0,0.0,3.0,0.0,NA,0.0,,
William Gaffikin,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Edgar Galbraith,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,Dublin,Ireland
Richard Galbraith,Ireland,1875,Fullback,3.0,0.0,3.0,0.0,NA,0.0,Dublin,Ireland
Francis Hewson,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Sandy McDonald,Ireland,1875,Forward,13.0,1.0,11.0,1.0,NA,0.0,Northern Ireland,Ireland
Edward MacIlwaine,Ireland,1875,Forward,2.0,0.0,2.0,0.0,NA,0.0,,
Robert Maginniss,Ireland,1875,Forward,2.0,0.0,2.0,0.0,NA,0.0,Northern Ireland,Ireland
John Myles,Ireland,1875,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Limerick,Ireland
George Stack,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,Omagh,Ireland
Robert Walkington,Ireland,1875,Fullback,10.0,0.0,9.0,1.0,NA,0.0,United States,USA
Henry Walsh,Ireland,1875,Forward,2.0,0.0,2.0,0.0,NA,0.0,Dublin,Ireland
David Arnott,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,Tynemouth,England
Tim Cuscaden,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,Wexford,Ireland
William Finlay,Ireland,1875,Forward,8.0,0.0,8.0,0.0,NA,0.0,,
R. Greer,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Edward Hobson,Ireland,1875,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,Co.Wexford,Ireland
John Ireland,Ireland,1875,Forward,2.0,0.0,2.0,0.0,NA,0.0,,
Hamilton Moore,Ireland,1875,Fullback,2.0,0.0,2.0,0.0,NA,0.0,Co.Antrim,Ireland
Ashley Westby,Ireland,1875,Forward,1.0,0.0,1.0,0.0,NA,0.0,Co.Dublin,Ireland
H. Brown,Ireland,1877,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,,
Thomas Brown,Ireland,1877,Forward,2.0,0.0,2.0,0.0,NA,0.0,,
Henry Edwards,Ireland,1877,Forward,2.0,0.0,2.0,0.0,NA,0.0,Carnarvon,Australia
Thomas Gordon,Ireland,1877,Halfback,3.0,0.0,3.0,0.0,NA,0.0,,
William Hamilton,Ireland,1877,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Harry Jackson,Ireland,1877,Forward,1.0,0.0,1.0,0.0,NA,0.0,Co.Monaghan,Ireland
Hugh Kelly,Ireland,1877,Forward,6.0,0.0,6.0,0.0,NA,0.0,,
Frederick Kidd,Ireland,1877,Three-quarters,3.0,0.0,3.0,0.0,NA,0.0,Newry,Ireland
Augustus Whitestone,Ireland,1877,Halfback,5.0,0.0,5.0,0.0,NA,0.0,Dublin,Ireland
William Wilson,Ireland,1877,Forward,2.0,0.0,2.0,0.0,NA,0.0,,
J. Currell,Ireland,1877,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
James Heron,Ireland,1877,Halfback,2.0,0.0,2.0,0.0,NA,0.0,Co.Down,Ireland
Henry Murray,Ireland,1877,Forward,3.0,0.0,3.0,0.0,NA,0.0,Dublin,Ireland
Garvett Shaw,Ireland,1877,Fullback,1.0,0.0,1.0,0.0,NA,0.0,Belfast,Ireland
Edward Croker,Ireland,1878,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
George Fagan,Ireland,1878,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Bengal,India
W. Griffiths,Ireland,1878,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Barney Hughes,Ireland,1878,Forward,12.0,1.0,10.0,1.0,NA,0.0,,
Robert Matier,Ireland,1878,Three-quarters,2.0,0.0,2.0,0.0,NA,0.0,Belfast,Ireland
William Moore,Ireland,1878,Forward,1.0,0.0,1.0,0.0,NA,0.0,Co.Antrim,Ireland
Frederick Schute,Ireland,1878,Forward,2.0,0.0,2.0,0.0,NA,0.0,Bradford,England
Arthur Archer,Ireland,1879,Forward,1.0,0.0,1.0,0.0,NA,0.0,Co.Kildare,Ireland
Jack Bagot,Ireland,1879,Three-quarters,5.0,1.0,4.0,0.0,NA,0.0,Galway,Ireland
William Cummins,Ireland,1879,Forward,3.0,0.0,2.0,1.0,NA,0.0,Cork,Ireland
William Goulding,Ireland,1879,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Cork,Ireland
Thomas Harrison,Ireland,1879,Three-quarters,3.0,0.0,3.0,0.0,NA,0.0,,
William Neville,Ireland,1879,Forward,2.0,0.0,2.0,0.0,NA,0.0,West Indie,India
Henry Purdon,Ireland,1879,Forward,5.0,1.0,4.0,0.0,NA,0.0,Belfast,Ireland
George Scriven,Ireland,1879,Forward,8.0,0.0,8.0,0.0,NA,0.0,Dublin,Ireland
John Taylor,Ireland,1879,Forward,8.0,1.0,6.0,1.0,NA,0.0,"Whitwood Mere, Castleford, Yorkshire",England
James Bristow,Ireland,1879,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
John Cuppaidge,Ireland,1879,Forward,3.0,0.0,3.0,0.0,NA,1.0,Dublin,Ireland
Jack Keon,Ireland,1879,Forward,1.0,0.0,1.0,0.0,NA,0.0,Westmeath,Ireland
William Pike,Ireland,1879,Three-quarters,5.0,1.0,3.0,1.0,NA,0.0,Mayo,Ireland
Willington Willis,Ireland,1879,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,,
Arthur Forrest,Ireland,1880,Forward,8.0,1.0,6.0,1.0,NA,1.0,Dublin,Ireland
William Heron,Ireland,1880,Halfback,2.0,0.0,2.0,0.0,NA,0.0,,
Meredith Johnston,Ireland,1880,Halfback,8.0,1.0,6.0,1.0,NA,1.0,Dublin,Ireland
Francis Kennedy,Ireland,1880,Forward,3.0,0.0,3.0,0.0,NA,0.0,,
Alfred Miller,Ireland,1880,Forward,3.0,0.0,3.0,0.0,NA,0.0,Kingstown,Saint Vincent and the Grenadines
William Wallis,Ireland,1880,Forward,5.0,1.0,4.0,0.0,NA,0.0,Dublin,Ireland
David Browning,Ireland,1881,Forward,2.0,1.0,1.0,0.0,NA,0.0,,
John Burkitt,Ireland,1881,Forward,1.0,0.0,1.0,0.0,NA,0.0,Co.Clare,Ireland
Alfred MacMullen,Ireland,1881,Forward,2.0,1.0,1.0,0.0,NA,0.0,,
Jones Morell,Ireland,1881,Forward,4.0,1.0,2.0,1.0,NA,0.0,Tyrone,USA
William Peirce,Ireland,1881,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,,
Henry Spunner,Ireland,1881,Halfback,3.0,1.0,2.0,0.0,NA,0.0,,
Jack Johnston,Ireland,1881,Forward,9.0,2.0,7.0,0.0,NA,0.0,,
Robert McLean,Ireland,1881,Three-quarters,10.0,1.0,8.0,1.0,NA,0.0,,
Joseph Atkinson,Ireland,1882,Three-quarters,2.0,0.0,2.0,0.0,NA,0.0,Dublin,Ireland
Gerrard Bent,Ireland,1882,Halfback,2.0,0.0,1.0,1.0,NA,0.0,Greenwich,England
Arthur Downing,Ireland,1882,Forward,1.0,0.0,1.0,0.0,NA,0.0,Monkstown?,Ireland
William Fletcher,Ireland,1882,Halfback,3.0,0.0,3.0,0.0,NA,0.0,,
Ernest Greene,Ireland,1882,Three-quarters,4.0,0.0,4.0,0.0,NA,1.0,Dublin,Ireland
Frederick Heuston,Ireland,1882,Forward,3.0,0.0,3.0,0.0,NA,0.0,Tipperary,Ireland
John Kennedy,Ireland,1882,Forward,2.0,0.0,2.0,0.0,NA,0.0,Co.Tipperar,USA
Ted McCarthy,Ireland,1882,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Thomas McCarthy,Ireland,1882,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,Tipperary,Ireland
Bob Thompson,Ireland,1882,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Thomas Johnson-Smyth,Ireland,1882,Forward,1.0,0.0,0.0,1.0,NA,0.0,,
Robert Nelson,Ireland,1882,Forward,4.0,0.0,3.0,1.0,NA,0.0,,
Oliver Stokes,Ireland,1882,Forward,2.0,0.0,1.0,1.0,NA,1.0,Kent,England
Edward Wolfe,Ireland,1882,Three-quarters,1.0,0.0,0.0,1.0,NA,0.0,Northern Ireland,Ireland
John Buchanan,Ireland,1882,Forward,3.0,0.0,3.0,0.0,NA,0.0,,
Robert Morrow,Ireland,1882,Fullback,10.0,0.0,10.0,0.0,NA,0.0,,
Alexander O'Sullivan,Ireland,1882,Forward,1.0,0.0,1.0,0.0,NA,0.0,Cork,Ireland
Joe Pedlow,Ireland,1882,Three-quarters,2.0,0.0,2.0,0.0,NA,0.0,,
Stewart Bruce,Ireland,1883,Forward,3.0,0.0,3.0,0.0,NA,0.0,Northern Ireland,Ireland
Henry King,Ireland,1883,Forward,2.0,0.0,2.0,0.0,NA,0.0,London,England
Frank Moore,Ireland,1883,Forward,4.0,0.0,4.0,0.0,NA,0.0,Dublin,Ireland
Rowland Scovell,Ireland,1883,Three-quarters,2.0,0.0,2.0,0.0,NA,0.0,Kingstown,Saint Vincent and the Grenadines
Peyton Warren,Ireland,1883,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Co.Dublin,Ireland
Samuel Collier,Ireland,1883,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Northern Ireland,Ireland
Henry Brabazon,Ireland,1884,Forward,3.0,0.0,3.0,0.0,NA,0.0,nr Mullingar,
William Higgin,Ireland,1884,Halfback,2.0,0.0,2.0,0.0,NA,0.0,Belfast,Ireland
Francis Levis,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,Co.Cork,Ireland
Daniel Ross,Ireland,1884,Three-quarters,5.0,0.0,5.0,0.0,NA,0.0,Co.Down,Ireland
William Rutherford,Ireland,1884,Forward,6.0,1.0,5.0,0.0,NA,0.0,Tipperary,Ireland
Alexander Gordon,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,Dublin,Ireland
Thomas Hobbs,Ireland,1884,Forward,2.0,0.0,2.0,0.0,NA,0.0,Ambala,India
Walter Kelly,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Lewis McIntosh,Ireland,1884,Three-quarters,1.0,0.0,1.0,0.0,NA,1.0,,
Forbes Maguire,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,Dublin,Ireland
John O'Sullivan,Ireland,1884,Fullback,2.0,0.0,2.0,0.0,NA,0.0,Limerick,Ireland
George Wheeler,Ireland,1884,Fullback,2.0,0.0,2.0,0.0,NA,0.0,Belfast,Ireland
William Collis,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Herbert Cook,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
John Fitzgerald,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
William Hallaran,Ireland,1884,Halfback,1.0,0.0,1.0,0.0,NA,0.0,,
Alexander Hamilton,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Walter Johnstone,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,Kingstown,Saint Vincent and the Grenadines
Charles Jordan,Ireland,1884,Wing,1.0,0.0,1.0,0.0,NA,0.0,,
John McDaniel,Ireland,1884,Wing,1.0,0.0,1.0,0.0,NA,0.0,Newport,Wales
Frederick Moore,Ireland,1884,Forward,4.0,0.0,4.0,0.0,NA,0.0,Dublin,Ireland
Lambert Moyers,Ireland,1884,Forward,1.0,0.0,1.0,0.0,NA,0.0,Dublin,Ireland
Thomas Allen,Ireland,1885,Forward,2.0,0.0,2.0,0.0,NA,0.0,Derry,Ireland
Robert Bradshaw,Ireland,1885,Forward,3.0,0.0,3.0,0.0,NA,0.0,Co.Wexford,Ireland
Ernie Crawford,Ireland,1885,Halfback,2.0,0.0,2.0,0.0,NA,0.0,,
Thomas Lyle,Ireland,1885,Forward,6.0,1.0,5.0,0.0,NA,0.0,Northern Ireland,Ireland
Harry Neill,Ireland,1885,Forward,9.0,2.0,7.0,0.0,NA,0.0,Geelong,Australia
John Ross,Ireland,1885,Three-quarters,5.0,0.0,5.0,0.0,NA,0.0,Dublin,Ireland
Thomas Shanahan,Ireland,1885,Forward,6.0,1.0,5.0,0.0,NA,1.0,Waterford,Ireland
Robert Warren,Ireland,1885,Halfback,15.0,3.0,11.0,1.0,0.0,1.0,Co.Meath,Ireland
J.A. Thompson,Ireland,1885,Forward,2.0,0.0,2.0,0.0,NA,0.0,,
William Hogg,Ireland,1885,Forward,1.0,0.0,1.0,0.0,NA,0.0,Dublin,Ireland
D.V. Hunter,Ireland,1885,Halfback,1.0,0.0,1.0,0.0,NA,0.0,,
Joseph Chambers,Ireland,1886,Forward,5.0,1.0,4.0,0.0,NA,0.0,Co Cavan,Ireland
Victor le Fanu,Ireland,1886,Forward,11.0,3.0,8.0,0.0,0.0,0.0,Dublin,Ireland
Ralph Massy-Westropp,Ireland,1886,Forward,1.0,0.0,1.0,0.0,NA,0.0,Worcester,England
Maxy Carpendale,Ireland,1886,Three-quarters,4.0,1.0,3.0,0.0,NA,0.0,Bombay,India
Robert Herrick,Ireland,1886,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Cork,Ireland
James McMordie,Ireland,1886,Forward,1.0,0.0,1.0,0.0,NA,0.0,Belfast,Ireland
Francis Miller,Ireland,1886,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Joseph Ross,Ireland,1886,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Co.Down,Ireland
Frank Stoker,Ireland,1886,Forward,5.0,1.0,4.0,0.0,0.0,0.0,Dublin,Ireland
James Waites,Ireland,1886,Forward,7.0,1.0,5.0,1.0,0.0,1.0,Lancs,England
John Dick,Ireland,1887,Forward,3.0,1.0,2.0,0.0,NA,0.0,Lisburn.Co.Antrim,Ireland
John Macauley,Ireland,1887,Forward,2.0,1.0,1.0,0.0,NA,0.0,Limerick,Ireland
James McLaughlin,Ireland,1887,Halfback,4.0,2.0,2.0,0.0,NA,0.0,,
Robert Montgomery,Ireland,1887,Three-quarters,5.0,2.0,3.0,0.0,0.0,4.0,Belfast,Ireland
Daniel Rambaut,Ireland,1887,Three-quarters,4.0,2.0,2.0,0.0,NA,0.0,Waterford,Ireland
Robert Stevenson,Ireland,1887,Forward,14.0,3.0,9.0,2.0,0.0,0.0,Dungannon,Ireland
Charles Tillie,Ireland,1887,Three-quarters,4.0,2.0,2.0,0.0,NA,1.0,Londonderry,Ireland
Dolway Walkington,Ireland,1887,Fullback,8.0,2.0,5.0,1.0,3.0,0.0,Belfast,Ireland
Edward Walshe,Ireland,1887,Forward,7.0,2.0,5.0,0.0,4.0,2.0,,
Malcolm Moore,Ireland,1887,Forward,3.0,1.0,2.0,0.0,NA,0.0,Dublin,Ireland
W. Davison,Ireland,1887,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Patrick O'Connor,Ireland,1887,Halfback,1.0,0.0,1.0,0.0,NA,0.0,,
Thomas Taggart,Ireland,1887,Forward,1.0,0.0,1.0,0.0,NA,0.0,Bushmills,Ireland
William Ekin,Ireland,1888,Forward,2.0,1.0,1.0,0.0,NA,0.0,Co.Tyrone,Ireland
