William Allen,1875,Forward,1,0,1,0,0,NA,Lancs,United Kingdom,S6 3TB,England,Yorkshire and the Humber
George Andrews,1875,Forward,2,0,2,0,0,NA,?,g,n,i,s
W.H. Ash,1875,Forward,3,0,3,0,0,NA,?,g,n,i,s
Maurice Barlow,1875,Forward,1,0,1,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Richard Bell,1875,Three-quarters,2,0,2,0,0,NA,?,g,n,i,s
Brab Casement,1875,Forward,3,0,3,0,0,NA,Co Antri,France,14400,France métropolitaine,Basse-Normandie
Abram Combe,1875,Forward,1,0,1,0,0,NA,?,g,n,i,s
Henry Cox,1875,Forward,4,0,4,0,0,NA,Bangalore,India,560001,Karnataka,Bangalore Urban
Abraham Cronyn,1875,Forward,3,0,3,0,0,NA,?,g,n,i,s
William Gaffikin,1875,Forward,1,0,1,0,0,NA,?,g,n,i,s
Edgar Galbraith,1875,Forward,1,0,1,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Richard Galbraith,1875,Fullback,3,0,3,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Francis Hewson,1875,Forward,1,0,1,0,0,NA,?,g,n,i,s
Sandy McDonald,1875,Forward,13,1,11,1,0,NA,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
Edward MacIlwaine,1875,Forward,2,0,2,0,0,NA,?,g,n,i,s
Robert Maginniss,1875,Forward,2,0,2,0,0,NA,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
John Myles,1875,Halfback,1,0,1,0,0,NA,Limerick,Republic of Ireland,Munster,County Limerick,Limerick
George Stack,1875,Forward,1,0,1,0,0,NA,Omagh,United Kingdom,Northern Ireland,County Tyrone,Omagh
Robert Walkington,1875,Fullback,10,0,9,1,0,NA,United States,United States of America,Missing,Missing,Missing
Henry Walsh,1875,Forward,2,0,2,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
David Arnott,1875,Forward,1,0,1,0,0,NA,Tynemouth,United Kingdom,England,North East England,Tyne and Wear
Tim Cuscaden,1875,Forward,1,0,1,0,0,NA,Wexford,Republic of Ireland,Leinster,County Wexford,Wexford
William Finlay,1875,Forward,8,0,8,0,0,NA,?,g,n,i,s
R. Greer,1875,Forward,1,0,1,0,0,NA,?,g,n,i,s
Edward Hobson,1875,Three-quarters,1,0,1,0,0,NA,Co.Wexford,Republic of Ireland,Leinster,County Wexford,Missing
John Ireland,1875,Forward,2,0,2,0,0,NA,?,g,n,i,s
Hamilton Moore,1875,Fullback,2,0,2,0,0,NA,Co.Antrim,United Kingdom,Northern Ireland,County Antrim,Missing
Ashley Westby,1875,Forward,1,0,1,0,0,NA,Co.Dublin,Republic of Ireland,Leinster,County Dublin,Missing
H. Brown,1877,Three-quarters,1,0,1,0,0,NA,?,g,n,i,s
Thomas Brown,1877,Forward,2,0,2,0,0,NA,?,g,n,i,s
Henry Edwards,1877,Forward,2,0,2,0,0,NA,Carnarvon,Australia,Western Australia,Carnarvon,Missing
Thomas Gordon,1877,Halfback,3,0,3,0,0,NA,?,g,n,i,s
William Hamilton,1877,Forward,1,0,1,0,0,NA,?,g,n,i,s
Harry Jackson,1877,Forward,1,0,1,0,0,NA,Co.Monaghan,Republic of Ireland,County Monaghan,Missing,Missing
Hugh Kelly,1877,Forward,6,0,6,0,0,NA,?,g,n,i,s
Frederick Kidd,1877,Three-quarters,3,0,3,0,0,NA,Newry,United Kingdom,Northern Ireland,County Down,Newry
Augustus Whitestone,1877,Halfback,5,0,5,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
William Wilson,1877,Forward,2,0,2,0,0,NA,?,g,n,i,s
