William Allen,1875,Forward,Lancs,1,0,0,
George Andrews,1875,Forward,?,2,0,0,
W.H. Ash,1875,Forward,?,3,0,0,
Maurice Barlow,1875,Forward,Dublin,1,0,0,
Richard Bell,1875,Three-quarters,?,2,0,0,
Brab Casement,1875,Forward,Co Antri,3,0,0,
Abram Combe,1875,Forward,?,1,0,0,
Henry Cox,1875,Forward,Bangalore,4,0,0,
Abraham Cronyn,1875,Forward,?,3,0,0,
William Gaffikin,1875,Forward,?,1,0,0,
Edgar Galbraith,1875,Forward,Dublin,1,0,0,
Richard Galbraith,1875,Fullback,Dublin,3,0,0,
Francis Hewson,1875,Forward,?,1,0,0,
Sandy McDonald,1875,Forward,Northern Ireland,13,1,0,
Edward MacIlwaine,1875,Forward,?,2,0,0,
Robert Maginniss,1875,Forward,Northern Ireland,2,0,0,
John Myles,1875,Halfback,Limerick,1,0,0,
George Stack,1875,Forward,Omagh,1,0,0,
Robert Walkington,1875,Fullback,United States,10,0,0,
Henry Walsh,1875,Forward,Dublin,2,0,0,
David Arnott,1875,Forward,Tynemouth,1,0,0,
Tim Cuscaden,1875,Forward,Wexford,1,0,0,
William Finlay,1875,Forward,?,8,0,0,
R. Greer,1875,Forward,?,1,0,0,
Edward Hobson,1875,Three-quarters,Co.Wexford,1,0,0,
John Ireland,1875,Forward,?,2,0,0,
Hamilton Moore,1875,Fullback,Co.Antrim,2,0,0,
Ashley Westby,1875,Forward,Co.Dublin,1,0,0,
H. Brown,1877,Three-quarters,?,1,0,0,
Thomas Brown,1877,Forward,?,2,0,0,
Henry Edwards,1877,Forward,Carnarvon,2,0,0,
Thomas Gordon,1877,Halfback,?,3,0,0,
William Hamilton,1877,Forward,?,1,0,0,
Harry Jackson,1877,Forward,Co.Monaghan,1,0,0,
Hugh Kelly,1877,Forward,?,6,0,0,
Frederick Kidd,1877,Three-quarters,Newry,3,0,0,
Augustus Whitestone,1877,Halfback,Dublin,5,0,0,
William Wilson,1877,Forward,?,2,0,0,
J. Currell,1877,Forward,?,1,0,0,
James Heron,1877,Halfback,Co.Down,2,0,0,
Henry Murray,1877,Forward,Dublin,3,0,0,
Garvett Shaw,1877,Fullback,Belfast,1,0,0,
Edward Croker,1878,Forward,?,1,0,0,
George Fagan,1878,Halfback,Bengal,1,0,0,
W. Griffiths,1878,Forward,?,1,0,0,
Barney Hughes,1878,Forward,?,12,1,0,
Robert Matier,1878,Three-quarters,Belfast,2,0,0,
William Moore,1878,Forward,Co.Antrim,1,0,0,
Frederick Schute,1878,Forward,Bradford,2,0,0,
Arthur Archer,1879,Forward,Co.Kildare,1,0,0,
John Bagot,1879,Three-quarters,Galway,5,1,0,
William Cummins,1879,Forward,Cork,3,0,0,
William Goulding,1879,Halfback,Cork,1,0,0,
Thomas Harrison,1879,Three-quarters,?,3,0,0,
William Neville,1879,Forward,West Indie,2,0,0,
Henry Purdon,1879,Forward,?,5,1,0,
George Scriven,1879,Forward,Dublin,8,0,0,
John Taylor,1879,Forward,?,8,1,0,
James Bristow,1879,Forward,?,1,0,0,
John Cuppaidge,1879,Forward,Dublin,3,0,1,
Jack Keon,1879,Forward,Westmeath,1,0,0,
William Pike,1879,Three-quarters,Mayo,5,1,0,
Willington Willis,1879,Three-quarters,circa 1860,1,0,0,
Arthur Forrest,1880,Forward,Dublin,8,1,1,
William Heron,1880,Halfback,?,2,0,0,
Meredith Johnston,1880,Halfback,Dublin,8,1,1,
Francis Kennedy,1880,Forward,?,3,0,0,
Alfred Miller,1880,Forward,Kingstown,3,0,0,
William Wallis,1880,Forward,Dublin,5,1,0,
David Browning,1881,Forward,?,2,1,0,
John Burkitt,1881,Forward,Co.Clare,1,0,0,
Alfred MacMullen,1881,Forward,?,2,1,0,
Jones Morell,1881,Forward,Tyrone,4,1,0,
William Peirce,1881,Three-quarters,?,1,0,0,
Henry Spunner,1881,Halfback,?,3,1,0,
Jack Johnston,1881,Forward,?,9,2,0,
Robert McLean,1881,Three-quarters,?,10,1,0,
Joseph Atkinson,1882,Three-quarters,Dublin,2,0,0,
Gerrard Bent,1882,Halfback,Greenwich,2,0,0,
Arthur Downing,1882,Forward,Monkstown?,1,0,0,
William Fletcher,1882,Halfback,?,3,0,0,
Ernest Greene,1882,Three-quarters,Dublin,4,0,1,
Frederick Heuston,1882,Forward,Tipperary,3,0,0,
John Kennedy,1882,Forward,Co.Tipperar,2,0,0,
Ted McCarthy,1882,Forward,?,1,0,0,
Thomas McCarthy,1882,Three-quarters,Tipperary,1,0,0,
Bob Thompson,1882,Forward,?,1,0,0,
Thomas Johnson-Smyth,1882,Forward,?,1,0,0,
Robert Nelson,1882,Forward,?,4,0,0,
Oliver Stokes,1882,Forward,Kent,2,0,1,
Edward Wolfe,1882,Three-quarters,Northern Ireland,1,0,0,
John Buchanan,1882,Forward,?,3,0,0,
Robert Morrow,1882,Fullback,?,10,0,0,
Alexander O'Sullivan,1882,Forward,Cork,1,0,0,
Joe Pedlow,1882,Three-quarters,?,2,0,0,
Stewart Bruce,1883,Forward,Northern Ireland,3,0,0,
Henry King,1883,Forward,London,2,0,0,
Frank Moore,1883,Forward,Dublin,4,0,0,
Rowland Scovell,1883,Three-quarters,Kingstown,2,0,0,
Peyton Warren,1883,Halfback,?,1,0,0,
Samuel Collier,1883,Halfback,Northern Ireland,1,0,0,
Henry Brabazon,1884,Forward,nr Mullingar,3,0,0,
William Higgin,1884,Halfback,Belfast,2,0,0,
Francis Levis,1884,Forward,Co.Cork,1,0,0,
Daniel Ross,1884,Three-quarters,Co.Down,5,0,0,
William Rutherford,1884,Forward,Tipperary,6,1,0,
Alexander Gordon,1884,Forward,Dublin,1,0,0,
Thomas Hobbs,1884,Forward,Ambala,2,0,0,
Walter Kelly,1884,Forward,?,1,0,0,
Lewis McIntosh,1884,Three-quarters,?,1,0,1,
Forbes Maguire,1884,Forward,Dublin,1,0,0,
John O'Sullivan,1884,Fullback,Limerick,2,0,0,
George Wheeler,1884,Fullback,Belfast,2,0,0,
William Collis,1884,Forward,?,1,0,0,
Herbert Cook,1884,Forward,?,1,0,0,
John Fitzgerald,1884,Forward,?,1,0,0,
William Hallaran,1884,Halfback,1861,1,0,0,
Alexander Hamilton,1884,Forward,?,1,0,0,
Walter Johnstone,1884,Forward,Kingstown,1,0,0,
Charles Jordan,1884,Wing,date unknown,1,0,0,
John McDaniel,1884,Wing,Newport,1,0,0,
Frederick Moore,1884,Forward,Dublin,4,0,0,
Lambert Moyers,1884,Forward,Dublin,1,0,0,
Thomas Allen,1885,Forward,Derry,2,0,0,
Robert Bradshaw,1885,Forward,Co.Wexford,3,0,0,
Ernie Crawford,1885,Halfback,1861,2,0,0,
Thomas Lyle,1885,Forward,Northern Ireland,6,1,0,
Harry Neill,1885,Forward,Geelong,9,2,0,
John Ross,1885,Three-quarters,Dublin,5,0,0,
Thomas Shanahan,1885,Forward,Waterford,6,1,1,
Robert Warren,1885,Halfback,Co.Meath,15,3,1,0
J.A. Thompson,1885,Forward,?,2,0,0,
William Hogg,1885,Forward,?,1,0,0,
D.V. Hunter,1885,Halfback,?,1,0,0,
Joseph Chambers,1886,Forward,Co Cavan,5,1,0,
Victor le Fanu,1886,Forward,Dublin,11,3,0,0
Ralph Massy-Westropp,1886,Forward,Worcester,1,0,0,
Maxy Carpendale,1886,Three-quarters,Bombay,4,1,0,
Robert Herrick,1886,Halfback,Cork,1,0,0,
J. McMordie,1886,Forward,?,1,0,0,
Francis Miller,1886,Forward,?,1,0,0,
Joseph Ross,1886,Halfback,Co.Down,1,0,0,
Frank Stoker,1886,Forward,Dublin,5,1,0,0
