Enrico Allevi,1929,Lock,2,1,1,0,0,0,date unknown,g,n,i,s
Tommaso Altissimi,1929,Prop,1,0,1,0,0,0,date unknown,g,n,i,s
Aldo Balducci,1929,No. 8,1,0,1,0,0,0,date unknown,g,n,i,s
Vittorio Barzaghi,1929,Lock,3,2,1,0,0,0,date unknown,g,n,i,s
Ottavio Bottonelli,1929,Hooker,6,2,4,0,0,3,Firenze,Italia,TOS,FI,Firenze
Luigi Bricchi,1929,Prop,3,2,1,0,0,0,VA,Civitatis Vaticanæ,Missing,Missing,Missing
Lucio Cesani,1929,Wing,4,2,2,0,0,0,date unknown,g,n,i,s
Domenico Dondana,1929,Fullback,2,1,1,0,0,0,date unknown,g,n,i,s
Giovanni Dora,1929,Centre,1,0,1,0,0,0,date unknown,g,n,i,s
Alberto Modonesi,1929,Scrum-half,1,0,1,0,0,0,date unknown,g,n,i,s
Piero Paselli,1929,Flanker,3,2,1,0,0,0,circa 1907,Perú,Tacna,Candarave,Circa
Carlo Raffo,1929,Prop,6,4,1,1,0,0,date unknown,g,n,i,s
Paolo Vinci II,1929,Centre,3,2,1,0,1,3,United States,United States of America,Missing,Missing,Missing
Francesco Vinci III,1929,Centre,15,7,6,2,4,20,United States,United States of America,Missing,Missing,Missing
Pietro Vinci IV,1929,Centre,13,7,5,1,0,0,Briey,France,54150,France métropolitaine,Lorraine
Amando Nisti,1929,Prop,2,1,1,0,0,0,Roma,Italia,LAZ,Roma Capitale,Roma
Giovanni Paolin,1929,,1,0,1,0,0,0,date unknown,g,n,i,s
Eugenio Vinci I,1929,,1,0,1,0,0,0,Dominican,Philippines,1709,Metro Manila,Parañaque
Giuseppe Bigi,1930,Scrum-half,2,2,0,0,0,0,circa 1910,Perú,Tacna,Candarave,Circa
Alberto di Bello,1930,Hooker,4,3,0,1,0,0,circa 1905,Perú,Tacna,Candarave,Circa
Angelo Morimondi,1930,Fullback,4,3,0,1,0,0,Milano,Italia,LOM,MI,Milano
Ernesto Nathan,1930,Centre,1,1,0,0,0,0,date unknown,g,n,i,s
Giuseppe Sessa,1930,Lock,1,1,0,0,0,0,1895,Svizra,Svizzera,Suisse,Schweiz
Amerigo Centinari,1930,,1,1,0,0,0,0,date unknown,g,n,i,s
Leandro Tagliabue,1930,Prop,7,4,2,1,0,0,circa 1909,Perú,Tacna,Candarave,Circa
Ivan Aloisio,1933,No. 8,7,5,1,1,1,7,Genova,Italia,LIG,GE,Genova
Aurelio Cazzini,1933,Wing,15,9,4,2,4,12,MI,United States of America,Missing,Missing,Missing
Felice Colombo,1933,Lock,1,1,0,0,0,0,Milano,Italia,LOM,MI,Milano
Alberto Crespi,1933,Lock,6,4,1,1,0,0,circa 1906,Perú,Tacna,Candarave,Circa
Giuseppe Gattoni,1933,Centre,2,2,0,0,0,0,circa 1908,Perú,Tacna,Candarave,Circa
Renzo Maffioli,1933,Centre,11,7,2,2,2,10,Milano,Italia,LOM,MI,Milano
Umberto Moretti,1933,Scrum-half,7,5,1,1,0,0,Milano,Italia,LOM,MI,Milano
Ferdinando Tozzi,1933,,1,1,0,0,0,0,Napoli,Italia,CAM,NA,Napoli
Fernando Trebbi,1933,Fullback,2,2,0,0,0,0,Bologna,Italia,EMR,BO,Bologna
Riccardo Aymonod,1933,Fly-half,4,2,1,1,2,6,circa 1908,Perú,Tacna,Candarave,Circa
Giogio Bortolini,1933,Prop,2,1,0,1,0,0,BO,Bolivia,Missing,Missing,Missing
Mario Campagna,1933,Scrum-half,8,3,3,2,1,3,Milano,Italia,LOM,MI,Milano
Arrigo Marescalchi,1933,No. 8,3,1,1,1,1,3,date unknown,g,n,i,s
