Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Ko Chu Chang,Japan,1930,Centre,4.0,2.0,1.0,1.0,3.0,1.0,,
Tomoo Chiba,Japan,1930,Lock,1.0,0.0,0.0,1.0,0.0,0.0,,
Mitsugu Fujii,Japan,1930,Centre,1.0,0.0,0.0,1.0,0.0,0.0,,
Takeo Hagiwara-Maekawa,Japan,1930,Scrum-half,1.0,0.0,0.0,1.0,0.0,0.0,,
Shuzaburo Iwashita,Japan,1930,Prop,1.0,0.0,0.0,1.0,0.0,0.0,,
Takeo Kitano,Japan,1930,Wing,6.0,2.0,2.0,2.0,8.0,2.0,,
Kenichi Matsubara,Japan,1930,Fly-half,1.0,0.0,0.0,1.0,0.0,0.0,,
Minoru Mishima,Japan,1930,Lock,3.0,2.0,0.0,1.0,0.0,0.0,,
Hideo Miyaji-Yoshizawa,Japan,1930,Flanker,1.0,0.0,0.0,1.0,0.0,0.0,,
Giichi Ota,Japan,1930,Prop,1.0,0.0,0.0,1.0,0.0,0.0,,
Seizo Shimizu,Japan,1930,No. 8,3.0,1.0,1.0,1.0,0.0,0.0,,
Seiichi Teramura,Japan,1930,Fullback,1.0,0.0,0.0,1.0,0.0,0.0,,
Zenjiro Toba-Nakajima,Japan,1930,Wing,4.0,2.0,1.0,1.0,15.0,5.0,,
Shiro Wada,Japan,1930,Flanker,1.0,0.0,0.0,1.0,0.0,0.0,,
Tadayuki Yagai,Japan,1930,Hooker,1.0,0.0,0.0,1.0,0.0,0.0,,
Hidemaru Suzuki,Japan,1930,Wing,1.0,0.0,0.0,1.0,0.0,0.0,,
Takao Adachi,Japan,1932,No. 8,2.0,2.0,0.0,0.0,0.0,0.0,,
Takeo Baba,Japan,1932,Wing,1.0,1.0,0.0,0.0,0.0,0.0,,
Saburo Hirao,Japan,1932,Centre,2.0,2.0,0.0,0.0,3.0,1.0,,
Hiroshi Ijyuin,Japan,1932,Prop,2.0,2.0,0.0,0.0,0.0,0.0,,
Tsunehiko Kasahara,Japan,1932,Fullback,6.0,3.0,2.0,1.0,33.0,0.0,,
Taro Kinoshita,Japan,1932,Scrum-half,2.0,2.0,0.0,0.0,0.0,0.0,,
Takeshi Matsubara,Japan,1932,Hooker,3.0,3.0,0.0,0.0,0.0,0.0,,
Saburou Nishigaki,Japan,1932,Prop,6.0,3.0,2.0,1.0,0.0,0.0,,
Masahiko Niwa,Japan,1932,Fly-half,2.0,2.0,0.0,0.0,3.0,1.0,,
Yoshio Okada,Japan,1932,Flanker,2.0,2.0,0.0,0.0,3.0,1.0,,
Shinji Ono,Japan,1932,Lock,4.0,3.0,1.0,0.0,0.0,0.0,,
Teiji Toshi,Japan,1932,Flanker,2.0,2.0,0.0,0.0,3.0,1.0,,
Ichiro Nogami,Japan,1932,Fly-half,4.0,2.0,2.0,0.0,3.0,1.0,,
Ryuichi Iimori,Japan,1934,Scrum-half,2.0,1.0,1.0,0.0,0.0,0.0,,
Shinshiro Komehana,Japan,1934,Flanker,4.0,1.0,2.0,1.0,0.0,0.0,,
Kihei Mano,Japan,1934,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Kyuji Matsuda,Japan,1934,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,,
Taro Sasakura-Yamamoto,Japan,1934,Prop,2.0,1.0,1.0,0.0,0.0,0.0,,
Sheizo Taji,Japan,1934,Flanker,2.0,1.0,1.0,0.0,0.0,0.0,,
Tsutomu Tsujita,Japan,1934,Centre,2.0,0.0,1.0,1.0,0.0,0.0,,
Takashi Naito,Japan,1934,Wing,1.0,1.0,0.0,0.0,3.0,1.0,,
Hiroshi Tachibana,Japan,1934,Centre,1.0,1.0,0.0,0.0,0.0,0.0,,
Hiroshi Tagawa,Japan,1934,Lock,2.0,1.0,0.0,1.0,0.0,0.0,,
Hideo Ito,Japan,1936,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Toichiro Kawagoe,Japan,1936,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Ryohei Kinoshita,Japan,1936,Scrum-half,2.0,0.0,1.0,1.0,0.0,0.0,,
Hiroyuki Nabeka,Japan,1936,Flanker,2.0,0.0,1.0,1.0,0.0,0.0,,
Kazutsugu Nishiumi,Japan,1936,Prop,2.0,0.0,1.0,1.0,0.0,0.0,,
Shoji Sakaguchi,Japan,1936,Wing,2.0,0.0,1.0,1.0,3.0,1.0,,
Michihiro Sakai,Japan,1936,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,,
Isao Suzuki,Japan,1936,Fullback,2.0,0.0,1.0,1.0,0.0,0.0,,
Kazuo Yamaguchi,Japan,1936,Lock,2.0,0.0,1.0,1.0,0.0,0.0,,
Haruki Yamamoto,Japan,1936,No. 8,1.0,0.0,1.0,0.0,0.0,0.0,,
Zenji Nishi,Japan,1936,Wing,1.0,0.0,0.0,1.0,0.0,0.0,,
Iwao Ota,Japan,1936,Prop,1.0,0.0,0.0,1.0,0.0,0.0,,
Masao Wada,Japan,1936,Scrum-half,1.0,0.0,0.0,1.0,0.0,0.0,,
Yoshiaki Aoki,Japan,1952,Wing,2.0,0.0,2.0,0.0,0.0,0.0,,
Atsushi Fujii,Japan,1952,Flanker,2.0,0.0,2.0,0.0,0.0,0.0,,
Shinichi Hashimoto,Japan,1952,Lock,4.0,0.0,4.0,0.0,0.0,0.0,,
Noboru Hirohata,Japan,1952,No. 8,2.0,0.0,2.0,0.0,3.0,1.0,,
Ryotarou Kadoto,Japan,1952,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Syoichiro Koyama,Japan,1952,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Genpei Kuroiwa,Japan,1952,Wing,4.0,0.0,4.0,0.0,0.0,0.0,,
Yoshinobu Nakajima,Japan,1952,Hooker,2.0,0.0,2.0,0.0,0.0,0.0,,
Takao Otsuka,Japan,1952,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Ryo Saito,Japan,1952,Prop,4.0,0.0,4.0,0.0,0.0,0.0,,
Hidehiko Sato,Japan,1952,Fullback,10.0,0.0,10.0,0.0,0.0,0.0,,
Tetsuo Sekikawa,Japan,1952,Prop,2.0,0.0,2.0,0.0,0.0,0.0,,
Fukuo Shibagaki,Japan,1952,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Yusaku Takahashi,Japan,1952,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Akira Tanaka,Japan,1952,Lock,2.0,0.0,2.0,0.0,0.0,0.0,,
Ryuichi Imamura,Japan,1952,Centre,6.0,0.0,5.0,1.0,0.0,0.0,,
Haruo Matsuoka,Japan,1952,Fly-half,3.0,0.0,3.0,0.0,11.0,1.0,,
Sueharu Natsui,Japan,1952,Prop,3.0,0.0,3.0,0.0,0.0,0.0,Akita,Japan
Takeshi Takeda,Japan,1952,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Hideaki Tsichiya,Japan,1952,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Toshiaki Tsuchiya,Japan,1952,Flanker,12.0,0.0,11.0,1.0,9.0,3.0,,
Akihiko Watanabe,Japan,1952,Centre,3.0,0.0,3.0,0.0,9.0,1.0,,
Sada Yamato,Japan,1952,No. 8,1.0,0.0,1.0,0.0,0.0,0.0,,
Hideo Harada,Japan,1953,No. 8,2.0,0.0,2.0,0.0,3.0,1.0,,
Keizo Kamisaka,Japan,1953,Fly-half,2.0,0.0,2.0,0.0,0.0,0.0,,
Teruo Kitajima,Japan,1953,Prop,4.0,0.0,4.0,0.0,0.0,0.0,,
Masaya Matsuoka,Japan,1953,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,,
Mitsuya Ohotsuka,Japan,1953,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Toshiro Sasaki,Japan,1953,Wing,2.0,0.0,2.0,0.0,0.0,0.0,,
Yoshiharu Umei,Japan,1953,Lock,6.0,0.0,6.0,0.0,0.0,0.0,,
Junzo Aso,Japan,1953,Fly-half,2.0,0.0,2.0,0.0,6.0,0.0,,
Masaaki Matsushige,Japan,1953,Flanker,4.0,0.0,4.0,0.0,3.0,1.0,,
Manabu Mitoma,Japan,1953,Scrum-half,3.0,0.0,3.0,0.0,0.0,0.0,,
Hirotoshi Hori,Japan,1956,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Koji Kikkawa,Japan,1956,Hooker,6.0,0.0,6.0,0.0,0.0,0.0,,
Isao Kondo,Japan,1956,Wing,2.0,0.0,2.0,0.0,0.0,0.0,,
Katsuhiro Mano,Japan,1956,Lock,6.0,0.0,6.0,0.0,0.0,0.0,,
Kunio Miyai,Japan,1956,Wing,11.0,1.0,9.0,1.0,9.0,3.0,,
Kazumitsu Ninoguchi,Japan,1956,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Takashi Shibata,Japan,1956,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Hiroshi Teranishi,Japan,1956,Centre,5.0,0.0,5.0,0.0,0.0,0.0,,
Haruhiko Yamazaki,Japan,1956,Flanker,1.0,0.0,1.0,0.0,3.0,1.0,,
Taisei-Shigehir Arai,Japan,1956,Fly-half,6.0,0.0,5.0,1.0,6.0,0.0,,
Kazuo Natsui,Japan,1956,Prop,2.0,0.0,2.0,0.0,3.0,1.0,Akita,Japan
Takashi Sudo,Japan,1956,Flanker,3.0,0.0,3.0,0.0,0.0,0.0,,
Koichi Takaoka,Japan,1956,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Ryuichi Ohara,Japan,1956,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Syozaburo Yamamoto,Japan,1956,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Tatsuya Aoi,Japan,1958,Centre,6.0,1.0,4.0,1.0,8.0,0.0,,
Rikio Enomoto,Japan,1958,Wing,4.0,0.0,3.0,1.0,9.0,3.0,,
Terukazu Fuji,Japan,1958,Prop,5.0,0.0,4.0,1.0,3.0,1.0,,
Koichi Imamura,Japan,1958,Scrum-half,5.0,0.0,4.0,1.0,0.0,0.0,,
Yoshiaki Kaimoto,Japan,1958,Prop,2.0,0.0,2.0,0.0,0.0,0.0,,
Yutaka Katakura,Japan,1958,Lock,5.0,0.0,4.0,1.0,0.0,0.0,,
Hiroshi Hibino,Japan,1958,Wing,3.0,0.0,3.0,0.0,3.0,1.0,,
Kiyoshi Kobayashi,Japan,1958,Prop,6.0,0.0,5.0,1.0,3.0,1.0,,
Fumio Saito-Horikawa,Japan,1958,Scrum-half,2.0,0.0,2.0,0.0,0.0,0.0,,
Ryuzo Taniguchi,Japan,1958,Centre,2.0,0.0,2.0,0.0,0.0,0.0,,
Masao Ozaki,Japan,1958,No. 8,2.0,0.0,2.0,0.0,3.0,1.0,,
Susumu Kitaoka,Japan,1959,Fullback,2.0,0.0,2.0,0.0,10.0,0.0,,
Kinichi Miyajima,Japan,1959,Flanker,3.0,0.0,2.0,1.0,6.0,0.0,,
Kenji Ohotsuka,Japan,1959,Flanker,2.0,0.0,2.0,0.0,0.0,0.0,,
Eiichi Shiga,Japan,1959,Hooker,3.0,0.0,2.0,1.0,0.0,0.0,Akita,Japan
Seiji Tanaka,Japan,1959,Lock,4.0,0.0,3.0,1.0,0.0,0.0,,
Hideki Tominaga,Japan,1959,No. 8,3.0,0.0,2.0,1.0,0.0,0.0,,
Terumi Harada,Japan,1959,Fullback,1.0,0.0,0.0,1.0,2.0,0.0,,
Kiichirou Akatsu,Japan,1959,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,,
Masato Hirashima,Japan,1959,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Kenji Ishii,Japan,1959,Centre,2.0,0.0,2.0,0.0,0.0,0.0,,
Yozo Matsuoka,Japan,1959,Fullback,2.0,1.0,1.0,0.0,0.0,0.0,,
Kazuhisa Tsutsumi-Tatsuno,Japan,1959,No. 8,1.0,0.0,1.0,0.0,0.0,0.0,,
Teruyasu Yuki,Japan,1959,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Keisuke Yamada,Japan,1959,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Koji Ishizuka,Japan,1963,No. 8,5.0,2.0,3.0,0.0,3.0,1.0,,
Tadayuki Ito,Japan,1963,Wing,19.0,8.0,10.0,1.0,63.0,19.0,,
Kazuo Kawasaki,Japan,1963,Prop,1.0,1.0,0.0,0.0,0.0,0.0,,
Haruhiko Kitajima,Japan,1963,Fly-half,1.0,1.0,0.0,0.0,3.0,1.0,,
Masatake Kusatsu,Japan,1963,Lock,1.0,1.0,0.0,0.0,0.0,0.0,,
Shugoro Miura,Japan,1963,Scrum-half,1.0,1.0,0.0,0.0,0.0,0.0,,
Kazuo Murata,Japan,1963,Hooker,1.0,1.0,0.0,0.0,0.0,0.0,,
Hirohisa Nishizumi,Japan,1963,Flanker,1.0,1.0,0.0,0.0,0.0,0.0,,
Eiji Okabe,Japan,1963,Lock,2.0,1.0,1.0,0.0,0.0,0.0,,
Masayoshi Ozaki,Japan,1963,Centre,5.0,3.0,2.0,0.0,10.0,2.0,,
Shiro Ueki,Japan,1963,No. 8,1.0,1.0,0.0,0.0,0.0,0.0,,
Koji Yamada,Japan,1963,Prop,1.0,1.0,0.0,0.0,0.0,0.0,,
Tadamasa Fujimoto-Kamohara,Japan,1967,Fly-half,14.0,4.0,9.0,1.0,10.0,3.0,,
Megumi Horikoshi,Japan,1967,Lock,4.0,1.0,3.0,0.0,0.0,0.0,,
Motonari Ishida,Japan,1967,Flanker,4.0,1.0,3.0,0.0,0.0,0.0,,
Takashi Jinno,Japan,1967,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
