Ko Chu Chang
Tomoo Chiba
Mitsugu Fujii
Takeo Hagiwara-Maekawa
Shuzaburo Iwashita
Takeo Kitano
Kenichi Matsubara
Minoru Mishima
Hideo Miyaji-Yoshizawa
Giichi Ota
Seizo Shimizu
Seiichi Teramura
Zenjiro Toba-Nakajima
Shiro Wada
Tadayuki Yagai
Hidemaru Suzuki
Takao Adachi
Takeo Baba
Saburo Hirao
Hiroshi Ijyuin
Tsunehiko Kasahara
Taro Kinoshita
Takeshi Matsubara
Saburou Nishigaki
Masahiko Niwa
Yoshio Okada
Shinji Ono
Teiji Toshi
Ichiro Nogami
Ryuichi Iimori
Shinshiro Komehana
Kihei Mano
Kyuji Matsuda
Taro Sasakura-Yamamoto
Sheizo Taji
Tsutomu Tsujita
Takashi Naito
Hiroshi Tachibana
Hiroshi Tagawa
Hideo Ito
Toichiro Kawagoe
Ryohei Kinoshita
Hiroyuki Nabeka
Kazutsugu Nishiumi
Shoji Sakaguchi
Michihiro Sakai
Isao Suzuki
Kazuo Yamaguchi
Haruki Yamamoto
Zenji Nishi
Iwao Ota
Masao Wada
Yoshiaki Aoki
Atsushi Fujii
Shinichi Hashimoto
Noboru Hirohata
Ryotarou Kadoto
Syoichiro Koyama
Genpei Kuroiwa
Yoshinobu Nakajima
Takao Otsuka
Ryo Saito
Hidehiko Sato
Tetsuo Sekikawa
Fukuo Shibagaki
Yusaku Takahashi
Akira Tanaka
Ryuichi Imamura
Haruo Matsuoka
Sueharu Natsui
Takeshi Takeda
Hideaki Tsichiya
Toshiaki Tsuchiya
Akihiko Watanabe
Sada Yamato
Hideo Harada
Keizo Kamisaka
Teruo Kitajima
Masaya Matsuoka
Mitsuya Ohotsuka
Toshiro Sasaki
Yoshiharu Umei
Junzo Aso
Masaaki Matsushige
Manabu Mitoma
Hirotoshi Hori
Koji Kikkawa
Isao Kondo
Katsuhiro Mano
Kunio Miyai
Kazumitsu Ninoguchi
Takashi Shibata
Hiroshi Teranishi
Haruhiko Yamazaki
Taisei-Shigehir Arai
Kazuo Natsui
Takashi Sudo
Koichi Takaoka
Ryuichi Ohara
Syozaburo Yamamoto
Tatsuya Aoi
Rikio Enomoto
Terukazu Fuji
Koichi Imamura
Yoshiaki Kaimoto
Yutaka Katakura
Hirosgi Hibino
Kiyoshi Kobayashi
Fumio Saito-Horikawa
Ryuzo Taniguchi
Masao Ozaki
Susumu Kitaoka
Kinichi Miyajima
Kenji Ohotsuka
Eiichi Shiga
Seiji Tanaka
Hideki Tominaga
Terumi Harada
Kiichirou Akatsu
Masato Hirashima
Kenji Ishii
Yozo Matsuoka
Kazuhisa Tsutsumi-Tatsuno
Teruyasu Yuki
Keisuke Yamada
Koji Ishizuka
Tadayuki Ito
Kazuo Kawasaki
Haruhiko Kitajima
Masatake Kusatsu
Shugoro Miura
Kazuo Murata
Hirohisa Nishizumi
Eiji Okabe
Masayoshi Ozaki
Shiro Ueki
Koji Yamada
Tadamasa Fujimoto-Kamohara
Megumi Horikoshi
Motonari Ishida
Takashi Jinno
Katsumi Kamata
Tsutomu Katsuraguchi
Morio Kawasaki
Yoshinori Okubo
Yoshihiro Sakata
Toru Tenmyo
Yoshiharu Yamaguchi
Akira Yokoi
Katsutoshi Azuma
Shozo Fujita
Nobuo Ikaida
Kazumasa Inubuse
Takeshi Kato
Haruhiko Komiya
Shigeru Murayama
Hisashi Yamaoka
Mitsuo Atokawa
Yoshiaki Izawa
Masaharu Mantani
Hiroshi Ogasawara
Takeo Saruta
Ryozo Imazato
Masayoshi Ito
Katsumi Miyaji
Yoshio Tanigawa
Toshio Terai
Masahiro Uchida
Satoru Matsuoka
Makoto Mizutani
Fumiharu Shimazaki
Masaaki Shimozono
Tadahiko Omata
Kishio Ishiyama
Asura Hara
Toshio Kurosaka
Koji Miyata
Yoshihiro Murata
Sachio Iburi
Koichi Shibata
Masaru Fujiwara
Kazumi Ohigashi
Iwao Yamamoto
Junji Yoshida
Kazuhito Yoshino
Hideo Akama
Hiroaki Shukuzawa
Nobuyuki Ueyama
Masakatsu Iguchi
Ken Aruga
Takeo Ishizuka
Tsukasa Takada
Shigetaka Mori
Masao Yoshida
Hitoshi Kano
Osamu Koyabu
Susumu Kurihara
Yuji Matsuo
Nobufumi Tanaka
Shigeru Toyoda
Osamu Yamashita
Akio Hiraki
Ichiro Kobayashi
Toru Wada
Shigekazu Hoshino
Masayuki Miyauchi
Ryutaro Fukurodate
Atsuhiko Kanasashi
Takeshi Nakayama
Akio Ueda
Hirotsugu Ato
Manabu Sasada
Kyoichi Toyoyama
Takeo Tsuyama
Hirotaka Ujino
Yoichiro Minamikawa
Toshiaki Yasui
Kazuo Muraguchi
Naoshi Kymagai
Takeshi Hatakeyama
Isao Saito
Kiyoshi Segawa
Akemi Namura
Naoshi Kumagai
Junya Matsumoto
Mitsuru Hohokabe
Mitsuru Sakamoto
Toshihiko Kitahara
Takeaki Toyoda
Tetsuro Yajima
Koji Horaguchi
Naohisa Tanifuji
Takashi Kudo-Nakayama
Hideo Toshima
Kazuo Sejimo
Michihito Chida
Jiro Ishiyama
Hiroaki Takahashi
Tsuyoshi Fujita
Takashi Ito
Hikaru Kawachi
Shinichi Oikawa
Toshiyuki Hayashi
Fukumi Kanaya
Yoshimitsu Konishi
Esturo Tsuji
Toshihiro Hirai
Yoshichiro Ikeda
Nortitoshi Toyoda
Kazuhiko Honjo
Masahiro Inoue
Takao Ooba
Takanobu Kondo
Seiji Hirao
Yasuharu Kawase
Kimitaka Morioka
Noboru Watanabe
Koji Kawachi
Hideo Kobayashi
Atsushi Oyagi
Kenzo Takada
Tetsuya Higashida
Toshitaka Kimura
