Ko Chu Chang,1930,Centre,date unknown,4,2,1,3
Tomoo Chiba,1930,Lock,date unknown,1,0,0,0
Mitsugu Fujii,1930,Centre,date unknown,1,0,0,0
Takeo Hagiwara-Maekawa,1930,Scrum-half,date unknown,1,0,0,0
Shuzaburo Iwashita,1930,Prop,date unknown,1,0,0,0
Takeo Kitano,1930,Wing,date unknown,6,2,2,8
Kenichi Matsubara,1930,Fly-half,date unknown,1,0,0,0
Minoru Mishima,1930,Lock,date unknown,3,2,0,0
Hideo Miyaji-Yoshizawa,1930,Flanker,date unknown,1,0,0,0
Giichi Ota,1930,Prop,date unknown,1,0,0,0
Seizo Shimizu,1930,No. 8,date unknown,3,1,0,0
Seiichi Teramura,1930,Fullback,date unknown,1,0,0,0
Zenjiro Toba-Nakajima,1930,Wing,date unknown,4,2,5,15
Shiro Wada,1930,Flanker,date unknown,1,0,0,0
Tadayuki Yagai,1930,Hooker,date unknown,1,0,0,0
Hidemaru Suzuki,1930,Wing,date unknown,1,0,0,0
Takao Adachi,1932,No. 8,date unknown,2,2,0,0
Takeo Baba,1932,Wing,date unknown,1,1,0,0
Saburo Hirao,1932,Centre,date unknown,2,2,1,3
Hiroshi Ijyuin,1932,Prop,date unknown,2,2,0,0
Tsunehiko Kasahara,1932,Fullback,date unknown,6,3,0,33
Taro Kinoshita,1932,Scrum-half,date unknown,2,2,0,0
Takeshi Matsubara,1932,Hooker,date unknown,3,3,0,0
Saburou Nishigaki,1932,Prop,date unknown,6,3,0,0
Masahiko Niwa,1932,Fly-half,date unknown,2,2,1,3
Yoshio Okada,1932,Flanker,date unknown,2,2,1,3
Shinji Ono,1932,Lock,date unknown,4,3,0,0
Teiji Toshi,1932,Flanker,date unknown,2,2,1,3
Ichiro Nogami,1932,Fly-half,date unknown,4,2,1,3
Ryuichi Iimori,1934,Scrum-half,date unknown,2,1,0,0
Shinshiro Komehana,1934,Flanker,date unknown,4,1,0,0
Kihei Mano,1934,Lock,date unknown,1,0,0,0
Kyuji Matsuda,1934,Hooker,date unknown,1,0,0,0
Taro Sasakura-Yamamoto,1934,Prop,date unknown,2,1,0,0
Sheizo Taji,1934,Flanker,date unknown,2,1,0,0
Tsutomu Tsujita,1934,Centre,date unknown,2,0,0,0
Takashi Naito,1934,Wing,date unknown,1,1,1,3
Hiroshi Tachibana,1934,Centre,date unknown,1,1,0,0
Hiroshi Tagawa,1934,Lock,date unknown,2,1,0,0
Hideo Ito,1936,Lock,date unknown,1,0,0,0
Toichiro Kawagoe,1936,Centre,date unknown,1,0,0,0
Ryohei Kinoshita,1936,Scrum-half,date unknown,2,0,0,0
Hiroyuki Nabeka,1936,Flanker,date unknown,2,0,0,0
Kazutsugu Nishiumi,1936,Prop,date unknown,2,0,0,0
Shoji Sakaguchi,1936,Wing,date unknown,2,0,1,3
Michihiro Sakai,1936,Hooker,date unknown,1,0,0,0
Isao Suzuki,1936,Fullback,date unknown,2,0,0,0
Kazuo Yamaguchi,1936,Lock,date unknown,2,0,0,0
Haruki Yamamoto,1936,No. 8,date unknown,1,0,0,0
Zenji Nishi,1936,Wing,date unknown,1,0,0,0
Iwao Ota,1936,Prop,date unknown,1,0,0,0
Masao Wada,1936,Scrum-half,date unknown,1,0,0,0
Yoshiaki Aoki,1952,Wing,date unknown,2,0,0,0
Atsushi Fujii,1952,Flanker,date unknown,2,0,0,0
Shinichi Hashimoto,1952,Lock,date unknown,4,0,0,0
Noboru Hirohata,1952,No. 8,date unknown,2,0,1,3
Ryotarou Kadoto,1952,Scrum-half,date unknown,1,0,0,0
Syoichiro Koyama,1952,Centre,date unknown,1,0,0,0
Genpei Kuroiwa,1952,Wing,date unknown,4,0,0,0
Yoshinobu Nakajima,1952,Hooker,date unknown,2,0,0,0
Takao Otsuka,1952,Centre,date unknown,1,0,0,0
Ryo Saito,1952,Prop,date unknown,4,0,0,0
Hidehiko Sato,1952,Fullback,date unknown,10,0,0,0
Tetsuo Sekikawa,1952,Prop,date unknown,2,0,0,0
Fukuo Shibagaki,1952,Fly-half,date unknown,1,0,0,0
Yusaku Takahashi,1952,Flanker,date unknown,1,0,0,0
Akira Tanaka,1952,Lock,date unknown,2,0,0,0
Ryuichi Imamura,1952,Centre,date unknown,6,0,0,0
Haruo Matsuoka,1952,Fly-half,date unknown,3,0,1,11
Sueharu Natsui,1952,Prop,Akita,3,0,0,0
Takeshi Takeda,1952,Lock,date unknown,1,0,0,0
Hideaki Tsichiya,1952,Scrum-half,date unknown,1,0,0,0
Toshiaki Tsuchiya,1952,Flanker,date unknown,12,0,3,9
Akihiko Watanabe,1952,Centre,date unknown,3,0,1,9
Sada Yamato,1952,No. 8,date unknown,1,0,0,0
Hideo Harada,1953,No. 8,date unknown,2,0,1,3
Keizo Kamisaka,1953,Fly-half,date unknown,2,0,0,0
Teruo Kitajima,1953,Prop,date unknown,4,0,0,0
Masaya Matsuoka,1953,Hooker,date unknown,1,0,0,0
Mitsuya Ohotsuka,1953,Scrum-half,date unknown,1,0,0,0
Toshiro Sasaki,1953,Wing,date unknown,2,0,0,0
Yoshiharu Umei,1953,Lock,date unknown,6,0,0,0
Junzo Aso,1953,Fly-half,date unknown,2,0,0,6
Masaaki Matsushige,1953,Flanker,date unknown,4,0,1,3
Manabu Mitoma,1953,Scrum-half,date unknown,3,0,0,0
Hirotoshi Hori,1956,Fly-half,date unknown,1,0,0,0
Koji Kikkawa,1956,Hooker,date unknown,6,0,0,0
Isao Kondo,1956,Wing,date unknown,2,0,0,0
Katsuhiro Mano,1956,Lock,date unknown,6,0,0,0
Kunio Miyai,1956,Wing,date unknown,11,1,3,9
Kazumitsu Ninoguchi,1956,Prop,date unknown,1,0,0,0
Takashi Shibata,1956,Lock,date unknown,1,0,0,0
Hiroshi Teranishi,1956,Centre,date unknown,5,0,0,0
Haruhiko Yamazaki,1956,Flanker,date unknown,1,0,1,3
Taisei-Shigehir Arai,1956,Fly-half,date unknown,6,0,0,6
Kazuo Natsui,1956,Prop,Akita,2,0,1,3
Takashi Sudo,1956,Flanker,date unknown,3,0,0,0
Koichi Takaoka,1956,Centre,date unknown,1,0,0,0
Ryuichi Ohara,1956,Lock,date unknown,1,0,0,0
Syozaburo Yamamoto,1956,Scrum-half,date unknown,1,0,0,0
Tatsuya Aoi,1958,Centre,date unknown,6,1,0,8
Rikio Enomoto,1958,Wing,date unknown,4,0,3,9
Terukazu Fuji,1958,Prop,date unknown,5,0,1,3
Koichi Imamura,1958,Scrum-half,date unknown,5,0,0,0
Yoshiaki Kaimoto,1958,Prop,date unknown,2,0,0,0
Yutaka Katakura,1958,Lock,date unknown,5,0,0,0
Hirosgi Hibino,1958,Wing,date unknown,3,0,1,3
Kiyoshi Kobayashi,1958,Prop,date unknown,6,0,1,3
Fumio Saito-Horikawa,1958,Scrum-half,date unknown,2,0,0,0
Ryuzo Taniguchi,1958,Centre,date unknown,2,0,0,0
Masao Ozaki,1958,No. 8,date unknown,2,0,1,3
Susumu Kitaoka,1959,Fullback,date unknown,2,0,0,10
Kinichi Miyajima,1959,Flanker,date unknown,3,0,0,6
Kenji Ohotsuka,1959,Flanker,date unknown,2,0,0,0
Eiichi Shiga,1959,Hooker,Akita,3,0,0,0
Seiji Tanaka,1959,Lock,date unknown,4,0,0,0
Hideki Tominaga,1959,No. 8,date unknown,3,0,0,0
Terumi Harada,1959,Fullback,date unknown,1,0,0,2
Kiichirou Akatsu,1959,Hooker,date unknown,1,0,0,0
Masato Hirashima,1959,Fly-half,date unknown,1,0,0,0
Kenji Ishii,1959,Centre,date unknown,2,0,0,0
Yozo Matsuoka,1959,Fullback,date unknown,2,1,0,0
Kazuhisa Tsutsumi-Tatsuno,1959,No. 8,date unknown,1,0,0,0
Teruyasu Yuki,1959,Prop,date unknown,1,0,0,0
Keisuke Yamada,1959,Flanker,date unknown,1,0,0,0
Koji Ishizuka,1963,No. 8,date unknown,5,2,1,3
Tadayuki Ito,1963,Wing,date unknown,19,8,19,63
Kazuo Kawasaki,1963,Prop,date unknown,1,1,0,0
Haruhiko Kitajima,1963,Fly-half,date unknown,1,1,1,3
Masatake Kusatsu,1963,Lock,date unknown,1,1,0,0
Shugoro Miura,1963,Scrum-half,date unknown,1,1,0,0
Kazuo Murata,1963,Hooker,date unknown,1,1,0,0
Hirohisa Nishizumi,1963,Flanker,date unknown,1,1,0,0
Eiji Okabe,1963,Lock,date unknown,2,1,0,0
Masayoshi Ozaki,1963,Centre,date unknown,5,3,2,10
Shiro Ueki,1963,No. 8,date unknown,1,1,0,0
Koji Yamada,1963,Prop,date unknown,1,1,0,0
Tadamasa Fujimoto-Kamohara,1967,Fly-half,date unknown,14,4,3,10
Megumi Horikoshi,1967,Lock,date unknown,4,1,0,0
Motonari Ishida,1967,Flanker,date unknown,4,1,0,0
Takashi Jinno,1967,Prop,date unknown,1,0,0,0
Katsumi Kamata,1967,Lock,date unknown,5,1,0,0
Tsutomu Katsuraguchi,1967,Fullback,date unknown,5,2,0,8
Morio Kawasaki,1967,Prop,date unknown,7,2,0,0
Yoshinori Okubo,1967,Scrum-half,date unknown,3,1,1,3
Yoshihiro Sakata,1967,Wing,date unknown,16,5,13,40
Toru Tenmyo,1967,Hooker,date unknown,2,0,0,0
Yoshiharu Yamaguchi,1967,Flanker,date unknown,13,4,2,94
Akira Yokoi,1967,Centre,date unknown,17,5,1,8
Katsutoshi Azuma,1967,Scrum-half,date unknown,1,0,0,0
Shozo Fujita,1967,Flanker,date unknown,1,0,0,0
Nobuo Ikaida,1967,Fullback,date unknown,1,0,0,0
Kazumasa Inubuse,1967,Centre,date unknown,1,0,0,0
Takeshi Kato,1967,Flanker,date unknown,1,0,1,3
Haruhiko Komiya,1967,Prop,date unknown,1,0,0,0
Shigeru Murayama,1967,Hooker,date unknown,1,0,0,0
Hisashi Yamaoka,1967,Wing,date unknown,1,0,0,0
Mitsuo Atokawa,1968,Hooker,date unknown,12,6,0,0
Yoshiaki Izawa,1968,Flanker,date unknown,24,7,2,8
Masaharu Mantani,1968,Fullback,date unknown,13,6,2,11
Hiroshi Ogasawara,1968,Lock,date unknown,24,7,0,0
Takeo Saruta,1968,Prop,date unknown,3,2,0,0
Ryozo Imazato,1969,Scrum-half,date unknown,24,6,0,0
Masayoshi Ito,1969,Lock,date unknown,1,1,0,0
Katsumi Miyaji,1969,Prop,date unknown,1,1,0,0
Yoshio Tanigawa,1969,Flanker,date unknown,1,1,0,0
Toshio Terai,1969,Lock,date unknown,21,7,0,0
Masahiro Uchida,1969,Flanker,date unknown,1,1,0,0
Satoru Matsuoka,1970,No. 8,date unknown,3,1,0,0
Makoto Mizutani,1970,Wing,date unknown,4,2,4,14
Fumiharu Shimazaki,1970,Centre,date unknown,10,3,2,10
Masaaki Shimozono,1970,Prop,date unknown,11,3,0,0
Tadahiko Omata,1970,Hooker,date unknown,3,1,0,0
Kishio Ishiyama,1970,Centre,date unknown,2,0,0,0
Asura Hara,1970,Prop,date unknown,17,5,1,4
Toshio Kurosaka,1970,Prop,date unknown,9,3,0,0
Koji Miyata,1971,Centre,date unknown,4,2,0,0
Yoshihiro Murata,1971,No. 8,date unknown,11,5,7,28
Sachio Iburi,1972,Prop,date unknown,1,1,0,0
Koichi Shibata,1972,Lock,date unknown,10,2,0,0
Masaru Fujiwara,1973,Wing,date unknown,22,4,12,48
Kazumi Ohigashi,1973,Hooker,date unknown,6,2,1,4
Iwao Yamamoto,1973,Fullback,date unknown,1,0,0,6
Junji Yoshida,1973,Flanker,date unknown,2,0,0,0
Kazuhito Yoshino,1973,Prop,date unknown,1,0,0,0
Hideo Akama,1973,Flanker,date unknown,13,2,0,0
Hiroaki Shukuzawa,1973,Scrum-half,date unknown,2,1,0,0
Nobuyuki Ueyama,1973,Fullback,date unknown,20,5,5,99
Masakatsu Iguchi,1973,Fly-half,date unknown,8,2,0,3
Ken Aruga,1974,Wing,date unknown,15,2,6,24
Takeo Ishizuka,1974,Flanker,date unknown,28,10,2,8
Tsukasa Takada,1974,Prop,date unknown,18,3,0,0
Shigetaka Mori,1974,Centre,date unknown,27,6,5,20
Masao Yoshida,1974,Centre,date unknown,18,4,3,12
Hitoshi Kano,1974,Centre,date unknown,2,1,1,6
Osamu Koyabu,1974,Fly-half,date unknown,1,1,1,4
Susumu Kurihara,1974,Wing,date unknown,1,1,1,4
Yuji Matsuo,1974,Fly-half,1954,24,8,3,73
Nobufumi Tanaka,1974,"Centre, Fullback",date unknown,15,5,2,44
Shigeru Toyoda,1974,Lock,date unknown,1,1,0,0
Osamu Yamashita,1974,Flanker,date unknown,1,1,0,0
Akio Hiraki,1975,Wing,date unknown,1,1,0,0
Ichiro Kobayashi,1975,Flanker,date unknown,18,2,1,4
Toru Wada,1975,Prop,date unknown,8,0,0,0
Shigekazu Hoshino,1975,Fly-half,date unknown,6,1,0,3
Masayuki Miyauchi,1975,Prop,date unknown,4,1,0,0
Ryutaro Fukurodate,1976,Lock,date unknown,11,2,0,0
Atsuhiko Kanasashi,1976,Wing,date unknown,1,0,0,0
Takeshi Nakayama,1976,Prop,date unknown,8,2,0,0
Akio Ueda,1976,Scrum-half,date unknown,5,1,0,0
Hirotsugu Ato,1976,Flanker,date unknown,1,0,0,0
Manabu Sasada,1976,Hooker,date unknown,8,1,0,0
Kyoichi Toyoyama,1976,Flanker,date unknown,6,0,0,0
Takeo Tsuyama,1976,Scrum-half,date unknown,2,1,0,0
Hirotaka Ujino,1976,Wing,date unknown,12,3,6,24
Yoichiro Minamikawa,1976,Centre,date unknown,19,7,2,18
Toshiaki Yasui,1976,Prop,date unknown,8,1,0,0
Kazuo Muraguchi,1976,Wing,date unknown,2,1,0,0
Naoshi Kymagai,1976,Lock,date unknown,2,0,0,0
Takeshi Hatakeyama,1976,Lock,date unknown,9,2,0,0
Isao Saito,1977,Flanker,date unknown,1,0,0,0
Kiyoshi Segawa,1977,Lock,date unknown,5,1,0,0
Akemi Namura,1977,Scrum-half,date unknown,1,0,0,0
Naoshi Kumagai,1977,Lock,date unknown,1,0,0,0
Junya Matsumoto,1977,Scrum-half,date unknown,10,2,0,0
Mitsuru Hohokabe,1978,Hooker,date unknown,2,1,0,0
Mitsuru Sakamoto,1978,Flanker,date unknown,3,2,1,4
Toshihiko Kitahara,1978,Lock,date unknown,1,1,0,0
Takeaki Toyoda,1978,Prop,date unknown,1,1,1,4
Tetsuro Yajima,1978,Centre,date unknown,3,1,0,0
Koji Horaguchi,1979,Prop,1953,24,5,0,0
Naohisa Tanifuji,1979,Fullback,date unknown,14,4,2,8
Takashi Kudo-Nakayama,1979,Wing,date unknown,1,0,0,0
Hideo Toshima,1979,Centre,date unknown,14,5,8,32
Kazuo Sejimo,1979,No. 8,date unknown,13,5,1,4
Michihito Chida,1980,No. 8,1958,26,8,4,16
Jiro Ishiyama,1980,Prop,date unknown,18,5,1,4
Hiroaki Takahashi,1980,Flanker,date unknown,1,0,0,0
Tsuyoshi Fujita,1980,Hooker,1961,32,7,4,16
Takashi Ito,1980,Flanker,date unknown,8,4,0,0
Hikaru Kawachi,1980,Flanker,date unknown,10,3,2,8
Shinichi Oikawa,1980,Fly-half,date unknown,1,0,0,5
Toshiyuki Hayashi,1980,"Prop, Lock",Tokushima,38,10,3,12
Fukumi Kanaya,1980,Wing,date unknown,12,5,3,12
Yoshimitsu Konishi,1980,Scrum-half,date unknown,23,6,7,28
Esturo Tsuji,1980,Wing,date unknown,6,2,4,16
Toshihiro Hirai,1980,,date unknown,3,2,0,0
Yoshichiro Ikeda,1980,Prop,date unknown,4,1,0,0
Nortitoshi Toyoda,1982,,date unknown,1,1,0,0
Kazuhiko Honjo,1982,Fly-half,date unknown,10,3,2,67
Masahiro Inoue,1982,Hooker,date unknown,5,2,0,0
Takao Ooba,1982,Prop,date unknown,1,0,0,0
Takanobu Kondo,1982,,date unknown,2,0,0,0
Seiji Hirao,1982,Fly-half,Kyoto,35,7,1,18
Yasuharu Kawase,1982,Flanker,1959,10,1,0,0
Kimitaka Morioka,1982,Fly-half,date unknown,1,0,0,0
Noboru Watanabe,1982,,date unknown,1,0,0,0
Koji Kawachi,1983,Lock,date unknown,2,1,0,0
Hideo Kobayashi,1983,Centre,date unknown,7,1,0,23
Atsushi Oyagi,1983,Lock,1961,30,6,3,12
Kenzo Takada,1983,Flanker,date unknown,1,0,0,0
Tetsuya Higashida,1983,Wing,date unknown,1,0,0,0
Toshitaka Kimura,1984,Prop,1963,10,1,0,0
Masahiko Koshiyama,1984,Flanker,date unknown,10,2,1,4
Shinji Onuki,1984,Wing,1962,15,2,3,12
Masato Yasuda,1984,Fullback,date unknown,1,0,0,0
Masaharu Aizawa,1984,Prop,1958,11,2,0,0
Toshiro Yoshino,1985,Utility back,1960,7,0,1,4
Shogo Mukai,1985,Fullback,1961,13,1,0,0
Daijiro Murai,1985,Fullback,1962,8,0,1,4
Yoshifumi Kasai,1985,Flanker,date unknown,2,0,0,0
Eiji Kutsuki,1985,Centre,1962,30,10,9,39
Toshihiro Matsunaga,1985,Centre,date unknown,2,0,0,0
Nofomuli Taumoefolau,1979,Wing,1956,18,4,5,20
Masato Tsuchida,1985,Flanker,date unknown,1,0,0,0
Kinya Konishi,1986,Lock,date unknown,2,0,0,0
Katsuhiro Matsuo,1986,Fly-half,Miyazaki,23,8,3,61
Osamu Ota,1986,Prop,Akitai,27,10,1,5
Hopoi Taione,1986,No. 8,November 1957,4,1,0,0
Koji Yasumi,1986,Prop,1957,3,1,0,0
Katsunori Ishii,1986,Fullback,date unknown,1,0,0,0
Seiji Kurihara,1986,Lock,1964,3,0,0,0
Yoshihiko Sakuraba,1986,Lock,Akita,43,17,1,5
Katsufumi Miyamoto,1986,Flanker,1966,9,0,1,4
Yuji Masutome,1986,Hooker,date unknown,1,0,0,0
Kojiro Yoshinaga,1986,Centre,1961,6,0,2,11
Hisataka Ikuta,1987,Scrum-half,1962,4,0,0,0
Sinali-Tui Latu,1984,No. 8,Ha'apai,34,11,4,18
Mitsutake Hagimoto,1987,Scrum-half,1959,1,0,0,0
Minoru Okidoi,1987,Wing,1965,4,0,2,25
Tsutomu Hirose,1987,Hooker,1963,3,0,0,0
Katsumi Sogumo,1987,Flanker,date unknown,1,0,0,0
Masami Horikoshi,1988,Scrum-half,Tokyo,27,10,5,21
Kenji Imakoma,1988,Centre,date unknown,2,0,3,12
Takanori Nagata,1988,Prop,date unknown,1,0,0,0
Koda Tsunejiro,1988,Flanker,date unknown,2,0,0,0
Seigo Umeki-Kunisada,1988,Wing,date unknown,1,0,0,0
Yoshihito Yoshida,1988,Wing,Akita,31,11,19,97
Masayuki Nagai,1988,Prop,date unknown,2,0,0,0
Toshitsugu Yamamoto,1988,Fullback,date unknown,3,1,1,14
Kiyoshi Imaizumi,1988,,Tokyo,8,4,3,15
Shinobu Aoki,1989,Fly-half,1968,5,1,1,4
Hiroyuki Kajihara,1989,Flanker,Yamanasi,31,12,6,28
Shuji Nakashima,1989,Flanker,1965,11,4,0,0
Masanori Takura,1989,Prop,Kyoto,16,8,1,5
Ekeroma Lauaiufi,1987,Lock,Western Samoa,15,5,1,4
Tadashi Goda,1990,Wing,date unknown,8,2,1,4
Kazuaki Takahashi,1990,Prop,Tokyo,22,5,1,5
Takahiro Hosokawa,1990,Fullback,1967,10,3,3,115
Narihiro Watanabe,1990,Scrum-half,date unknown,1,0,0,0
Masahiro Kunda,1990,Hooker,Aichi,48,20,1,5
Kiyomi Fukumoro,1990,Fullback,date unknown,1,0,0,5
Susumu Fukuoka,1990,Centre,date unknown,1,0,0,0
Hirofumi Ouchi,1990,,1966,5,1,0,0
Wataru Murata,1991,Scrum-half,Fukuoka,41,15,5,84
Yukio Motoki,1991,Centre,Osaka,79,31,9,45
Tatsuya Maeda,1991,,1968,4,1,0,26
Terunori Masuho,1991,Wing,Tokyo,47,20,29,147
Sam Kaleta,1992,Flanker,1966,11,5,1,5
Jun Komura,1992,Flanker,1970,4,2,0,0
Sione-Tupo Latu Mailangi,1992,No. 8,1971,9,6,4,20
Tsutomu Matsuda,1992,"Fullback, Wing",Saitama,43,20,14,70
Lopeti Oto,1992,Wing,1971,8,2,7,35
Noriyuki Owashi,1992,Fly-half,date unknown,1,1,0,7
Hirohisa Kato,1993,Centre,date unknown,2,0,0,0
Hidco Kaneshiro,1993,Flanker,date unknown,1,0,0,0
Bruce Ferguson,1993,Lock,Suva,17,7,0,0
Mitsuo Fujikake,1993,Centre,date unknown,4,2,1,5
Yogi Nagatomo,1993,Scrum-half,date unknown,8,3,0,38
Ian Williams,1987,Wing,NSW,18,6,11,45
Takashi Akatsuka,1994,Lock,Osaka,7,5,2,10
Hideki Nishida,1994,Scrum-half,Kumamoto,1,1,2,10
Yasunobu Sato,1994,Prop,date unknown,2,1,0,0
Keiji Hirose,1994,Fly-half,Osaka,40,18,5,422
Tetsuya Takeyama,1994,Centre,date unknown,2,1,0,0
Tomoya Haneda,1995,Lock,Osaka,1,0,0,0
Eiji Hirotsu,1995,,Yamaguchi,1,0,0,0
