Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Opai Asher,NewZealand,1903,Wing,1,1,0,0,3,1,Tauranga,NewZealand
Reuben Cooke,NewZealand,1903,Lock,1,1,0,0,0,0,Christchurch,NewZealand
Jimmy Duncan,NewZealand,1903,Fly-half,1,1,0,0,0,0,Dunedin,NewZealand
Bernard Fanning,NewZealand,1903,Lock,2,2,0,0,0,0,Christchurch,NewZealand
David Gallaher,NewZealand,1903,Wing-forward,6,5,1,0,0,0,Ramelton,Ireland
Mickey Kiernan,NewZealand,1903,Scrum-half,1,1,0,0,0,0,Wanganui,NewZealand
Paddy Long,NewZealand,1903,Lock,1,1,0,0,0,0,Auckland,NewZealand
Duncan McGregor,NewZealand,1903,Wing,4,3,1,0,18,6,Kaiapoi,NewZealand
Dick McGregor,NewZealand,1903,Fullback,2,2,0,0,3,1,Thames,NewZealand
Archie McMinn,NewZealand,1903,Flanker,2,2,0,0,6,2,Marton,NewZealand
George Nicholson,NewZealand,1903,Lock,4,3,0,1,0,0,Auckland,NewZealand
Bubs Tyler,NewZealand,1903,Prop,7,6,1,0,5,1,Auckland,NewZealand
Daniel Udy,NewZealand,1903,Prop,1,1,0,0,0,0,Greytown,NewZealand
Carbine Wallace,NewZealand,1903,Wing,11,8,1,2,53,5,Wellington,NewZealand
Maurice Wood,NewZealand,1903,Five-eighth,2,2,0,0,0,0,Waipawa,NewZealand
Tom Cross,NewZealand,1904,Lock,2,2,0,0,3,1,Dunedin,NewZealand
Billy Glenn,NewZealand,1904,Flanker,2,2,0,0,0,0,Greymouth,NewZealand
Eric Harper,NewZealand,1904,Centre,2,2,0,0,6,2,Christchurch,NewZealand
Peter Harvey,NewZealand,1904,Scrum-half,1,1,0,0,0,0,South Rakaia,NewZealand
Paddy McMinn,NewZealand,1904,Prop,1,1,0,0,0,0,Turakina,NewZealand
Bronco Seeling,NewZealand,1904,Flanker,11,9,1,1,6,2,Wanganui,NewZealand
Billy Stead,NewZealand,1904,Fly-half,7,7,0,0,0,0,Invercargill,NewZealand
Rob Bennet,NewZealand,1905,Centre,1,1,0,0,0,0,Dunedin,NewZealand
Jerry Burgess,NewZealand,1905,Scrum-half,1,1,0,0,0,0,Invercargill,NewZealand
Ernie Dodd,NewZealand,1905,Prop,1,1,0,0,0,0,Wellington,NewZealand
Bolla Francis,NewZealand,1905,Lock,10,7,1,2,16,3,Wanganui,NewZealand
Colin Gilray,NewZealand,1905,Wing,5,3,2,0,3,1,Broughty Ferry,Scotland
Donald Macpherson,NewZealand,1905,Wing,3,2,1,0,3,1,Waimate,NewZealand
Charles Purdue,NewZealand,1905,Flanker,1,1,0,0,0,0,Mataura,NewZealand
Pat Purdue,NewZealand,1905,Lock,1,1,0,0,0,0,Dipton,NewZealand
Bill Smith,NewZealand,1905,Fly-half,1,1,0,0,0,0,Wellington,NewZealand
John Spencer,NewZealand,1905,Lock,2,2,0,0,0,0,Wellington,NewZealand
Hubert Turtill,NewZealand,1905,Fullback,1,1,0,0,0,0,London,England
Eric Watkins,NewZealand,1905,Prop,1,1,0,0,0,0,Akaroa,NewZealand
Edgar Wrigley,NewZealand,1905,Five-eighth,1,1,0,0,3,1,Masterton,NewZealand
Steve Casey,NewZealand,1905,Prop,8,6,1,1,0,0,Dunedin,NewZealand
Bill Cunningham,NewZealand,1905,Lock,9,7,0,2,3,1,Rangiaohia,NewZealand
Bob Deans,NewZealand,1905,Centre,5,4,1,0,9,3,Christchurch,NewZealand
George Gillett,NewZealand,1905,Wing-forward,8,6,1,1,7,1,Leeston,NewZealand
Francis Glasgow,NewZealand,1905,Lock,6,5,1,0,9,3,Dunedin,NewZealand
Jimmy Hunter,NewZealand,1905,Five-eighth,11,8,1,2,12,4,Hawera,NewZealand
Alex McDonald,NewZealand,1905,Flanker,8,7,1,0,11,3,Dunedin,NewZealand
Jimmy O'Sullivan,NewZealand,1905,Lock,5,3,1,1,0,0,Okaiawa,NewZealand
Fred Roberts,NewZealand,1905,Scrum-half,12,9,2,1,11,2,Wellington,NewZealand
George Smith,NewZealand,1905,Wing,2,2,0,0,6,2,Auckland,NewZealand
Simon Mynott,NewZealand,1905,Fly-half,8,6,1,1,0,0,Auckland,NewZealand
Fred Newton,NewZealand,1905,Lock,3,2,1,0,3,1,Christchurch,NewZealand
Bunny Abbott,NewZealand,1906,Wing,1,1,0,0,8,2,Camerontown,NewZealand
Ernest Booth,NewZealand,1906,Fullback,3,2,0,1,0,0,Teschmakers,NewZealand
Bill Mackrell,NewZealand,1906,Prop,1,1,0,0,0,0,Milton,Australia
Ginger Colman,NewZealand,1907,Fullback,4,4,0,0,2,0,Hawera,NewZealand
Frank Fryer,NewZealand,1907,Wing,4,2,0,2,0,0,Riccarton,NewZealand
Ned Hughes,NewZealand,1907,Prop,6,4,1,1,3,1,Invercargill,NewZealand
Massa Johnston,NewZealand,1907,Lock,3,2,0,1,0,0,Dunedin,NewZealand
Frank Mitchinson,NewZealand,1907,Centre,11,8,1,2,32,10,Lawrence,NewZealand
Don Cameron,NewZealand,1908,Wing,3,2,0,1,3,1,Waitara,NewZealand
Mona Thomson,NewZealand,1908,Wing,1,1,0,0,3,1,Napier,NewZealand
Ranji Wilson,NewZealand,1908,Flanker,10,7,2,1,6,2,Christchurch,NewZealand
Paddy Burns,NewZealand,1908,Centre,5,2,2,1,6,2,Lyttelton,NewZealand
Doddy Gray,NewZealand,1908,Fly-half,3,2,0,1,9,3,Unknown,NewZealand
Don Hamilton,NewZealand,1908,Wing-forward,1,0,0,1,0,0,Invercargill,NewZealand
Peter Murray,NewZealand,1908,Prop,1,0,0,1,0,0,Southern Grove,NewZealand
Sandy Paterson,NewZealand,1908,Lock,5,3,1,1,3,1,Dunedin,NewZealand
Bill Reedy,NewZealand,1908,Prop,2,1,0,1,0,0,Buller,NewZealand
Circus Hayward,NewZealand,1908,Flanker,1,1,0,0,3,1,Blenheim,NewZealand
Henry Avery,NewZealand,1910,Wing-forward,3,2,1,0,0,0,Wellington,NewZealand
William Fuller,NewZealand,1910,Five-eighth,2,1,1,0,3,1,Christchurch,NewZealand
Gerald McKellar,NewZealand,1910,Flanker,3,2,1,0,0,0,Cromwell,NewZealand
James Maguire,NewZealand,1910,Prop,3,2,1,0,0,0,Auckland,NewZealand
Joe O'Leary,NewZealand,1910,Fullback,4,3,1,0,16,0,Masterton,NewZealand
Henry Paton,NewZealand,1910,Lock,2,2,0,0,3,1,Dunedin,NewZealand
Jimmy Ridland,NewZealand,1910,Prop,3,2,1,0,0,0,Invercargill,NewZealand
Jack Stohr,NewZealand,1910,Wing,3,2,1,0,6,2,New Plymouth,NewZealand
Dave Evans,NewZealand,1910,Lock,1,0,1,0,0,0,Napier,NewZealand
Billy Mitchell,NewZealand,1910,Wing,2,1,1,0,3,1,Melbourne,Australia
James Ryan,NewZealand,1910,Five-eighth,4,3,1,0,0,0,Masterton,NewZealand
Harry Atkinson,NewZealand,1913,Lock,1,1,0,0,0,0,Greymouth,NewZealand
Jock Cuthill,NewZealand,1913,Fullback,2,2,0,0,0,0,Inverleithen,Scotland
Norkey Dewar,NewZealand,1913,Flanker,2,2,0,0,0,0,Wellington,NewZealand
Doolan Downing,NewZealand,1913,Lock,5,5,0,0,0,0,Napier,NewZealand
Tiger Lynch,NewZealand,1913,Wing,4,4,0,0,12,4,Milton,NewZealand
Dougie McGregor,NewZealand,1913,Wing,2,2,0,0,3,1,Thames,NewZealand
Jock McKenzie,NewZealand,1913,Five-eighth,4,4,0,0,15,5,Lyttelton,NewZealand
Toby Murray,NewZealand,1913,Wing-forward,4,4,0,0,9,3,Christchurch,NewZealand
Dick Roberts,NewZealand,1913,Centre,5,5,0,0,29,7,Manaia,NewZealand
George Sellars,NewZealand,1913,Prop,2,2,0,0,0,0,Auckland,NewZealand
Harry Taylor,NewZealand,1913,Wing,5,5,0,0,12,4,Christchurch,NewZealand
Peter Williams,NewZealand,1913,Prop,1,1,0,0,0,0,Dunedin,NewZealand
Jim Wylie,NewZealand,1913,Lock,2,2,0,0,3,1,Galatea,NewZealand
James Baird,NewZealand,1913,Centre,1,1,0,0,0,0,Dunedin,NewZealand
Buster Barrett,NewZealand,1913,Flanker,2,1,1,0,0,0,Auckland,NewZealand
Charles Brown,NewZealand,1913,Scrum-half,2,1,1,0,3,1,New Plymouth,NewZealand
William Cummings,NewZealand,1913,Lock,2,1,1,0,3,1,Timaru,NewZealand
William Francis,NewZealand,1913,Prop,5,4,1,0,6,2,New Plymouth,NewZealand
William Geddes,NewZealand,1913,Fly-half,1,1,0,0,0,0,Auckland,NewZealand
Charles Gillespie,NewZealand,1913,Lock,1,1,0,0,0,0,Masterton,NewZealand
Edward Hasell,NewZealand,1913,Prop,2,1,1,0,3,1,Christchurch,NewZealand
John Macky,NewZealand,1913,Wing,1,1,0,0,0,0,Auckland,NewZealand
Jim McNeece,NewZealand,1913,Lock,5,4,1,0,3,1,Invercargill,NewZealand
Augustine Spillane,NewZealand,1913,Five-eighth,2,1,1,0,0,0,Geraldine,NewZealand
James Stewart,NewZealand,1913,Wing,2,1,1,0,0,0,Kaiapoi,NewZealand
Reginald Taylor,NewZealand,1913,Wing-forward,2,1,1,0,3,1,Hillsborough,NewZealand
Eric Cockroft,NewZealand,1913,Fullback,3,2,1,0,0,0,Clinton,NewZealand
Alfred Fanning,NewZealand,1913,Lock,1,0,1,0,3,1,Christchurch,NewZealand
James Tilyard,NewZealand,1913,Fly-half,1,0,1,0,0,0,Waratah,Australia
Michael Cain,NewZealand,1913,Prop,4,4,0,0,0,0,Waitara,NewZealand
James Graham,NewZealand,1913,Lock,3,3,0,0,10,0,Dunedin,NewZealand
Robert Black,NewZealand,1914,Fly-half,1,1,0,0,0,0,Arrowtown,NewZealand
John Bruce,NewZealand,1914,Flanker,2,2,0,0,0,0,Wellington,NewZealand
Sal Irvine,NewZealand,1914,Lock,3,3,0,0,0,0,Dunedin,NewZealand
John O'Brien,NewZealand,1914,Fullback,1,1,0,0,0,0,Wellington,NewZealand
Teddy Roberts,NewZealand,1914,Scrum-half,5,3,1,1,4,0,Wellington,NewZealand
George Aitken,NewZealand,1921,Centre,10,8,2,0,0,0,Westport,NewZealand
Cecil Badeley,NewZealand,1921,Fly-half,2,1,1,0,0,0,Auckland,NewZealand
Moke Belliss,NewZealand,1921,Flanker,3,1,1,1,3,1,Palmerston North,NewZealand
Jim Donald,NewZealand,1921,Wing-forward,2,1,1,0,0,0,Featherston,NewZealand
Bill Duncan,NewZealand,1921,Prop,3,1,1,1,0,0,Port Chalmers,NewZealand
Richard Fogarty,NewZealand,1921,Prop,2,1,0,1,0,0,Matakanui,NewZealand
Nipper Kingstone,NewZealand,1921,Fullback,3,1,1,1,0,0,Auckland,NewZealand
Jim Moffitt,NewZealand,1921,Lock,3,1,1,1,0,0,Waikaia,NewZealand
Ginger Nicholls,NewZealand,1921,Scrum-half,1,1,0,0,0,0,Wellington,NewZealand
Mark Nicholls,NewZealand,1921,Five-eighth,10,8,1,1,48,0,Greytown,NewZealand
Jock Richardson,NewZealand,1921,Lock,7,5,1,1,3,1,Dunedin,NewZealand
John Steel,NewZealand,1921,Wing,6,4,1,1,9,3,Dillmanstown,NewZealand
Percival Storey,NewZealand,1921,Wing,2,1,1,0,3,1,Temuka,NewZealand
Son White,NewZealand,1921,Flanker,4,4,0,0,3,1,Invercargill,NewZealand
Andrew McLean,NewZealand,1921,Lock,2,0,1,1,3,1,Auckland,NewZealand
Alfred West,NewZealand,1921,Flanker,2,0,1,1,0,0,Inglewood,NewZealand
Billy Fea,NewZealand,1921,Fly-half,1,0,0,1,0,0,Dunedin,NewZealand
Charles Fletcher,NewZealand,1921,Flanker,1,0,0,1,0,0,Rewiti,NewZealand
Karl Ifwersen,NewZealand,1921,Five-eighth,1,0,0,1,0,0,Auckland,NewZealand
Stanley Siddells,NewZealand,1921,Wing,1,0,0,1,0,0,Wellington,NewZealand
Maurice Brownlie,NewZealand,1924,Lock,8,6,2,0,6,2,Wanganui,NewZealand
Bert Cooke,NewZealand,1924,Five-eighth,8,7,1,0,12,4,Auckland,NewZealand
Les Cupples,NewZealand,1924,Flanker,2,2,0,0,0,0,Otautau,NewZealand
Bill Dalley,NewZealand,1924,Scrum-half,5,3,2,0,0,0,Lyttelton,NewZealand
Quentin Donald,NewZealand,1924,Prop,4,4,0,0,0,0,Featherston,NewZealand
Augustine Hart,NewZealand,1924,Wing,1,1,0,0,0,0,Auckland,NewZealand
Bull Irvine,NewZealand,1924,Prop,5,4,1,0,9,3,Auckland,NewZealand
Fred Lucas,NewZealand,1924,Centre,7,6,1,0,3,1,Auckland,NewZealand
Read Masters,NewZealand,1924,Lock,4,4,0,0,0,0,Picton,NewZealand
George Nepia,NewZealand,1924,Fullback,9,7,2,0,5,0,Wairoa,NewZealand
James Parker,NewZealand,1924,Wing-forward,3,3,0,0,3,1,Lyttelton,NewZealand
Snowy Svenson,NewZealand,1924,Wing,4,4,0,0,12,4,Toowoomba,Australia
Cyril Brownlie,NewZealand,1924,Lock,3,3,0,0,0,0,Wanganui,NewZealand
Neil McGregor,NewZealand,1924,Fly-half,2,2,0,0,0,0,Lowburn,NewZealand
Jimmy Mill,NewZealand,1924,Scrum-half,4,3,1,0,0,0,Tokomaru Bay,NewZealand
Cliff Porter,NewZealand,1925,Wing-forward,7,4,3,0,12,4,Edinburgh,Scotland
Geoff Alley,NewZealand,1928,Lock,3,1,2,0,0,0,Amberly,NewZealand
Syd Carleton,NewZealand,1928,Centre,6,1,5,0,0,0,Christchurch,NewZealand
Bunny Finlayson,NewZealand,1928,Lock,6,3,3,0,0,0,Maungaturoto,NewZealand
Bert Grenside,NewZealand,1928,Wing,6,2,4,0,9,3,Hastings,NewZealand
Swin Hadley,NewZealand,1928,Prop,4,2,2,0,0,0,Wangaroa,NewZealand
Bill Hazlett,NewZealand,1928,Flanker,8,5,3,0,0,0,Invercargill,NewZealand
Lance Johnson,NewZealand,1928,Fly-half,4,2,2,0,0,0,Lumsden,NewZealand
David Lindsay,NewZealand,1928,Fullback,3,1,2,0,3,0,Studholm,NewZealand
Alan Robilliard,NewZealand,1928,Wing,4,2,2,0,0,0,Ashburton,NewZealand
George Scrimshaw,NewZealand,1928,Wing-forward,1,0,1,0,0,0,Islington,NewZealand
Ron Stewart,NewZealand,1928,Wing-forward,5,3,2,0,3,1,Waikaia,NewZealand
Archie Strang,NewZealand,1928,Fly-half,5,4,1,0,13,1,Invercargill,NewZealand
Tuna Swain,NewZealand,1928,Prop,4,2,2,0,3,1,Sydney,Australia
Reuben McWilliams,NewZealand,1928,Flanker,10,5,5,0,3,1,Paeroa,NewZealand
Herb Lilburne,NewZealand,1928,Fly-half,10,3,6,1,4,0,Burnham,NewZealand
Ian Harvey,NewZealand,1928,Lock,1,1,0,0,0,0,Masterton,NewZealand
Beau Cottrell,NewZealand,1929,Prop,11,6,5,0,0,0,Westport,NewZealand
Bert Geddes,NewZealand,1929,Wing,1,0,1,0,0,0,Invercargill,NewZealand
Bill Heke,NewZealand,1929,Lock,3,0,3,0,0,0,Mangakahia,NewZealand
Lew Hook,NewZealand,1929,Centre,3,0,3,0,0,0,Puni,NewZealand
Charlie Oliver,NewZealand,1929,Five-eighth,7,2,5,0,6,2,Wanganui,NewZealand
Keith Reid,NewZealand,1929,Prop,2,0,2,0,0,0,Clareville,NewZealand
Wattie Reside,NewZealand,1929,Lock,1,0,1,0,0,0,Masterton,NewZealand
Fritz Snow,NewZealand,1929,Flanker,3,0,3,0,0,0,Nelson,NewZealand
Charlie Sonntag,NewZealand,1929,Lock,3,0,3,0,0,0,Dunedin,NewZealand
Jack Tuck,NewZealand,1929,Scrum-half,3,0,3,0,0,0,Tikokino,NewZealand
Alfred Waterman,NewZealand,1929,Wing,2,0,2,0,0,0,Auckland,NewZealand
Clinton Stringfellow,NewZealand,1929,Centre,2,0,2,0,3,1,Chertsey,NewZealand
Alfred Kivell,NewZealand,1929,Lock,2,0,2,0,0,0,Thames,NewZealand
Bert Palmer,NewZealand,1929,Hooker,3,2,1,0,3,1,Mosstown,NewZealand
Rawi Cundy,NewZealand,1929,Wing-forward,1,0,1,0,3,0,Featherston,NewZealand
Tiny Leys,NewZealand,1929,Scrum-half,1,0,1,0,0,0,Wellington,NewZealand
Walter Batty,NewZealand,1930,Flanker,4,3,1,0,3,1,Tonga,Tonga
George Hart,NewZealand,1930,Wing,11,8,3,0,21,7,Christchurch,NewZealand
Don Oliver,NewZealand,1930,Wing,2,1,1,0,3,1,Dunedin,NewZealand
Dick Steere,NewZealand,1930,Lock,6,4,2,0,0,0,Raetihi,NewZealand
Merv Corner,NewZealand,1930,Scrum-half,6,4,2,0,0,0,Auckland,NewZealand
John Hore,NewZealand,1930,Prop,10,6,3,1,9,3,Dunedin,NewZealand
Hugh McLean,NewZealand,1930,Flanker,9,5,4,0,9,3,Wanganui,NewZealand
Kelly Ball,NewZealand,1931,Wing,5,3,2,0,12,4,Foxton,NewZealand
Ron Bush,NewZealand,1931,Fullback,1,1,0,0,14,0,Nelson,NewZealand
Ted Jessep,NewZealand,1931,Prop,4,2,1,1,0,0,Sydney,Australia
Don Max,NewZealand,1931,Lock,3,1,1,1,3,1,Nelson,NewZealand
Tom Metcalfe,NewZealand,1931,No. 8,2,1,1,0,0,0,Invercargill,NewZealand
Rusty Page,NewZealand,1931,Fly-half,6,3,2,1,3,1,Dunedin,NewZealand
George Purdue,NewZealand,1931,Lock,4,3,1,0,3,1,Invercargill,NewZealand
Frank Solomon,NewZealand,1931,No. 8,3,3,0,0,3,1,Pago Pago,Samoa
George Bullock-Douglas,NewZealand,1932,Wing,5,2,2,1,9,3,Wanganui,NewZealand
Pat Caughey,NewZealand,1932,Centre,9,4,4,1,9,3,Auckland,NewZealand
Frank Kilby,NewZealand,1932,Scrum-half,4,2,1,1,3,1,Invercargill,NewZealand
Jack Manchester,NewZealand,1932,Flanker,9,4,4,1,3,1,Waimate,NewZealand
Bunk Pollock,NewZealand,1932,Five-eighth,5,4,1,0,29,0,Petone,NewZealand
Joe Procter,NewZealand,1932,Wing,1,0,1,0,0,0,Dunedin,NewZealand
Ray Clarke,NewZealand,1932,Lock,2,2,0,0,0,0,Warea,NewZealand
Arthur Collins,NewZealand,1932,Fullback,3,2,1,0,9,0,Stratford,NewZealand
Gordon Innes,NewZealand,1932,Five-eighth,1,1,0,0,0,0,Dunedin,NewZealand
Bill Hadley,NewZealand,1934,Hooker,8,4,3,1,6,2,Auckland,NewZealand
Bubs Knight,NewZealand,1934,Lock,1,0,1,0,3,1,Auckland,NewZealand
Arthur Lambourn,NewZealand,1934,Prop,10,4,5,1,0,0,Maryborough,Australia
Roderick McKenzie,NewZealand,1934,Flanker,9,6,3,0,0,0,Rakaia,NewZealand
Ned Barry,NewZealand,1934,Flanker,1,0,0,1,0,0,Temuka,NewZealand
Jack Griffiths,NewZealand,1934,Fly-half,7,5,1,1,0,0,Wellington,NewZealand
Edward Holder,NewZealand,1934,Wing,1,0,0,1,0,0,Seddonville,NewZealand
Ron King,NewZealand,1934,Lock,13,8,4,1,0,0,Waiuta,NewZealand
Hawea Mataira,NewZealand,1934,No. 8,1,0,0,1,0,0,Nuhaka,NewZealand
