Opai Asher,1903,Wing,Tauranga,1,1,1,3,New Zealand/Aotearoa,Bay of Plenty,Tauranga City
Reuben Cooke,1903,Lock,?,1,1,0,0,g,n,i
Jimmy Duncan,1903,Fly-half,Dunedin,1,1,0,0,New Zealand/Aotearoa,Otago,Dunedin City
Bernard Fanning,1903,Lock,Christchurch,2,2,0,0,New Zealand/Aotearoa,Canterbury,Christchurch City
David Gallaher,1903,Wing-forward,Ramelton,6,5,0,0,Republic of Ireland,County Donegal,Ramelton
Mickey Kiernan,1903,Scrum-half,Wanganui,1,1,0,0,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District
Paddy Long,1903,Lock,Auckland,1,1,0,0,New Zealand/Aotearoa,Auckland,Missing
Duncan McGregor,1903,Wing,Kaiapoi,4,3,6,18,New Zealand/Aotearoa,Canterbury,Waimakariri District
Dick McGregor,1903,Fullback,Thames,2,2,1,3,New Zealand/Aotearoa,Waikato,Thames Coromandel District
Archibald McMinn,1903,Flanker,Marton,2,2,2,6,United Kingdom,England,North West England
George Nicholson,1903,Lock,Auckland,4,3,0,0,New Zealand/Aotearoa,Auckland,Missing
Bubs Tyler,1903,Prop,Auckland,7,6,1,5,New Zealand/Aotearoa,Auckland,Missing
Daniel Udy,1903,Prop,Greytown,1,1,0,0,New Zealand/Aotearoa,Wellington,South Wairarapa District
Carbine Wallace,1903,Wing,Wellington,11,8,5,53,New Zealand/Aotearoa,Wellington,Wellington City
Maurice Wood,1903,Five-eighth,Waipawa,2,2,0,0,New Zealand/Aotearoa,Wellington,South Wairarapa District
Angry Cross,1904,Lock,Dunedin,2,2,1,3,New Zealand/Aotearoa,Otago,Dunedin City
Billy Glenn,1904,Flanker,Greymouth,2,2,0,0,New Zealand/Aotearoa,West Coast,Grey District
Eric Harper,1904,Centre,Christchurch,2,2,2,6,New Zealand/Aotearoa,Canterbury,Christchurch City
Peter Harvey,1904,Scrum-half,S Rakaia,1,1,0,0,New Zealand/Aotearoa,Canterbury,Ashburton District
Paddy McMinn,1904,Prop,Turkina,1,1,0,0,Россия,614056,Приволжский федеральный округ
Bronco Seeling,1904,Flanker,Wanganui,11,9,2,6,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District
Billy Stead,1904,Fly-half,Invercargill,7,7,0,0,New Zealand/Aotearoa,Southland,Invercargill City
Robert Bennet,1905,Centre,Caversham,1,1,0,0,United Kingdom,England,South East
Jerry Burgess,1905,Scrum-half,Invercargill,1,1,0,0,New Zealand/Aotearoa,Southland,Invercargill City
Ernie Dodd,1905,Prop,Wellington,1,1,0,0,New Zealand/Aotearoa,Wellington,Wellington City
Bolla Francis,1905,Lock,Wanganui,10,7,3,16,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District
Colin Gilray,1905,Wing,Broughty Ferry,5,3,1,3,United Kingdom,Scotland,Dundee City
Donald Macpherson,1905,Wing,Waimate,3,2,1,3,New Zealand/Aotearoa,Canterbury,Waimate District
Charles Purdue,1905,Flanker,Mataura,1,1,0,0,New Zealand/Aotearoa,Southland,Gore District
Pat Purdue,1905,Lock,Dipton,1,1,0,0,New Zealand/Aotearoa,Southland,Dipton
William Smith,1905,Fly-half,Wellington,1,1,0,0,New Zealand/Aotearoa,Wellington,Wellington City
John Spencer,1905,Lock,Wellington,2,2,0,0,New Zealand/Aotearoa,Wellington,Wellington City
Hubert Turtill,1905,Fullback,London,1,1,0,0,United Kingdom,England,Greater London
Eric Watkins,1905,Prop,Akaroa,1,1,0,0,New Zealand/Aotearoa,Canterbury,Christchurch City
Edgar Wrigley,1905,Five-eighth,Masterton,1,1,1,3,New Zealand/Aotearoa,Wellington,Masterton District
Steve Casey,1905,Prop,Dunedin,8,6,0,0,New Zealand/Aotearoa,Otago,Dunedin City
Bill Cunningham,1905,Lock,Rangiaohia,9,7,1,3,g,n,i
Bob Deans,1905,Centre,Christchurch,5,4,3,9,New Zealand/Aotearoa,Canterbury,Christchurch City
George Gillett,1905,Wing-forward,Leeston,8,6,1,7,New Zealand/Aotearoa,Canterbury,Selwyn District
Francis Glasgow,1905,Lock,S Dunedin,6,5,3,9,New Zealand/Aotearoa,9012,Otago
Jimmy Hunter,1905,Five-eighth,Hawera,11,8,4,12,New Zealand/Aotearoa,Taranaki,South Taranaki District
Alexander McDonald,1905,Flanker,Dunedin,8,7,3,11,New Zealand/Aotearoa,Otago,Dunedin City
James O'Sullivan,1905,Lock,Okaiawa,5,3,0,0,New Zealand/Aotearoa,Taranaki,South Taranaki District
Frederick Roberts,1905,Scrum-half,Wellington,12,9,2,11,New Zealand/Aotearoa,Wellington,Wellington City
George Smith,1905,Wing,Auckland,2,2,2,6,New Zealand/Aotearoa,Auckland,Missing
Simon Mynott,1905,Fly-half,Auckland,8,6,0,0,New Zealand/Aotearoa,Auckland,Missing
Frederick Newton,1905,Lock,Christchurch,3,2,1,3,New Zealand/Aotearoa,Canterbury,Christchurch City
Bunny Abbott,1906,Wing,Camerontown,1,1,2,8,United States of America,South Carolina,Florence County
Ernest Booth,1906,Fullback,Teschemakers,3,2,0,0,New Zealand/Aotearoa,Otago,Waitaki District
Bill Mackrell,1906,Prop,Milton,1,1,0,0,United States of America,Massachusetts,Norfolk County
Ginger Colman,1907,Fullback,Hawera,4,4,0,2,New Zealand/Aotearoa,Taranaki,South Taranaki District
Frank Fryer,1907,Wing,Riccarton,4,2,0,0,New Zealand/Aotearoa,Canterbury,Christchurch City
Ned Hughes,1907,Prop,Invercargill,6,4,1,3,New Zealand/Aotearoa,Southland,Invercargill City
Massa Johnston,1907,Lock,Dunedin,3,2,0,0,New Zealand/Aotearoa,Otago,Dunedin City
Frank Mitchinson,1907,Centre,Lawrence,11,8,10,32,United States of America,Kansas,Douglas County
Don Cameron,1908,Wing,Waitara,3,2,1,3,New Zealand/Aotearoa,Taranaki,New Plymouth District
Mona Thomson,1908,Wing,Napier,1,1,1,3,New Zealand/Aotearoa,Hawke's Bay,Napier City
Ranji Wilson,1908,Flanker,Christchurch,10,7,2,6,New Zealand/Aotearoa,Canterbury,Christchurch City
Paddy Burns,1908,Centre,Lyttelton,5,2,2,6,New Zealand/Aotearoa,Canterbury,Christchurch City
Doddy Gray,1908,Fly-half,?,3,2,3,9,g,n,i
Donald Hamilton,1908,Wing-forward,Invercargill,1,0,0,0,New Zealand/Aotearoa,Southland,Invercargill City
Peter Murray,1908,Prop,Southern Grove,1,0,0,0,United Kingdom,E3 4PN,England
Sandy Paterson,1908,Lock,Dunedin,5,3,1,3,New Zealand/Aotearoa,Otago,Dunedin City
William Reedy,1908,Prop,Buller,2,1,0,0,United States of America,Louisiana,Jefferson Davis
Circus Hayward,1908,Flanker,Blenheim,1,1,1,3,New Zealand/Aotearoa,Marlborough,Blenheim
Henry Avery,1910,Wing-forward,Wellington,3,2,0,0,New Zealand/Aotearoa,Wellington,Wellington City
William Fuller,1910,Five-eighth,Christchurch,2,1,1,3,New Zealand/Aotearoa,Canterbury,Christchurch City
Gerald McKellar,1910,Flanker,Cromwell,3,2,0,0,United States of America,89109,Nevada
