Opai Asher
Reuben Cooke
Jimmy Duncan
Bernard Fanning
David Gallaher
Mickey Kiernan
Paddy Long
Duncan McGregor
Dick McGregor
Archibald McMinn
George Nicholson
Bubs Tyler
Daniel Udy
Carbine Wallace
Maurice Wood
Angry Cross
Billy Glenn
Eric Harper
Peter Harvey
Paddy McMinn
Bronco Seeling
Billy Stead
Robert Bennet
Jerry Burgess
Ernie Dodd
Bolla Francis
Colin Gilray
Donald Macpherson
Charles Purdue
Pat Purdue
William Smith
John Spencer
Hubert Turtill
Eric Watkins
Edgar Wrigley
Steve Casey
Bill Cunningham
Bob Deans
George Gillett
Francis Glasgow
Jimmy Hunter
Alexander McDonald
James O'Sullivan
Frederick Roberts
George Smith
Simon Mynott
Frederick Newton
Bunny Abbott
Ernest Booth
Bill Mackrell
Ginger Colman
Frank Fryer
Ned Hughes
Massa Johnston
Frank Mitchinson
Don Cameron
Mona Thomson
Ranji Wilson
Paddy Burns
Doddy Gray
Donald Hamilton
Peter Murray
Sandy Paterson
William Reedy
Circus Hayward
Henry Avery
William Fuller
Gerald McKellar
James Maguire
Joe O'Leary
Henry Paton
Alexander Ridland
Jack Stohr
Dave Evans
Billy Mitchell
James Ryan
Harry Atkinson
Jock Cuthill
Norkey Dewar
Doolan Downing
Tiger Lynch
Dougie McGregor
Jock McKenzie
Toby Murray
Dick Roberts
George Sellars
Harry Taylor
Peter Williams
Jim Wylie
James Baird
Buster Barrett
Charles Brown
William Cummings
William Francis
William Geddes
Charles Gillespie
Edward Hasell
John Macky
James McNeece
Augustine Spillane
James Stewart
Reginald Taylor
Eric Cockroft
Alfred Fanning
James Tilyard
Michael Cain
James Graham
Robert Black
John Bruce
Sal Irvine
John O'Brien
Teddy Roberts
George Aitken
Cecil Badeley
Moke Belliss
Jim Donald
Bill Duncan
Richard Fogarty
Nipper Kingstone
Jim Moffitt
Ginger Nicholls
Mark Nicholls
Jock Richardson
John Steel
Percival Storey
Son White
Andrew McLean
Alfred West
Billy Fea
Charles Fletcher
Karl Ifwersen
Stanley Siddells
Maurice Brownlie
Bert Cooke
Les Cupples
Bill Dalley
Quentin Donald
Augustine Hart
Bull Irvine
Frederick Lucas
Read Masters
George Nepia
James Parker
Snowy Svenson
Cyril Brownlie
Neil McGregor
Jimmy Mill
Cliff Porter
Geoff Alley
Syd Carleton
Bunny Finlayson
Bert Grenside
Swin Hadley
William Hazlett
Lancelot Johnson
David Lindsay
Alan Robilliard
George Scrimshaw
Ronald Stewart
William Strang
Tuna Swain
Reuben McWilliams
Herb Lilburne
Ian Harvey
Beau Cottrell
John Geddes
Bill Heke
Lew Hook
Charles Oliver
Keith Reid
Wattie Reside
Fritz Snow
Charles Sonntag
Jack Tuck
Alfred Waterman
Clinton Stringfellow
Alfred Kivell
Bertram Palmer
Rawi Cundy
Tiny Leys
Walter Batty
George Hart
Don Oliver
Edward Steere
Merv Corner
John Hore
Hugh McLean
Kelly Ball
