Opai Asher,1903,Wing,Tauranga,1,1,1,3
Reuben Cooke,1903,Lock,?,1,1,0,0
Jimmy Duncan,1903,Fly-half,Dunedin,1,1,0,0
Bernard Fanning,1903,Lock,Christchurch,2,2,0,0
David Gallaher,1903,Wing-forward,Ramelton,6,5,0,0
Mickey Kiernan,1903,Scrum-half,Wanganui,1,1,0,0
Paddy Long,1903,Lock,Auckland,1,1,0,0
Duncan McGregor,1903,Wing,Kaiapoi,4,3,6,18
Dick McGregor,1903,Fullback,Thames,2,2,1,3
Archibald McMinn,1903,Flanker,Marton,2,2,2,6
George Nicholson,1903,Lock,Auckland,4,3,0,0
Bubs Tyler,1903,Prop,Auckland,7,6,1,5
Daniel Udy,1903,Prop,Greytown,1,1,0,0
Carbine Wallace,1903,Wing,Wellington,11,8,5,53
Maurice Wood,1903,Five-eighth,Waipawa,2,2,0,0
Angry Cross,1904,Lock,Dunedin,2,2,1,3
Billy Glenn,1904,Flanker,Greymouth,2,2,0,0
Eric Harper,1904,Centre,Christchurch,2,2,2,6
Peter Harvey,1904,Scrum-half,S Rakaia,1,1,0,0
Paddy McMinn,1904,Prop,Turkina,1,1,0,0
Bronco Seeling,1904,Flanker,Wanganui,11,9,2,6
Billy Stead,1904,Fly-half,Invercargill,7,7,0,0
Robert Bennet,1905,Centre,Caversham,1,1,0,0
Jerry Burgess,1905,Scrum-half,Invercargill,1,1,0,0
Ernie Dodd,1905,Prop,Wellington,1,1,0,0
Bolla Francis,1905,Lock,Wanganui,10,7,3,16
Colin Gilray,1905,Wing,Broughty Ferry,5,3,1,3
Donald Macpherson,1905,Wing,Waimate,3,2,1,3
Charles Purdue,1905,Flanker,Mataura,1,1,0,0
Pat Purdue,1905,Lock,Dipton,1,1,0,0
William Smith,1905,Fly-half,Wellington,1,1,0,0
John Spencer,1905,Lock,Wellington,2,2,0,0
Hubert Turtill,1905,Fullback,London,1,1,0,0
Eric Watkins,1905,Prop,Akaroa,1,1,0,0
Edgar Wrigley,1905,Five-eighth,Masterton,1,1,1,3
Steve Casey,1905,Prop,Dunedin,8,6,0,0
Bill Cunningham,1905,Lock,Rangiaohia,9,7,1,3
Bob Deans,1905,Centre,Christchurch,5,4,3,9
George Gillett,1905,Wing-forward,Leeston,8,6,1,7
Francis Glasgow,1905,Lock,S Dunedin,6,5,3,9
Jimmy Hunter,1905,Five-eighth,Hawera,11,8,4,12
Alexander McDonald,1905,Flanker,Dunedin,8,7,3,11
James O'Sullivan,1905,Lock,Okaiawa,5,3,0,0
Frederick Roberts,1905,Scrum-half,Wellington,12,9,2,11
George Smith,1905,Wing,Auckland,2,2,2,6
Simon Mynott,1905,Fly-half,Auckland,8,6,0,0
Frederick Newton,1905,Lock,Christchurch,3,2,1,3
Bunny Abbott,1906,Wing,Camerontown,1,1,2,8
Ernest Booth,1906,Fullback,Teschemakers,3,2,0,0
Bill Mackrell,1906,Prop,Milton,1,1,0,0
Ginger Colman,1907,Fullback,Hawera,4,4,0,2
Frank Fryer,1907,Wing,Riccarton,4,2,0,0
Ned Hughes,1907,Prop,Invercargill,6,4,1,3
Massa Johnston,1907,Lock,Dunedin,3,2,0,0
Frank Mitchinson,1907,Centre,Lawrence,11,8,10,32
Don Cameron,1908,Wing,Waitara,3,2,1,3
Mona Thomson,1908,Wing,Napier,1,1,1,3
Ranji Wilson,1908,Flanker,Christchurch,10,7,2,6
Paddy Burns,1908,Centre,Lyttelton,5,2,2,6
Doddy Gray,1908,Fly-half,?,3,2,3,9
Donald Hamilton,1908,Wing-forward,Invercargill,1,0,0,0
Peter Murray,1908,Prop,Southern Grove,1,0,0,0
Sandy Paterson,1908,Lock,Dunedin,5,3,1,3
William Reedy,1908,Prop,Buller,2,1,0,0
Circus Hayward,1908,Flanker,Blenheim,1,1,1,3
Henry Avery,1910,Wing-forward,Wellington,3,2,0,0
William Fuller,1910,Five-eighth,Christchurch,2,1,1,3
Gerald McKellar,1910,Flanker,Cromwell,3,2,0,0
James Maguire,1910,Prop,Auckland,3,2,0,0
Joe O'Leary,1910,Fullback,Masterton,4,3,0,16
Henry Paton,1910,Lock,Dunedin,2,2,1,3
Alexander Ridland,1910,Prop,Invercargill,3,2,0,0
Jack Stohr,1910,Wing,New Plymouth,3,2,2,6
Dave Evans,1910,Lock,Napier,1,0,0,0
Billy Mitchell,1910,Wing,VIC,2,1,1,3
James Ryan,1910,Five-eighth,Masterton,4,3,0,0
Harry Atkinson,1913,Lock,Dunedin,1,1,0,0
Jock Cuthill,1913,Fullback,Inverleithen,2,2,0,0
Norkey Dewar,1913,Flanker,Wellington,2,2,0,0
Doolan Downing,1913,Lock,Napier,5,5,0,0
Tiger Lynch,1913,Wing,Milton,4,4,4,12
Dougie McGregor,1913,Wing,Thames,2,2,1,3
Jock McKenzie,1913,Five-eighth,Lyttelton,4,4,5,15
Toby Murray,1913,Wing-forward,Christchurch,4,4,3,9
Dick Roberts,1913,Centre,Manaia,5,5,7,29
George Sellars,1913,Prop,Auckland,2,2,0,0
Harry Taylor,1913,Wing,Christchurch,5,5,4,12
Peter Williams,1913,Prop,Dunedin,1,1,0,0
Jim Wylie,1913,Lock,Galatea,2,2,1,3
James Baird,1913,Centre,Dunedin,1,1,0,0
Buster Barrett,1913,Flanker,Auckland,2,1,0,0
Charles Brown,1913,Scrum-half,New Plymouth,2,1,1,3
William Cummings,1913,Lock,Timaru,2,1,1,3
William Francis,1913,Prop,New Plymouth,5,4,2,6
William Geddes,1913,Fly-half,Auckland,1,1,0,0
Charles Gillespie,1913,Lock,Masterton,1,1,0,0
Edward Hasell,1913,Prop,Christchurch,2,1,1,3
John Macky,1913,Wing,Auckland,1,1,0,0
James McNeece,1913,Lock,Invercargill,5,4,1,3
Augustine Spillane,1913,Five-eighth,Geraldine,2,1,0,0
James Stewart,1913,Wing,Kaiapoi,2,1,0,0
Reginald Taylor,1913,Wing-forward,Taranak,2,1,1,3
Eric Cockroft,1913,Fullback,Clinton,3,2,0,0
Alfred Fanning,1913,Lock,Linwood,1,0,1,3
James Tilyard,1913,Fly-half,Waratah,1,0,0,0
Michael Cain,1913,Prop,Waitara,4,4,0,0
James Graham,1913,Lock,Dunedin,3,3,0,10
Robert Black,1914,Fly-half,Arrowtown,1,1,0,0
