Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Agnew,Samoa,1924,Centre,2,1,1,0,0,0,,
Aitofele,Samoa,1924,NA,3,1,2,0,0,0,,
T. Allen,Samoa,1924,Fullback,2,1,1,0,0,0,,
Atiga,Samoa,1924,NA,1,0,1,0,0,0,,
C.H. Capper,Samoa,1924,Fullback,1,0,1,0,0,0,,
I. Imo,Samoa,1924,NA,1,0,1,0,0,0,,
Iupati,Samoa,1924,NA,1,0,1,0,0,0,,
A. Macdonald,Samoa,1924,Prop,4,1,3,0,0,0,,
H. Moors,Samoa,1924,Flanker,2,1,1,0,0,0,,
P. Papali'i,Samoa,1924,NA,2,1,1,0,0,0,,
I. Railey,Samoa,1924,Lock,2,1,1,0,6,0,,
E. Sa'aga,Samoa,1924,NA,3,1,2,0,0,0,,
Sinaumea,Samoa,1924,NA,1,0,1,0,0,0,,
Toni,Samoa,1924,Centre,3,1,2,0,0,0,,
Tualai,Samoa,1924,Prop,2,1,1,0,3,1,,
Tagimanu,Samoa,1924,NA,1,1,0,0,0,0,,
Tufele,Samoa,1924,Scrum-half,1,1,0,0,0,0,,
Ah Sue,Samoa,1928,NA,1,0,1,0,0,0,,
Filivaa,Samoa,1928,NA,1,0,1,0,0,0,,
Iese,Samoa,1928,NA,1,0,1,0,0,0,,
Latai,Samoa,1928,NA,1,0,1,0,0,0,,
Lui,Samoa,1928,NA,2,0,2,0,0,0,,
Manulua,Samoa,1928,NA,1,0,1,0,0,0,,
C. Meredith,Samoa,1928,NA,2,0,2,0,5,0,,
Moli,Samoa,1928,NA,1,0,1,0,0,0,,
Pio,Samoa,1928,NA,1,0,1,0,0,0,,
Poutoa,Samoa,1928,NA,1,0,1,0,0,0,,
Siaosi,Samoa,1928,NA,1,0,1,0,0,0,,
Simaile,Samoa,1928,NA,1,0,1,0,3,1,,
Simanu,Samoa,1928,NA,2,0,2,0,0,0,,
Tuvale,Samoa,1928,NA,1,0,1,0,0,0,,
A'ati,Samoa,1932,NA,1,0,1,0,0,0,,
Ah Mu,Samoa,1932,NA,1,0,1,0,0,0,,
Fruean,Samoa,1932,NA,1,0,1,0,0,0,,
Hellesoe,Samoa,1932,NA,1,0,1,0,0,0,,
Mose,Samoa,1932,NA,1,0,1,0,0,0,,
Panapa,Samoa,1932,NA,1,0,1,0,0,0,,
Petelo,Samoa,1932,NA,1,0,1,0,0,0,,
Sefo,Samoa,1932,NA,1,0,1,0,0,0,,
Tamalua,Samoa,1932,NA,1,0,1,0,0,0,,
Visesio,Samoa,1932,NA,1,0,1,0,0,0,,
S. Ah Fook,Samoa,1947,NA,1,1,0,0,0,0,,
K. Ese,Samoa,1947,NA,1,1,0,0,0,0,,
Fa'amaile,Samoa,1947,NA,1,1,0,0,0,0,,
F. Fa'asuaga,Samoa,1947,NA,1,1,0,0,0,0,,
Fatu,Samoa,1947,NA,1,1,0,0,0,0,,
S. Fretton,Samoa,1947,NA,1,1,0,0,0,0,,
S. Iuta,Samoa,1947,NA,1,1,0,0,0,0,,
M. Mata'afa,Samoa,1947,NA,1,1,0,0,0,0,,
O. Meredith,Samoa,1947,NA,1,1,0,0,0,0,,
J. Schaafhausen,Samoa,1947,NA,1,1,0,0,0,0,,
W. Schaafhausen,Samoa,1947,NA,1,1,0,0,0,0,,
A. Teo,Samoa,1947,NA,1,1,0,0,0,0,,
T. Tuisaula,Samoa,1947,NA,1,1,0,0,0,0,,
T. Viliamu,Samoa,1947,NA,1,1,0,0,0,0,,
C. Betham,Samoa,1955,Prop,1,0,1,0,0,0,,
J. Cavanagh,Samoa,1955,No. 8,3,0,3,0,0,0,,
O. Crichton,Samoa,1955,Wing,5,0,5,0,3,1,,
Silipa Fruean,Samoa,1955,Prop,2,0,2,0,0,0,,
Tile Imo,Samoa,1955,Flanker,5,0,5,0,0,0,,
Leavaula Kamu,Samoa,1955,Lock,3,0,3,0,0,0,,
Potu Leavasa,Samoa,1955,Centre,6,0,5,1,0,0,,
Sosene Leavasa,Samoa,1955,Fullback,4,0,3,1,5,0,,
O. Nelson,Samoa,1955,Wing,5,0,5,0,9,2,,
Sione Pala'amo,Samoa,1955,Fly-half,4,0,3,1,0,0,,
Muka Papali'i,Samoa,1955,Hooker,1,0,1,0,0,0,,
P. Paul,Samoa,1955,Lock,3,0,3,0,0,0,,
Pelenato Solia,Samoa,1955,Centre,2,0,2,0,0,0,,
Fetu Teo,Samoa,1955,Flanker,1,0,1,0,0,0,,
S. Wendt,Samoa,1955,Scrum-half,3,0,3,0,0,0,,
F. Ah Long,Samoa,1955,Hooker,1,0,1,0,0,0,,
Sioa Fale,Samoa,1955,No. 8,1,0,1,0,0,0,,
Mose Hewitt,Samoa,1955,Lock,2,0,2,0,3,1,,
Kapisi Toleafoa,Samoa,1955,Prop,2,0,2,0,0,0,,
B. Laban,Samoa,1955,Centre,3,0,3,0,0,0,,
M. Papali'i,Samoa,1955,Hooker,1,0,1,0,0,0,,
L. Eves,Samoa,1957,NA,2,0,2,0,0,0,,
Fa'asalele,Samoa,1957,NA,2,0,2,0,0,0,,
A. Grey,Samoa,1957,NA,2,0,2,0,0,0,,
J. Hunt,Samoa,1957,NA,2,0,2,0,0,0,,
A. Ioane,Samoa,1957,NA,3,0,2,1,0,0,,
Mei Lome,Samoa,1957,Lock,4,0,3,1,0,0,,
P. Matailina,Samoa,1957,NA,3,0,2,1,0,0,,
P. Saili,Samoa,1957,NA,3,0,2,1,0,0,,
L. Savai'inaea,Samoa,1957,NA,2,0,2,0,0,0,,
L. Schaafhausen,Samoa,1957,NA,2,0,2,0,0,0,,
V. Teo,Samoa,1957,NA,2,0,2,0,0,0,,
M. Fepuleai,Samoa,1957,NA,1,0,0,1,0,0,,
S. Kalapu,Samoa,1957,NA,1,0,0,1,0,0,,
M. McFadyen,Samoa,1957,NA,1,0,0,1,0,0,,
F. Nickel,Samoa,1957,NA,1,0,0,1,0,0,,
Nimmo,Samoa,1957,NA,1,0,0,1,0,0,,
P. Swepson,Samoa,1957,NA,1,0,0,1,0,0,,
F. Tuatagaloa,Samoa,1957,NA,1,0,0,1,0,0,,
M. Vili,Samoa,1957,NA,1,0,0,1,0,0,,
Faleata Asi,Samoa,1963,Flanker,2,0,2,0,0,0,,
Fautai Fa'asiu,Samoa,1963,Wing,1,0,1,0,0,0,NA,Svizra
Salele Feagai,Samoa,1963,Prop,2,0,2,0,0,0,,
Hans Kruse,Samoa,1963,Hooker,2,0,2,0,0,0,,
A. Liaina,Samoa,1963,Wing,1,0,1,0,0,0,,
Solomona Liaina,Samoa,1963,Lock,2,0,2,0,3,0,,
Fa'aitu Mailei,Samoa,1963,Prop,2,0,2,0,0,0,,
Jack Meredith,Samoa,1963,Wing,2,0,2,0,3,0,,
Sio Perez,Samoa,1963,Fly-half,2,0,2,0,3,1,,
L. Sagaga,Samoa,1963,Scrum-half,1,0,1,0,0,0,,
Po Siu,Samoa,1963,No. 8,2,0,2,0,0,0,,
V. Stet,Samoa,1963,Lock,1,0,1,0,0,0,,
I. Tualaulelei,Samoa,1963,Centre,2,0,2,0,0,0,,
Keli Tuatagaloa,Samoa,1963,Centre,3,0,3,0,0,0,,
V. Tuatagaloa,Samoa,1963,Fullback,1,0,1,0,0,0,,
Pito Fa'alogo,Samoa,1963,Centre,1,0,1,0,0,0,,
Efu Feagai,Samoa,1963,Prop,1,0,1,0,0,0,,
Fealofima Lima,Samoa,1963,Flanker,1,0,1,0,0,0,,
Ni'o Petaia,Samoa,1963,Fullback,1,0,1,0,0,0,,
H. Ekeroma,Samoa,1972,NA,2,0,2,0,0,0,,
S. Epati,Samoa,1972,NA,1,0,1,0,0,0,,
J. Fruean,Samoa,1972,NA,2,0,2,0,0,0,,
Siro Fuatai,Samoa,1972,NA,1,0,1,0,0,0,,
T. Galuvao,Samoa,1972,NA,1,0,1,0,0,0,,
I. Melei,Samoa,1972,NA,1,0,1,0,0,0,,
P. Momoisea,Samoa,1972,NA,2,0,2,0,0,0,,
T. Palamo,Samoa,1972,NA,1,0,1,0,0,0,,
K. Roberts,Samoa,1972,NA,1,0,1,0,0,0,,
R. Slade,Samoa,1972,NA,1,0,1,0,0,0,,
R. Tiatia,Samoa,1972,NA,1,0,1,0,0,0,,
S. Tilialo,Samoa,1972,NA,1,0,1,0,0,0,,
P. Tu'uau,Samoa,1972,NA,3,0,3,0,0,0,,
F. Vagaia,Samoa,1972,NA,1,0,1,0,0,0,,
F. Vito,Samoa,1972,NA,2,0,2,0,0,0,,
F. Asi,Samoa,1975,NA,1,0,1,0,0,0,,
Jeffe Atoa,Samoa,1975,Centre,2,0,2,0,0,0,,
S. Enari,Samoa,1975,NA,1,0,1,0,0,0,,
Paul Grey,Samoa,1975,Wing,4,0,4,0,0,0,,
T. Iona,Samoa,1975,NA,1,0,1,0,0,0,,
T. Kali,Samoa,1975,NA,1,0,1,0,0,0,,
I. Laga'aia,Samoa,1975,NA,2,0,2,0,0,0,,
Peter Schuster,Samoa,1975,NA,1,0,1,0,0,0,,
