Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
John Arthur,Scotland,1871,Halfback,2.0,1.0,1.0,0.0,NA,0.0,Glasgow,Scotland
William Brown,Scotland,1871,Fullback,5.0,1.0,2.0,2.0,NA,0.0,Glasgow,Scotland
Angus Buchanan,Scotland,1871,Forward,1.0,1.0,0.0,0.0,NA,1.0,Inverary,Canada
Tom Chalmers,Scotland,1871,Fullback,6.0,1.0,3.0,2.0,NA,0.0,Glasgow,Scotland
Alfred Clunies-Ross,Scotland,1871,Fullback,1.0,1.0,0.0,0.0,NA,0.0,Cocos Islands,Australia
Andrew Colville,Scotland,1871,Forward,2.0,1.0,1.0,0.0,NA,0.0,Edinburgh,Scotland
William Cross,Scotland,1871,Halfback,2.0,1.0,1.0,0.0,NA,1.0,Glasgow,Scotland
Daniel Drew,Scotland,1871,Forward,2.0,1.0,1.0,0.0,NA,0.0,Dunoon,Scotland
Jim Finlay,Scotland,1871,Forward,4.0,1.0,2.0,1.0,NA,1.0,Edinburgh,Scotland
William Forsyth,Scotland,1871,Forward,1.0,1.0,0.0,0.0,NA,0.0,Ross,USA
Bulldog Irvine,Scotland,1871,Forward,13.0,5.0,4.0,4.0,NA,1.0,Blair Atholl,Scotland
William Lyall,Scotland,1871,Forward,1.0,1.0,0.0,0.0,NA,0.0,St Cuthbert's,England
John MacFarlane,Scotland,1871,Forward,3.0,1.0,1.0,1.0,NA,0.0,Montego Bay,Jamaica
Thomas Marshall,Scotland,1871,Three-quarters,4.0,1.0,2.0,1.0,NA,0.0,NHumb,
James Mein,Scotland,1871,Forward,5.0,1.0,2.0,2.0,NA,0.0,Jedburgh,Scotland
Francis Moncreiff,Scotland,1871,Forward,3.0,1.0,1.0,1.0,NA,0.0,Midlothian,Scotland
Robert Munro,Scotland,1871,Forward,1.0,1.0,0.0,0.0,NA,0.0,"Dull, Perthshire",Scotland
George Ritchie,Scotland,1871,Forward,1.0,1.0,0.0,0.0,NA,0.0,Edinburgh,Scotland
Alexander Robertson,Scotland,1871,Forward,1.0,1.0,0.0,0.0,NA,0.0,Ayr,Scotland
John Thomson,Scotland,1871,Forward,1.0,1.0,0.0,0.0,NA,0.0,,
John Anderson,Scotland,1872,Forward,1.0,0.0,1.0,0.0,NA,0.0,Edinburgh,Scotland
Leslie Balfour-Melville,Scotland,1872,Fullback,1.0,0.0,1.0,0.0,NA,0.0,Edinburgh,Scotland
Edward Bannerman,Scotland,1872,Forward,2.0,0.0,1.0,1.0,NA,0.0,Aberdeenshire,Scotland
Charles Cathcart,Scotland,1872,Forward,3.0,0.0,2.0,1.0,NA,0.0,Edinburgh,Scotland
James McClure,Scotland,1872,Forward,1.0,0.0,1.0,0.0,NA,0.0,Glasgow,Scotland
Reginald Maitland,Scotland,1872,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,Hants,Canada
William Marshall,Scotland,1872,Forward,1.0,0.0,1.0,0.0,NA,0.0,,
Frederick Maxwell,Scotland,1872,Forward,1.0,0.0,1.0,0.0,NA,0.0,Devonport,Australia
Henry Renny-Tailyour,Scotland,1872,Forward,1.0,0.0,1.0,0.0,NA,0.0,Mussorrie,India
Henry Allan,Scotland,1873,Forward,1.0,0.0,0.0,1.0,NA,0.0,Glasgow,Scotland
Peter Anton,Scotland,1873,Forward,1.0,0.0,0.0,1.0,NA,0.0,Errol,USA
Charles Bryce,Scotland,1873,Forward,2.0,0.0,1.0,1.0,NA,0.0,Glasgow,Scotland
John Davidson,Scotland,1873,Forward,2.0,0.0,1.0,1.0,NA,0.0,Banchory,Scotland
William Grant,Scotland,1873,Halfback,2.0,0.0,1.0,1.0,NA,0.0,Bengal,India
George McClure,Scotland,1873,Three-quarters,1.0,0.0,0.0,1.0,NA,0.0,Glasgow,Scotland
Alexander Petrie,Scotland,1873,Forward,11.0,4.0,3.0,4.0,NA,0.0,Birkenhead,England
James Sanderson,Scotland,1873,Fullback,1.0,0.0,0.0,1.0,NA,0.0,Madras,India
Tom Whittington,Scotland,1873,Forward,1.0,0.0,0.0,1.0,NA,0.0,Neath,Wales
