John Arthur,1871,Halfback,Glasgow,2,1,0,United Kingdom,G,Scotland
William Brown,1871,Fullback,Glasgow,5,1,0,United Kingdom,G,Scotland
Angus Buchanan,1871,Forward,Inverary,1,1,1,Canada,Ontario,Inverary
Tom Chalmers,1871,Fullback,Glasgow,6,1,0,United Kingdom,G,Scotland
Alfred Clunies-Ross,1871,Fullback,Cocos Islands,1,1,0,124,07157,Illes Balears
Andrew Colville,1871,Forward,Edinburgh,2,1,0,United Kingdom,Scotland,City of Edinburgh
William Cross,1871,Halfback,Glasgow,2,1,1,United Kingdom,G,Scotland
Daniel Drew,1871,Forward,Dunoon,2,1,0,United Kingdom,Scotland,Argyll and Bute
Jim Finlay,1871,Forward,Edinburgh,4,1,1,United Kingdom,Scotland,City of Edinburgh
William Forsyth,1871,Forward,Ross,1,1,0,United States of America,Ohio,Ross County
Bulldog Irvine,1871,Forward,Blair Atholl,13,5,1,United Kingdom,Scotland,Perth and Kinross
William Lyall,1871,Forward,St Cuthbert's,1,1,0,United Kingdom,England,North West England
John MacFarlane,1871,Forward,Montego Bay,3,1,0,Jamaica,Cornwall County,Saint James
Thomas Marshall,1871,Three-quarters,NHumb,4,1,0,g,n,i
James Mein,1871,Forward,Jedburgh,5,1,0,United Kingdom,Scotland,Scottish Borders
Francis Moncreiff,1871,Forward,Midlothian,3,1,0,United Kingdom,Scotland,Midlothian
Robert Munro,1871,Forward,?,1,1,0,g,n,i
George Ritchie,1871,Forward,Edinburgh,1,1,0,United Kingdom,Scotland,City of Edinburgh
Alexander Robertson,1871,Forward,Ayr,1,1,0,United Kingdom,Scotland,South Ayrshire
John Thomson,1871,Forward,?,1,1,0,g,n,i
John Anderson,1872,Forward,Edinburgh,1,0,0,United Kingdom,Scotland,City of Edinburgh
Leslie Balfour-Melville,1872,Fullback,Edinburgh,1,0,0,United Kingdom,Scotland,City of Edinburgh
Edward Bannerman,1872,Forward,Aberdeenshire,2,0,0,United Kingdom,Scotland,Aberdeenshire
Charles Cathcart,1872,Forward,Edinburgh,3,0,0,United Kingdom,Scotland,City of Edinburgh
James McClure,1872,Forward,Glasgow,1,0,0,United Kingdom,G,Scotland
Reginald Maitland,1872,Three-quarters,Hants,1,0,0,Canada,Nova Scotia,Hants County
William Marshall,1872,Forward,?,1,0,0,g,n,i
Frederick Maxwell,1872,Forward,Devonport,1,0,0,Australia,7310,Tasmania
Henry Renny-Tailyour,1872,Forward,Mussorrie,1,0,0,g,n,i
Henry Allan,1873,Forward,Glasgow,1,0,0,United Kingdom,G,Scotland
Peter Anton,1873,Forward,Errol,1,0,0,United States of America,New Hampshire,Coös County
Charles Bryce,1873,Forward,Glasgow,2,0,0,United Kingdom,G,Scotland
John Davidson,1873,Forward,Banchory,2,0,0,United Kingdom,Scotland,Aberdeenshire
William Grant,1873,Halfback,Bengal,2,0,0,United States of America,Minnesota,Itasca
George McClure,1873,Three-quarters,Glasgow,1,0,0,United Kingdom,G,Scotland
Alexander Petrie,1873,Forward,Birkenhead,11,4,0,United Kingdom,England,North West England
James Sanderson,1873,Fullback,Madras,1,0,0,India,600001,Tamil Nadu
Tom Whittington,1873,Forward,Neath,1,0,0,United Kingdom,Wales,West Glamorgan
Robert Wilson,1873,Forward,?,2,0,0,g,n,i
Alexander Wood,1873,Forward,Kincardin,3,0,0,Sierra Leone,Western Area,Western Area Urban
Hugh Hamilton,1874,Three-quarters,New South Wales,2,0,0,Australia,New South Wales,Missing
Gilbert Heron,1874,Forward,?,2,0,0,g,n,i
William Kidston,1874,Three-quarters,Glasgow,1,0,0,United Kingdom,G,Scotland
