Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Fred Alexander,SouthAfrica,1891,Forward,2.0,0.0,2.0,0.0,0.0,0.0,Malmesbury,SouthAfrica
Bill Bisset,SouthAfrica,1891,Forward,2.0,0.0,2.0,0.0,0.0,0.0,Cape Town,SouthAfrica
Harry Boyes,SouthAfrica,1891,Wing,2.0,0.0,2.0,0.0,0.0,0.0,Cape Town,SouthAfrica
Herbert Castens,SouthAfrica,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,E Cape,USA
Tiger Devenish,SouthAfrica,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Victoria West,SouthAfrica
Ben Duff,SouthAfrica,1891,Fullback,3.0,0.0,3.0,0.0,0.0,0.0,Swellendam,SouthAfrica
Frank Guthrie,SouthAfrica,1891,Halfback,3.0,0.0,3.0,0.0,0.0,0.0,Notting Hill,England
Frank Hamilton,SouthAfrica,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Cape Town,SouthAfrica
Edward Little,SouthAfrica,1891,Forward,2.0,0.0,2.0,0.0,0.0,0.0,Midlothian,Scotland
Japie Louw,SouthAfrica,1891,Forward,3.0,0.0,3.0,0.0,0.0,0.0,Fisantekraal,SouthAfrica
George Merry,SouthAfrica,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,,
Alf Richards,SouthAfrica,1891,Halfback,3.0,0.0,3.0,0.0,0.0,0.0,Grahamstown,SouthAfrica
Mosey van Buuren,SouthAfrica,1891,Wing,1.0,0.0,1.0,0.0,0.0,0.0,Burgersdorp,SouthAfrica
Oupa Versfeld,SouthAfrica,1891,Forward,3.0,0.0,3.0,0.0,0.0,0.0,Cape Town,SouthAfrica
Chubb Vigne,SouthAfrica,1891,Centre,3.0,0.0,3.0,0.0,0.0,0.0,Fort Beaufort,SouthAfrica
Sas de Kock,SouthAfrica,1891,Wing,1.0,0.0,1.0,0.0,0.0,0.0,Hopetown,SouthAfrica
Fairy Heatlie,SouthAfrica,1891,Forward,7.0,2.0,4.0,1.0,6.0,0.0,Cape Prov,
Jackie Powell,SouthAfrica,1891,Halfback,4.0,0.0,2.0,2.0,0.0,0.0,Cape Town,SouthAfrica
Bob Shand,SouthAfrica,1891,Forward,2.0,0.0,2.0,0.0,0.0,0.0,Tulbagh,SouthAfrica
Toski Smith,SouthAfrica,1891,Forward,3.0,0.0,3.0,0.0,0.0,0.0,Wynberg,SouthAfrica
Dan Smith,SouthAfrica,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Durban,SouthAfrica
Bob Snedden,SouthAfrica,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Kirkgate,England
Wilfred Trenery,SouthAfrica,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Cornwall,England
Charlie Chignell,SouthAfrica,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Devon,England
Jack Hartley,SouthAfrica,1891,Wing,1.0,0.0,1.0,0.0,0.0,0.0,Krugersdorp,SouthAfrica
Jim McKendrick,SouthAfrica,1891,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,Stellenbosch,SouthAfrica
Charlie van Renen,SouthAfrica,1891,Forward,3.0,1.0,2.0,0.0,0.0,0.0,Constantia,România
Hasie Versfeld,SouthAfrica,1891,Wing,1.0,0.0,1.0,0.0,0.0,0.0,Wynberg,SouthAfrica
Biddy Anderson,SouthAfrica,1896,Centre,3.0,1.0,2.0,0.0,0.0,0.0,Kimberley,SouthAfrica
Ferdy Aston,SouthAfrica,1896,Wing,4.0,1.0,3.0,0.0,0.0,0.0,Cheltenham,England
Mike Bredenkamp,SouthAfrica,1896,Forward,2.0,0.0,2.0,0.0,0.0,0.0,Kimberley,SouthAfrica
Frank Douglass,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Grahamstown,SouthAfrica
Corbett Gorton,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Burton Extra,England
Dykie Lyons,SouthAfrica,1896,Fullback,1.0,0.0,1.0,0.0,0.0,0.0,Port Elizabeth,SouthAfrica
PJ Meyer,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,,
Francis Myburgh,SouthAfrica,1896,Halfback,1.0,0.0,1.0,0.0,0.0,0.0,Cape Town,SouthAfrica
Ernest Olver,SouthAfrica,1896,Wing,1.0,0.0,1.0,0.0,0.0,0.0,Cornwall,England
Paul Scott,SouthAfrica,1896,Forward,4.0,1.0,3.0,0.0,0.0,0.0,New Brunswick,Canada
Percy Twentyman-Jones,SouthAfrica,1896,Wing,3.0,1.0,2.0,0.0,3.0,1.0,Cape Col.,USA
Scraps Wessels,SouthAfrica,1896,Forward,3.0,0.0,3.0,0.0,0.0,0.0,Boshof,SouthAfrica
Ben Andrew,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Lancs,England
Allan Beswick,SouthAfrica,1896,Forward,3.0,1.0,2.0,0.0,0.0,0.0,Queenstown,NewZealand
Davie Cope,SouthAfrica,1896,Fullback,1.0,0.0,1.0,0.0,2.0,0.0,Kimberley,SouthAfrica
Jim Crosby,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Cape Town,SouthAfrica
Charles Devenish,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Victoria West,SouthAfrica
George Devenish,SouthAfrica,1896,Halfback,1.0,0.0,1.0,0.0,0.0,0.0,Riversdale District,SouthAfrica
Spanner Forbes,SouthAfrica,1896,Centre,NA,NA,NA,NA,NA,NA,VIC,Australia
Alf Larard,SouthAfrica,1896,Halfback,2.0,1.0,1.0,0.0,3.0,1.0,Kingston-upon-Hull,England
Tom Mellet,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Potchefstroom,SouthAfrica
Theo Samuels,SouthAfrica,1896,Fullback,3.0,1.0,2.0,0.0,6.0,2.0,George,SouthAfrica
Bill Taberer,SouthAfrica,1896,Centre,1.0,0.0,1.0,0.0,0.0,0.0,King William's Town,SouthAfrica
Bill Cotty,SouthAfrica,1896,Halfback,1.0,0.0,1.0,0.0,0.0,0.0,Kimberley,SouthAfrica
Pieter Dormehl,SouthAfrica,1896,Forward,2.0,1.0,1.0,0.0,0.0,0.0,Cape Town,SouthAfrica
Ted Kelly,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,King William's Town,SouthAfrica
Bertie Powell,SouthAfrica,1896,Centre,1.0,0.0,1.0,0.0,0.0,0.0,Kimberley,SouthAfrica
Danie Theunissen,SouthAfrica,1896,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Somerset West,SouthAfrica
Patats Cloete,SouthAfrica,1896,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Cape Town,SouthAfrica
Paul de Waal,SouthAfrica,1896,Forward,1.0,1.0,0.0,0.0,0.0,0.0,nr.Kanonkop,
Tommy Etlinger,SouthAfrica,1896,Halfback,1.0,1.0,0.0,0.0,0.0,0.0,London,England
Tommy Hepburn,SouthAfrica,1896,Centre,1.0,1.0,0.0,0.0,2.0,0.0,Bechuanala,
Herman van Broekhuizen,SouthAfrica,1896,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Netherland,Philippines
Joe Barry,SouthAfrica,1903,Wing,3.0,1.0,0.0,2.0,3.0,1.0,Robertson District,SouthAfrica
Charlie Brown,SouthAfrica,1903,Forward,3.0,1.0,0.0,2.0,0.0,0.0,South-West Africa,Burkina Faso
Uncle Dobbin,SouthAfrica,1903,Halfback,9.0,5.0,1.0,3.0,3.0,1.0,Bethulie,SouthAfrica
Alex Frew,SouthAfrica,1901,Forward,4.0,3.0,0.0,1.0,3.0,1.0,Ayrshire,Scotland
Charlie Jones,SouthAfrica,1903,Fullback,2.0,0.0,0.0,2.0,0.0,0.0,Kimberley,SouthAfrica
Japie Krige,SouthAfrica,1903,Centre,5.0,3.0,1.0,1.0,3.0,1.0,Klein Drakenstein,SouthAfrica
Willie McEwan,SouthAfrica,1894,Forward,18.0,9.0,5.0,4.0,3.0,1.0,Edinburgh,Scotland
Andrew Morkel,SouthAfrica,1903,Wing,1.0,0.0,0.0,1.0,0.0,0.0,Somerset West,SouthAfrica
PO Nel,SouthAfrica,1903,Forward,3.0,1.0,0.0,2.0,0.0,0.0,Natal,SouthAfrica
Birdie Partridge,SouthAfrica,1903,Forward,1.0,0.0,0.0,1.0,0.0,0.0,Llanthewy Skirrid,Wales
Klondyke Raaff,SouthAfrica,1903,Forward,6.0,2.0,1.0,3.0,3.0,1.0,Cape Town,SouthAfrica
Jimmy Sinclair,SouthAfrica,1903,Forward,1.0,0.0,0.0,1.0,0.0,0.0,Cape Col.,USA
Bertie van Renen,SouthAfrica,1903,Fullback,2.0,1.0,0.0,1.0,0.0,0.0,Constantia,România
Syd Ashley,SouthAfrica,1903,Centre,1.0,0.0,0.0,1.0,0.0,0.0,Cape Town,SouthAfrica
George Crampton,SouthAfrica,1903,Forward,1.0,0.0,0.0,1.0,0.0,0.0,Aughrim,Ireland
Clem Currie,SouthAfrica,1903,Forward,1.0,0.0,0.0,1.0,0.0,0.0,Grahamstown,SouthAfrica
Syd de Melker,SouthAfrica,1903,Centre,2.0,0.0,0.0,2.0,0.0,0.0,Kimberley,SouthAfrica
