Fred Alexander,1891,Forward,Malmesbury,2,0,0,0,United Kingdom,SN16 9,England
Bill Bisset,1891,Forward,Cape Town,2,0,0,0,South Africa,Western Cape,City of Cape Town
Harry Boyes,1891,Wing,Cape Town,2,0,0,0,South Africa,Western Cape,City of Cape Town
Herbert Castens,1891,Forward,E Cape,1,0,0,0,United States of America,Alaska,Aleutians West
Tiger Devenish,1891,Forward,Victoria West,1,0,0,0,South Africa,Northern Cape,Pixley ka Seme District Municipality
Ben Duff,1891,Fullback,Swellendam,3,0,0,0,South Africa,Western Cape,Overberg District Municipality
Frank Guthrie,1891,Halfback,Notting Hill,3,0,0,0,United Kingdom,W11,England
Frank Hamilton,1891,Forward,Cape Town,1,0,0,0,South Africa,Western Cape,City of Cape Town
Edward Little,1891,Forward,Midlothian,2,0,0,0,United Kingdom,Scotland,Midlothian
Japie Louw,1891,Forward,Fisantekraal,3,0,0,0,South Africa,Western Cape,Eden District Municipality
George Merry,1891,Forward,1869,1,0,0,0,Svizra,Svizzera,Suisse
Alf Richards,1891,Halfback,Grahamstown,3,0,0,0,South Africa,Eastern Cape,Sarah Baartman District Municipality
Mosey van Buuren,1891,Wing,Burgersdorp,1,0,0,0,South Africa,Eastern Cape,Joe Gqabi District Municipality
Oupa Versfeld,1891,Forward,Cape Town,3,0,0,0,South Africa,Western Cape,City of Cape Town
Chubb Vigne,1891,Centre,Fort Beaufort,3,0,0,0,South Africa,Eastern Cape,Amathole District Municipality
Sas de Kock,1891,Wing,Hopetown,1,0,0,0,South Africa,Northern Cape,Pixley ka Seme District Municipality
Fairy Heatlie,1891,Forward,Cape Prov,7,2,0,6,g,n,i
Jackie Powell,1891,Halfback,Cape Town,4,0,0,0,South Africa,Western Cape,City of Cape Town
Bob Shand,1891,Forward,Tulbagh,2,0,0,0,South Africa,Western Cape,Cape Winelands District Municipality
Toski Smith,1891,Forward,Wynberg,3,0,0,0,South Africa,Western Cape,City of Cape Town
Dan Smith,1891,Forward,Durban,1,0,0,0,South Africa,KwaZulu-Natal,eThekwini Metropolitan Municipality
Bob Snedden,1891,Forward,Kirkgate,1,0,0,0,United Kingdom,LS2 7DY,England
Wilfred Trenery,1891,Forward,Cornwall,1,0,0,0,United Kingdom,England,South West England
Charlie Chignell,1891,Forward,Devon,1,0,0,0,United Kingdom,England,South West England
Jack Hartley,1891,Wing,Krugersdorp,1,0,0,0,South Africa,Gauteng,West Rand District Municipality
Jim McKendrick,1891,Flanker,Stellenbosch,1,0,0,0,South Africa,Western Cape,Cape Winelands District Municipality
Charlie van Renen,1891,Forward,Constantia,3,1,0,0,România,Constanța,Missing
Hasie Versfeld,1891,Wing,Wynberg,1,0,0,0,South Africa,Western Cape,City of Cape Town
Biddy Anderson,1896,Centre,Kimberley,3,1,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Ferdy Aston,1896,Wing,Cheltenham,4,1,0,0,United Kingdom,England,South West England
Mike Bredenkamp,1896,Forward,Kimberley,2,0,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Frank Douglass,1896,Forward,Grahamstown,1,0,0,0,South Africa,Eastern Cape,Sarah Baartman District Municipality
Corbett Gorton,1896,Forward,Burton Extra,1,0,0,0,United Kingdom,ME2 4LP,England
Dykie Lyons,1896,Fullback,Port Elizabeth,1,0,0,0,South Africa,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality
PJ Meyer,1896,Forward,?,1,0,0,0,g,n,i
Francis Myburgh,1896,Halfback,Cape Town,1,0,0,0,South Africa,Western Cape,City of Cape Town
Ernest Olver,1896,Wing,Cornwall,1,0,0,0,United Kingdom,England,South West England
Paul Scott,1896,Forward,New Brunswick,4,1,0,0,Canada,New Brunswick,Missing
Percy Twentyman-Jones,1896,Wing,Cape Col.,3,1,1,3,United States of America,78045,Texas
Scraps Wessels,1896,Forward,Boshof,3,0,0,0,South Africa,Free State,Lejweleputswa District Municipality
Ben Andrew,1896,Forward,Lancs,1,0,0,0,United Kingdom,S6 3TB,England
Allan Beswick,1896,Forward,Queenstown,3,1,0,0,New Zealand/Aotearoa,Otago,Queenstown-Lakes District
Davie Cope,1896,Fullback,Kimberley,1,0,0,2,South Africa,Northern Cape,Frances Baard District Municipality
Jim Crosby,1896,Forward,Cape Town,1,0,0,0,South Africa,Western Cape,City of Cape Town
Charles Devenish,1896,Forward,Victoria West,1,0,0,0,South Africa,Northern Cape,Pixley ka Seme District Municipality
George Devenish,1896,Halfback,Riversdale District,1,0,0,0,South Africa,Western Cape,Eden District Municipality
Spanner Forbes,1896,Centre,Victoria,Australia,Victoria,Missing
Alf Larard,1896,Halfback,Kingston-upon-Hull,2,1,1,3,United Kingdom,England,Yorkshire and the Humber
Tom Mellet,1896,Forward,Potchefstroom,1,0,0,0,South Africa,North West,Dr Kenneth Kaunda District Municipality
Theo Samuels,1896,Fullback,George,3,1,2,6,United States of America,Mississippi,George
Bill Taberer,1896,Centre,King William's Town,1,0,0,0,South Africa,Eastern Cape,Buffalo City Metropolitan Municipality
Bill Cotty,1896,Halfback,Kimberley,1,0,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Pieter Dormehl,1896,Forward,Cape Town,2,1,0,0,South Africa,Western Cape,City of Cape Town
Ted Kelly,1896,Forward,King William's Town,1,0,0,0,South Africa,Eastern Cape,Buffalo City Metropolitan Municipality
Bertie Powell,1896,Centre,Kimberley,1,0,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Danie Theunissen,1896,Forward,Somerset West,1,0,0,0,South Africa,Western Cape,City of Cape Town
Patats Cloete,1896,Forward,Cape Town,1,1,0,0,South Africa,Western Cape,City of Cape Town
Paul de Waal,1896,Forward,nr.Kanonkop,1,1,0,0,g,n,i
Tommy Etlinger,1896,Halfback,London,1,1,0,0,United Kingdom,England,Greater London
Tommy Hepburn,1896,Centre,Bechuanala,1,1,0,2,g,n,i
Herman van Broekhuizen,1896,Forward,Netherland,1,1,0,0,Philippines,4023,Calabarzon
Joe Barry,1903,Wing,Robertson District,3,1,1,3,South Africa,Western Cape,Cape Winelands District Municipality
Charlie Brown,1903,Forward,South-West Africa,3,1,0,0,Burkina Faso,Sud-Ouest,Missing
Uncle Dobbin,1903,Halfback,Bethulie,9,5,1,3,South Africa,Free State,Xhariep District Municipality
Alex Frew,1901,Forward,Ayrshire,4,3,1,3,United Kingdom,Scotland,Ayrshire
Charlie Jones,1903,Fullback,Kimberley,2,0,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Japie Krige,1903,Centre,Klein Drakenstein,5,3,1,3,South Africa,Western Cape,Cape Winelands District Municipality
Willie McEwan,1894,Forward,Edinburgh,18,9,1,3,United Kingdom,Scotland,City of Edinburgh
Andrew Morkel,1903,Wing,Somerset West,1,0,0,0,South Africa,Western Cape,City of Cape Town
PO Nel,1903,Forward,Natal,3,1,0,0,Brasil,Região Nordeste,RN
