Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
O. Faupula,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
Te. Fifita,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
Afu Fifita,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
Sione Finau,Tonga,1924,Flanker,6.0,3.0,2.0,1.0,13.0,1.0,,
Tevita Finau,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
L. Fineanganofo,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
S. Halahingalo,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
S. Halaholo,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
Taniela Haumono,Tonga,1924,Lock,12.0,5.0,6.0,1.0,12.0,2.0,,
T. Havea,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
Peni Katoa,Tonga,1924,NA,3.0,1.0,1.0,1.0,3.0,0.0,,
M. Liongitau,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
E. Mo'ungaloa,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
P. Palavi,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
S. Pifalati,Tonga,1924,NA,2.0,1.0,0.0,1.0,0.0,0.0,,
Sione Selupe,Tonga,1924,Prop,6.0,3.0,2.0,1.0,3.0,1.0,,
Peni Sikalu,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
Sione Simiki,Tonga,1924,No. 8,6.0,3.0,2.0,1.0,3.0,1.0,,
Tevita Tofua,Tonga,1924,Hooker,6.0,3.0,2.0,1.0,0.0,0.0,,
Na'a Tovo,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
Aisea Tupou,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
S. Vaka'uta,Tonga,1924,NA,3.0,1.0,1.0,1.0,0.0,0.0,,
Sione Kuila,Tonga,1924,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Peni 'Ake,Tonga,1926,Prop,3.0,2.0,1.0,0.0,0.0,0.0,,
J. Fakalolo,Tonga,1926,Lock,3.0,2.0,1.0,0.0,0.0,0.0,,
J. Fukofuka,Tonga,1926,Wing,4.0,3.0,1.0,0.0,0.0,0.0,,
Aminiasi Kefu,Tonga,1926,Wing,5.0,3.0,2.0,0.0,3.0,1.0,,
Moahegi Latunipulu,Tonga,1926,Prop,3.0,2.0,1.0,0.0,0.0,0.0,,
Amone Lino,Tonga,1926,Fullback,3.0,2.0,1.0,0.0,0.0,0.0,,
Sione Misa,Tonga,1926,Fly-half,3.0,2.0,1.0,0.0,3.0,1.0,,
Tevita Sitanilei,Tonga,1926,Scrum-half,7.0,4.0,3.0,0.0,0.0,0.0,,
Viliami Taufatofua,Tonga,1926,No. 8,3.0,2.0,1.0,0.0,0.0,0.0,,
Simione Tufui,Tonga,1926,Wing,12.0,5.0,7.0,0.0,6.0,2.0,,
Esei Tu'ipolotu,Tonga,1926,Centre,5.0,3.0,2.0,0.0,0.0,0.0,,
S. Akau'ola,Tonga,1928,NA,2.0,1.0,1.0,0.0,0.0,0.0,,
Samiuela Fonua,Tonga,1928,Prop,3.0,2.0,1.0,0.0,0.0,0.0,,
Tevita Fuataimi,Tonga,1928,No. 8,6.0,2.0,4.0,0.0,6.0,2.0,,
Fa'aitu Hafoka,Tonga,1928,No. 8,5.0,1.0,4.0,0.0,0.0,0.0,,
Isitolo Hafoka,Tonga,1928,Fly-half,8.0,2.0,6.0,0.0,11.0,0.0,,
L. Kainga,Tonga,1928,Hooker,3.0,2.0,1.0,0.0,0.0,0.0,,
T. Langi,Tonga,1928,NA,1.0,1.0,0.0,0.0,0.0,0.0,,
Sione Leba,Tonga,1928,Hooker,5.0,1.0,4.0,0.0,0.0,0.0,,
F. Mailangi,Tonga,1928,NA,2.0,1.0,1.0,0.0,0.0,0.0,,
S. Mateaki,Tonga,1928,NA,2.0,1.0,1.0,0.0,0.0,0.0,,
Suli Moa,Tonga,1928,Centre,2.0,2.0,0.0,0.0,0.0,0.0,,
Osaisai Pepa Koloamatangii,Tonga,1928,Flanker,3.0,2.0,1.0,0.0,3.0,1.0,,
