Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
A.E. Allen,USA,1912,1,0,1,0,0,0,,
J. Arrell,USA,1912,1,0,1,0,0,0,,
Charlie Austin,USA,1912,2,0,2,0,0,0,,
Ben Erb,USA,1912,1,0,1,0,5,0,,
Deke Gard,USA,1912,2,0,2,0,0,0,United States,USA
P.R. Harrigan,USA,1912,1,0,1,0,3,1,,
W.N. King,USA,1912,2,0,2,0,0,0,,
J.L. McKim,USA,1912,2,0,2,0,0,0,,
E. Momson,USA,1912,1,0,1,0,0,0,,
L.M. Morris,USA,1912,1,0,1,0,0,0,,
R.M. Noble,USA,1912,1,0,1,0,0,0,,
S.B. Peart,USA,1912,2,0,2,0,3,0,,
A.M. Sanborn,USA,1912,1,0,1,0,0,0,,
K.L. Schaupp,USA,1912,1,0,1,0,0,0,,
W.L. Smith,USA,1912,1,0,1,0,0,0,,
R.R. Blase,USA,1913,1,0,1,0,0,0,,
Danny Carroll,USA,1908,5,2,3,0,3,1,VIC,Australia
Louis Cass,USA,1913,1,0,1,0,0,0,,
W.P. Darsie,USA,1913,1,0,1,0,0,0,,
G. Glasscock,USA,1913,1,0,1,0,0,0,,
E.B. Hall,USA,1913,1,0,1,0,0,0,,
Mow Mitchell,USA,1913,1,0,1,0,0,0,,
J.A. Ramage,USA,1913,1,0,1,0,0,0,,
J.C. Urban,USA,1913,1,0,1,0,0,0,,
G. Voight,USA,1913,1,0,1,0,0,0,,
A. Knowles,USA,1913,1,0,1,0,0,0,,
H.R. Stolz,USA,1913,1,0,1,0,0,0,,
Charlie Doe,USA,1920,4,3,1,0,15,0,United States,USA
George Fish,USA,1920,1,1,0,0,0,0,United States,USA
Jim Fitzpatrick,USA,1920,2,1,1,0,0,0,United States,USA
Lou Hunter,USA,1920,1,1,0,0,3,1,United States,USA
Morris Kirksey,USA,1920,1,1,0,0,0,0,United States,USA
Charles Mehan,USA,1920,2,1,1,0,0,0,,
John Muldoon,USA,1920,2,1,1,0,0,0,United States,USA
John O'Neil,USA,1920,4,3,1,0,0,0,United States,USA
Jack Patrick,USA,1920,3,3,0,0,12,4,United States,USA
Cornelius Righter,USA,1920,1,1,0,0,0,0,United States,USA
Rudy Scholz,USA,1920,4,3,1,0,0,0,United States,USA
Dink Templeton,USA,1920,1,1,0,0,5,0,United States,USA
Charles Tilden,USA,1920,2,1,1,0,0,0,United States,USA
Heaton Wrenn,USA,1920,2,1,1,0,0,0,United States,USA
G.W. Davis,USA,1920,1,0,1,0,2,0,,
Colby Slater,USA,1920,2,1,1,0,0,0,United States,USA
Vidal,USA,1920,1,0,1,0,0,0,,
H. von Schmidt,USA,1920,1,0,1,0,3,1,,
D. Wallace,USA,1920,1,0,1,0,0,0,,
J. Winston,USA,1920,1,0,1,0,0,0,,
Phil Clark,USA,1924,1,1,0,0,0,0,United States,USA
Norman Cleaveland,USA,1924,2,2,0,0,3,1,United States,USA
Bob Devereaux,USA,1924,2,2,0,0,0,0,United States,USA
George Dixon,USA,1924,2,2,0,0,0,0,United States,USA
Ed Graff,USA,1924,2,2,0,0,0,0,United States,USA
Dick Hyland,USA,1924,2,2,0,0,12,4,United States,USA
Caesar Mannelli,USA,1924,2,2,0,0,3,1,Forli,Italia
Norm Slater,USA,1924,1,1,0,0,0,0,United States,USA
Ed Turkington,USA,1924,1,1,0,0,0,0,United States,USA
Alan Valentine,USA,1924,2,2,0,0,0,0,United States,USA
Alan Williams,USA,1924,1,1,0,0,0,0,United States,USA
Dudley de Groot,USA,1924,1,1,0,0,0,0,United States,USA
Linn Farrish,USA,1924,1,1,0,0,6,2,United States,USA
William Rogers,USA,1924,1,1,0,0,3,1,United States,USA
Steve Auerbach,USA,1976,1,0,1,0,0,0,,
Robbie Bordley,USA,1976,5,1,4,0,0,0,,
Gary Brackett,USA,1976,3,0,3,0,0,0,,
Del Chipman,USA,1976,2,1,1,0,0,0,,
Fred Khasigian,USA,1976,1,0,1,0,0,0,,
Tom Klein,USA,1976,3,1,2,0,4,1,,
Skip Niebauer,USA,1976,9,0,8,1,0,0,,
Mickey Ording,USA,1976,4,1,3,0,0,0,,
Kip Oxman,USA,1976,1,0,1,0,12,0,,
Greg Schneeweis,USA,1976,2,0,2,0,0,0,United States,USA
Tom Selfridge,USA,1976,5,0,5,0,0,0,,
David Stephenson,USA,1976,3,0,3,0,0,0,,
