A.E. Allen,1912,Centre,1,0,1,0,0,0,date unknown,g,n,i,s
J. Arrell,1912,Prop,1,0,1,0,0,0,date unknown,g,n,i,s
Charlie Austin,1912,Centre,2,0,2,0,0,0,date unknown,g,n,i,s
Ben Erb,1912,Fullback,1,0,1,0,0,5,date unknown,g,n,i,s
Deke Gard,1912,Flanker,2,0,2,0,0,0,United States,United States of America,Missing,Missing,Missing
P.R. Harrigan,1912,,1,0,1,0,1,3,date unknown,g,n,i,s
W.N. King,1912,No. 8,2,0,2,0,0,0,date unknown,g,n,i,s
J.L. McKim,1912,Prop,2,0,2,0,0,0,date unknown,g,n,i,s
E. Momson,1912,No. 8,1,0,1,0,0,0,date unknown,g,n,i,s
L.M. Morris,1912,Scrum-half,1,0,1,0,0,0,date unknown,g,n,i,s
R.M. Noble,1912,Wing,1,0,1,0,0,0,date unknown,g,n,i,s
S.B. Peart,1912,Wing,2,0,2,0,0,3,date unknown,g,n,i,s
A.M. Sanborn,1912,Hooker,1,0,1,0,0,0,date unknown,g,n,i,s
K.L. Schaupp,1912,Lock,1,0,1,0,0,0,date unknown,g,n,i,s
W.L. Smith,1912,Lock,1,0,1,0,0,0,date unknown,g,n,i,s
R.R. Blase,1913,Lock,1,0,1,0,0,0,date unknown,g,n,i,s
Danny Carroll,1908,"Fly-half, Centre",5,2,3,0,1,3,VIC,Australia,Victoria,Missing,Missing
Louis Cass,1913,Scrum-half,1,0,1,0,0,0,date unknown,g,n,i,s
W.P. Darsie,1913,Flanker,1,0,1,0,0,0,date unknown,g,n,i,s
G. Glasscock,1913,Prop,1,0,1,0,0,0,date unknown,g,n,i,s
E.B. Hall,1913,Hooker,1,0,1,0,0,0,date unknown,g,n,i,s
Mow Mitchell,1913,Fly-half,1,0,1,0,0,0,date unknown,g,n,i,s
J.A. Ramage,1913,Fullback,1,0,1,0,0,0,date unknown,g,n,i,s
J.C. Urban,1913,Wing,1,0,1,0,0,0,date unknown,g,n,i,s
G. Voight,1913,Lock,1,0,1,0,0,0,date unknown,g,n,i,s
A. Knowles,1913,,1,0,1,0,0,0,date unknown,g,n,i,s
H.R. Stolz,1913,,1,0,1,0,0,0,date unknown,g,n,i,s
Charlie Doe,1920,Scrum-half,4,3,1,0,0,15,United States,United States of America,Missing,Missing,Missing
George Fish,1920,,1,1,0,0,0,0,United States,United States of America,Missing,Missing,Missing
Jim Fitzpatrick,1920,Centre,2,1,1,0,0,0,United States,United States of America,Missing,Missing,Missing
Lou Hunter,1920,,1,1,0,0,1,3,United States,United States of America,Missing,Missing,Missing
Morris Kirksey,1920,,1,1,0,0,0,0,United States,United States of America,Missing,Missing,Missing
Charles Mehan,1920,Front-row,2,1,1,0,0,0,1896,Россия,СКФО,Карачаево-Черкесия,Зеленчукский район
