Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Jim Bevan,Wales,1881,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,VIC,Australia
Godfrey Darbishire,Wales,1881,Forward,1.0,0.0,1.0,0.0,NA,0.0,Lancs,England
Barry Girling,Wales,1881,Forward,1.0,0.0,1.0,0.0,NA,0.0,Bristol,England
George Harding,Wales,1881,Forward,4.0,1.0,3.0,0.0,NA,0.0,Lancs,England
Edward Lewis,Wales,1881,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Llandovery,Wales
Bathurst Mann,Wales,1881,Forward,1.0,0.0,1.0,0.0,NA,0.0,The Curragh,Ireland
Charlie Newman,Wales,1881,Halfback,10.0,1.0,7.0,2.0,NA,0.0,Newport,Wales
Edward Peake,Wales,1881,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,Monmouth,Wales
William Phillips,Wales,1881,Forward,5.0,2.0,3.0,0.0,NA,0.0,Cardiff,Wales
Frank Purdon,Wales,1881,Forward,4.0,1.0,3.0,0.0,NA,0.0,Co Westmeath,Ireland
Aneurin Rees,Wales,1881,Forward,1.0,0.0,1.0,0.0,NA,0.0,Llandovery,Wales
Richard Summers,Wales,1881,Fullback,1.0,0.0,1.0,0.0,NA,0.0,Haverfordwest,Wales
Edward Treharne,Wales,1881,Forward,2.0,0.0,2.0,0.0,NA,0.0,Ystradyfodwg,Wales
Leonard Watkins,Wales,1881,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Abergavenny,Wales
Richard Williams,Wales,1881,Forward,1.0,0.0,1.0,0.0,NA,0.0,Llowes,Wales
Thomas Baker-Jones,Wales,1882,Forward,6.0,1.0,4.0,1.0,NA,1.0,Newport,Wales
Ronald Bridie,Wales,1882,Halfback,1.0,1.0,0.0,0.0,NA,1.0,Cape of Good Hope,SouthAfrica
Tom Clapp,Wales,1882,Forward,14.0,4.0,8.0,2.0,NA,2.0,Marylebon,
Samuel Clark,Wales,1882,Fullback,2.0,2.0,0.0,0.0,NA,0.0,Weymouth,England
Bill Evans,Wales,1882,Three-quarters,2.0,1.0,1.0,0.0,NA,1.0,Rhymney,Wales
Bob Gould,Wales,1882,Forward,11.0,2.0,7.0,2.0,NA,0.0,Newport,Wales
Charles Lewis,Wales,1882,Fullback,5.0,1.0,4.0,0.0,NA,0.0,Llangadog,Wales
George Morris,Wales,1882,Forward,5.0,1.0,4.0,0.0,NA,0.0,Swansea,Wales
William Norton,Wales,1882,Three-quarters,6.0,2.0,4.0,0.0,NA,1.0,Carmarthen,Wales
Hugh Vincent,Wales,1882,Forward,1.0,1.0,0.0,0.0,NA,0.0,Caernarfon,Wales
Tom Williams,Wales,1882,Forward,1.0,1.0,0.0,0.0,NA,0.0,Llwynypia,Wales
Harry Bowen,Wales,1882,Fullback,4.0,0.0,3.0,1.0,NA,0.0,Llanelly,Australia
Alfred Cattell,Wales,1882,Forward,2.0,0.0,2.0,0.0,NA,0.0,Rutland,England
James Clare,Wales,1882,Three-quarters,1.0,0.0,1.0,0.0,NA,0.0,London,England
Dai Gwyn,Wales,1882,Centre,6.0,1.0,4.0,1.0,0.0,0.0,Swansea,Wales
Thomas Judson,Wales,1882,Forward,2.0,0.0,2.0,0.0,NA,1.0,Lancs,England
John Griffin,Wales,1883,Forward,1.0,0.0,1.0,0.0,NA,0.0,Southampton,England
Arthur Jones,Wales,1883,Forward,1.0,0.0,1.0,0.0,NA,0.0,Risca,Wales
Horace Lyne,Wales,1883,Forward,5.0,1.0,4.0,0.0,NA,0.0,Newport,Wales
Charles Allen,Wales,1884,Three-quarters,2.0,0.0,2.0,0.0,NA,1.0,Lancashire,England
Frederick Andrews,Wales,1884,Forward,2.0,0.0,2.0,0.0,NA,0.0,Swansea,Wales
William Gwynn,Wales,1884,Halfback,5.0,1.0,3.0,1.0,NA,0.0,Swansea,Wales
Frederick Margrave,Wales,1884,Forward,2.0,0.0,2.0,0.0,NA,0.0,Llanelly,Australia
Joe Simpson,Wales,1884,Forward,3.0,1.0,2.0,0.0,NA,0.0,Sedgefield,England
John Smith,Wales,1884,Forward,3.0,1.0,2.0,0.0,NA,0.0,Manchester,England
Charles Taylor,Wales,1884,Three-quarters,9.0,2.0,5.0,2.0,NA,0.0,Ruabon,Wales
Tom Barlow,Wales,1884,Fullback,1.0,1.0,0.0,0.0,NA,0.0,Lancs,England
Samuel Goldsworthy,Wales,1884,Forward,3.0,1.0,1.0,1.0,NA,0.0,Swansea,Wales
Frank Hancock,Wales,1884,Three-quarters,4.0,1.0,2.0,1.0,NA,0.0,Wiveliscombe,England
John Hinton,Wales,1884,Forward,1.0,1.0,0.0,0.0,NA,0.0,Bombay,India
Buckley Roderick,Wales,1884,Forward,1.0,1.0,0.0,0.0,NA,0.0,Llanelly,Australia
Buller Stadden,Wales,1884,Halfback,8.0,5.0,3.0,0.0,1.0,2.0,Somerset,England
Arthur Gould,Wales,1885,Centre,27.0,10.0,14.0,3.0,12.0,4.0,Newport,Wales
Martyn Jordan,Wales,1885,Three-quarters,3.0,0.0,2.0,1.0,NA,2.0,Clifton,England
Evan Richards,Wales,1885,Forward,2.0,0.0,2.0,0.0,NA,0.0,Swansea,Wales
Ernest Rowland,Wales,1885,Forward,1.0,0.0,1.0,0.0,NA,0.0,Neath,Wales
Lewis Thomas,Wales,1885,Forward,2.0,0.0,1.0,1.0,NA,0.0,Merthyr Tydfil,Wales
Edward Alexander,Wales,1885,Forward,5.0,1.0,2.0,2.0,NA,0.0,Monknash,Wales
Frank Hill,Wales,1885,Forward,15.0,6.0,7.0,2.0,0.0,0.0,Cardiff,Wales
D. Morgan,Wales,1885,Forward,7.0,1.0,4.0,2.0,NA,1.0,,
Willie Thomas,Wales,1885,Forward,11.0,3.0,5.0,3.0,0.0,0.0,Fishguard,Wales
William Bowen,Wales,1886,Forward,13.0,3.0,8.0,2.0,0.0,0.0,Pembroke,Wales
Billy Douglas,Wales,1886,Three-quarters,4.0,0.0,3.0,1.0,NA,0.0,Barry,Wales
Dai Lewis,Wales,1886,Forward,2.0,0.0,2.0,0.0,NA,0.0,Radyr,Fiji
Evan Roberts,Wales,1886,Forward,2.0,1.0,1.0,0.0,NA,0.0,Llanelly,Australia
George Young,Wales,1886,Forward,2.0,0.0,2.0,0.0,NA,0.0,Tynemouth,England
Alfred Mathews,Wales,1886,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Rhymney,Wales
Alec Bland,Wales,1887,Forward,9.0,4.0,3.0,2.0,0.0,0.0,Haverfordwest,Wales
Jem Evans,Wales,1887,Halfback,4.0,1.0,2.0,1.0,NA,0.0,Cardiff,Wales
Albert Hybart,Wales,1887,Forward,1.0,0.0,0.0,1.0,NA,0.0,Cardiff,Wales
Thomas Lockwood,Wales,1887,Forward,3.0,1.0,1.0,1.0,NA,0.0,Great Boughton,England
George Bowen,Wales,1887,Three-quarters,4.0,2.0,2.0,0.0,NA,0.0,Morriston,Wales
Hugh Hughes,Wales,1887,Fullback,2.0,0.0,2.0,0.0,NA,0.0,Towyn,Wales
William Williams,Wales,1887,Forward,5.0,2.0,3.0,0.0,0.0,0.0,,
Johnny Lewis,Wales,1887,Halfback,1.0,1.0,0.0,0.0,NA,0.0,Llanelly,Australia
William Towers,Wales,1887,Forward,2.0,2.0,0.0,0.0,NA,1.0,Hartlepool,England
William Howell,Wales,1888,Forward,2.0,1.0,1.0,0.0,NA,0.0,Swansea,Wales
Price Jenkins-Price,Wales,1888,Three-quarters,2.0,1.0,1.0,0.0,NA,1.0,Carmarthen,Wales
Dick Kedzlie,Wales,1888,Forward,2.0,1.0,1.0,0.0,NA,0.0,Glasgow,Scotland
John Meredith,Wales,1888,Forward,4.0,2.0,2.0,0.0,0.0,0.0,Morriston,Wales
Dick Powell,Wales,1888,Forward,2.0,1.0,1.0,0.0,NA,0.0,Monmouth,Wales
Ned Roberts,Wales,1888,Fullback,3.0,1.0,2.0,0.0,NA,0.0,Llanelly,Australia
T. Williams,Wales,1888,Forward,2.0,1.0,1.0,0.0,NA,0.0,,
Charlie Arthur,Wales,1888,Centre,3.0,1.0,2.0,0.0,0.0,0.0,King's Lynn,England
Charlie Thomas,Wales,1888,Halfback,9.0,3.0,5.0,1.0,1.0,1.0,Newport,Wales
Norman Biggs,Wales,1888,Wing,8.0,4.0,4.0,0.0,4.0,2.0,Cardiff,Wales
Dickie Garrett,Wales,1888,Centre,8.0,3.0,4.0,1.0,0.0,0.0,Cardiff,Wales
Dan Griffiths,Wales,1888,Forward,2.0,1.0,1.0,0.0,NA,0.0,Cwmduad,
Jim Hannan,Wales,1888,Forward,19.0,7.0,11.0,1.0,2.0,2.0,Newport,Wales
Charles Harding,Wales,1888,Forward,3.0,1.0,2.0,0.0,NA,0.0,Lancs,England
Syd Nicholls,Wales,1888,Forward,4.0,1.0,3.0,0.0,0.0,0.0,Hartpury,England
George Thomas,Wales,1888,Wing,3.0,1.0,1.0,1.0,0.0,1.0,,
Jim Webb,Wales,1888,Fullback,2.0,1.0,1.0,0.0,NA,0.0,Broughton Gifford,England
Teddy Bishop,Wales,1889,Centre,1.0,0.0,1.0,0.0,NA,0.0,Swansea,Wales
David Evans,Wales,1889,Forward,5.0,1.0,3.0,1.0,0.0,0.0,Dowlais,Wales
Rosser Evans,Wales,1889,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Aberdare,Wales
Rowley Thomas,Wales,1889,Forward,7.0,1.0,5.0,1.0,0.0,0.0,Henllan Amgoed,Wales
Abel Davies,Wales,1889,Wing,1.0,0.0,1.0,0.0,NA,0.0,Llandyssul,Wales
Giotto Griffiths,Wales,1889,Halfback,1.0,0.0,1.0,0.0,NA,0.0,Llanelly,Australia
Tom Morgan,Wales,1889,Centre,1.0,0.0,1.0,0.0,NA,0.0,Llannon,Wales
Billy Bancroft,Wales,1890,Fullback,33.0,16.0,16.0,1.0,60.0,0.0,Swansea,Wales
Evan James,Wales,1890,Halfback,5.0,2.0,3.0,0.0,0.0,0.0,Llansamlet,Wales
Percy Lloyd,Wales,1890,Wing,4.0,2.0,2.0,0.0,0.0,0.0,Ammanford,Wales
Walter Rice-Evans,Wales,1890,Forward,3.0,0.0,3.0,0.0,0.0,0.0,Neath,Wales
Stephen Thomas,Wales,1890,Forward,3.0,2.0,1.0,0.0,0.0,0.0,Kidwelly,Wales
Thomas Graham,Wales,1890,Forward,12.0,5.0,6.0,1.0,3.0,1.0,Newcastle-upon-Tyne,England
Hugh Ingledew,Wales,1890,Halfback,3.0,0.0,2.0,1.0,0.0,0.0,Cardiff,Wales
Percy Bennett,Wales,1891,Forward,4.0,0.0,4.0,0.0,0.0,0.0,Cornwall,England
Harry Packer,Wales,1891,Forward,7.0,3.0,4.0,0.0,0.0,0.0,Chipping Norton,England
Tom Pearson,Wales,1891,Wing,13.0,6.0,7.0,0.0,10.0,4.0,Bombay,India
Edward Pegge,Wales,1891,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Briton Ferry,Wales
David Daniel,Wales,1891,Forward,8.0,3.0,5.0,0.0,0.0,0.0,Llanelly,Australia
Billy McCutcheon,Wales,1891,Wing,7.0,3.0,4.0,0.0,2.0,1.0,Swansea,Wales
Ralph Sweet-Escott,Wales,1891,Halfback,3.0,1.0,2.0,0.0,0.0,0.0,Staffs,Kenya
Tom Deacon,Wales,1891,Forward,4.0,1.0,3.0,0.0,0.0,0.0,Swansea,Wales
David James,Wales,1891,Halfback,4.0,2.0,2.0,0.0,0.0,0.0,Swansea,Wales
Boomer Nicholl,Wales,1891,Forward,15.0,7.0,8.0,0.0,0.0,0.0,Llanegwad,Wales
David Samuel,Wales,1891,Forward,2.0,2.0,0.0,0.0,1.0,1.0,Swansea,Wales
John Samuel,Wales,1891,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Swansea,Wales
Arthur Boucher,Wales,1892,Forward,13.0,5.0,8.0,0.0,3.0,1.0,Salop,England
Frank Mills,Wales,1892,Forward,13.0,5.0,8.0,0.0,0.0,0.0,Mountain Ash,Wales
Percy Phillips,Wales,1892,Fly-half,6.0,4.0,2.0,0.0,0.0,0.0,Machen,Wales
George Rowles,Wales,1892,Halfback,1.0,0.0,1.0,0.0,0.0,0.0,Pontypool,Wales
Wallace Watts,Wales,1892,Forward,12.0,5.0,7.0,0.0,0.0,0.0,Chipping Sodbury,England
Conway Rees,Wales,1892,Centre,3.0,1.0,2.0,0.0,0.0,0.0,Llandovery,Wales
Harry Day,Wales,1892,Forward,5.0,3.0,2.0,0.0,0.0,0.0,Newport,Wales
Bert Gould,Wales,1892,Centre,3.0,2.0,1.0,0.0,4.0,2.0,Newport,Wales
Frederick Nicholls,Wales,1892,Wing,1.0,0.0,1.0,0.0,0.0,0.0,Paddington,England
Fred Parfitt,Wales,1893,Scrum-half,9.0,5.0,4.0,0.0,3.0,1.0,Pontnewydd,Wales
Dai Fitzgerald,Wales,1894,Centre,2.0,1.0,1.0,0.0,7.0,1.0,Cardiff,Wales
Willie Thomas,Wales,1894,Wing,3.0,2.0,1.0,0.0,0.0,0.0,Brecknock,England
Jack Elliot,Wales,1894,Scrum-half,3.0,1.0,2.0,0.0,0.0,0.0,S Shields,England
Fred Hutchinson,Wales,1894,Forward,3.0,1.0,2.0,0.0,0.0,0.0,Maesteg,Wales
David Nicholl,Wales,1894,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Llanegwad,Wales
Owen Badger,Wales,1895,Centre,4.0,1.0,3.0,0.0,0.0,0.0,Llanelly,Australia
Selwyn Biggs,Wales,1895,Fly-half,9.0,4.0,5.0,0.0,0.0,0.0,Cardiff,Wales
Ben Davies,Wales,1895,Halfback,2.0,0.0,2.0,0.0,0.0,0.0,Llanelly,Australia
William Elsey,Wales,1895,Forward,1.0,0.0,1.0,0.0,3.0,1.0,Lambeth,England
Tom Jackson,Wales,1895,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Swansea,Wales
Ernie George,Wales,1895,Forward,3.0,1.0,2.0,0.0,0.0,0.0,Llantwit Major,Wales
Evan Lloyd,Wales,1895,Wing,1.0,0.0,1.0,0.0,0.0,0.0,Llanelly,Australia
Tom Pook,Wales,1895,Forward,1.0,0.0,1.0,0.0,0.0,0.0,Plymouth,England
Albert Jenkin,Wales,1895,Forward,2.0,1.0,1.0,0.0,0.0,0.0,Hants,Canada
Dai Morgan,Wales,1895,Fly-half,2.0,1.0,1.0,0.0,0.0,0.0,Llanelly,Australia
Cliff Bowen,Wales,1896,Wing,4.0,2.0,2.0,0.0,3.0,1.0,Morriston,Wales
Bert Dauncey,Wales,1896,Wing,3.0,1.0,2.0,0.0,0.0,0.0,Pontypool,Wales
Sam Ramsay,Wales,1896,Forward,2.0,0.0,1.0,1.0,0.0,0.0,Cumbernauld,England
William Cope,Wales,1896,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Roath,Wales
Barry Davies,Wales,1896,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Cardiff,Wales
David Evans,Wales,1896,Forward,4.0,2.0,2.0,0.0,0.0,0.0,Maenclochog,Wales
Jack Evans,Wales,1896,Forward,3.0,2.0,1.0,0.0,0.0,0.0,Ammanford,Wales
Bill Morris,Wales,1896,Forward,3.0,2.0,1.0,0.0,0.0,0.0,Llanelly,Australia
Gwyn Nicholls,Wales,1896,Centre,28.0,19.0,8.0,1.0,19.0,5.0,Westbury-on-Severn,England
Llewellyn Lloyd,Wales,1896,Fly-half,12.0,7.0,5.0,0.0,9.0,3.0,Newport,Wales
Fred Miller,Wales,1896,Forward,7.0,5.0,2.0,0.0,0.0,0.0,Derby,England
Fred Cornish,Wales,1897,Forward,4.0,2.0,2.0,0.0,0.0,0.0,Somerse,England
Dick Hellings,Wales,1897,Forward,9.0,5.0,4.0,0.0,3.0,1.0,Tiverton,England
Dan Jones,Wales,1897,Halfback,1.0,1.0,0.0,0.0,3.0,1.0,Taibach,Wales
Jack Rapps,Wales,1897,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Llantrisant,Wales
Billy Alexander,Wales,1898,Forward,7.0,3.0,4.0,0.0,6.0,2.0,Glynneath,Wales
Joe Booth,Wales,1898,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Blaenavon,Wales
George Boots,Wales,1898,Forward,16.0,11.0,4.0,1.0,3.0,1.0,Aberbeeg,Wales
Hopkin Davies,Wales,1898,Lock,4.0,2.0,2.0,0.0,0.0,0.0,Clydach,Wales
Tom Dobson,Wales,1898,Forward,4.0,2.0,2.0,0.0,3.0,1.0,Caithness,Scotland
Viv Huzzey,Wales,1898,Wing,5.0,2.0,3.0,0.0,16.0,4.0,Varteg Hill,Wales
Pussy Jones,Wales,1898,Centre,2.0,1.0,1.0,0.0,0.0,0.0,,
Jere Blake,Wales,1899,Forward,9.0,6.0,3.0,0.0,0.0,0.0,Cardiff,Wales
Alfred Brice,Wales,1899,Forward,18.0,12.0,5.0,1.0,8.0,2.0,Somerset,England
Jehoida Hodges,Wales,1899,Forward,23.0,17.0,5.0,1.0,18.0,6.0,Risca,Wales
Willie Llewellyn,Wales,1899,Wing,24.0,18.0,5.0,1.0,60.0,20.0,Tonypandy,Wales
Will Parker,Wales,1899,Forward,2.0,1.0,1.0,0.0,0.0,0.0,Swansea,Wales
Fred Scrine,Wales,1899,Forward,3.0,2.0,1.0,0.0,0.0,0.0,Swansea,Wales
Reg Skrimshire,Wales,1899,Centre,6.0,1.0,3.0,2.0,3.0,1.0,Crickhowell,Wales
George Davies,Wales,1900,Centre,9.0,8.0,1.0,0.0,11.0,1.0,,
Louis Phillips,Wales,1900,Scrum-half,4.0,3.0,1.0,0.0,0.0,0.0,Newport,Wales
Dan Rees,Wales,1900,Centre,5.0,4.0,1.0,0.0,0.0,0.0,Swansea,Wales
Robert Thomas,Wales,1900,Forward,4.0,4.0,0.0,0.0,0.0,0.0,,
Billy Trew,Wales,1900,Centre,29.0,25.0,4.0,0.0,39.0,11.0,Swansea,Wales
Buller Williams,Wales,1900,Forward,4.0,4.0,0.0,0.0,6.0,2.0,Stepney,England
George Dobson,Wales,1900,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Pontypridd,Wales
Bala Jones,Wales,1901,Scrum-half,1.0,1.0,0.0,0.0,0.0,0.0,Aberavon,Wales
Rusty Gabe,Wales,1901,Centre,28.0,21.0,6.0,1.0,36.0,12.0,Llangennech,Wales
Bob Jones,Wales,1901,Forward,1.0,1.0,0.0,0.0,0.0,0.0,Pontypridd,Wales
