"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"John Bentley","England",1871,2,1,1,0,0,NA,"Derbyshire","ENG","circa 1847","Derbyshire"
"Reginald Birkett","England",1871,4,2,1,1,1,NA,"London","ENG","March 28","1849"
"Benjamin Burns","England",1871,1,0,1,0,0,NA,"Perth","AUS","May 28","1848"
"John Clayton","England",1871,1,0,1,0,0,NA,"Liverpool","ENG","August 24","1848"
"Charles Crompton","England",1871,1,0,1,0,0,NA,"Cork","IRE","October 21","1848"
"Alfred Davenport","England",1871,1,0,1,0,0,NA,"Oxford","ENG","May 5","1849"
"John Dugdale","England",1871,1,0,1,0,0,NA,"Salford","ENG","October 15","1851"
"Arthur Gibson","England",1871,1,0,1,0,0,NA,"Hampshire","ENG","July 14","1844"
"Joseph Green","England",1871,1,0,1,0,0,NA,"W Ham","ENG","April 28","1846"
"Arthur Guillemard","England",1871,2,1,1,0,0,NA,"Lewisham","ENG","December 18","1845"
"Alfred Hamersley","England",1871,4,2,1,1,1,NA,"Oxon","ENG","October 8","1848"
"Harry Luscombe","England",1871,1,0,1,0,0,NA,"Kent","ENG","May 25","1848"
"Arthur Lyon","England",1871,1,0,1,0,0,NA,"W Derby","ENG","August 4","1851"
"William MacLaren","England",1871,1,0,1,0,0,NA,"Lancashire","ENG","(guess: regd Q2)","Chorlton"
"Richard Osborne","England",1871,1,0,1,0,0,NA,"Yorks","ENG","May 20","1848"
"Charles Sherrard","England",1871,2,1,1,0,0,NA,"London","ENG","December 25","1848"
"Frederic Stokes","England",1871,3,1,1,1,0,NA,"Greenwich","ENG","July 12","1850"
"Frank Tobin","England",1871,1,0,1,0,0,NA,"Liverpool","ENG","September 23","1849"
"Dawson Turner","England",1871,6,3,1,2,0,NA,"Calcutta","INDIA","December 15","1846"
"Henry Turner","England",1871,1,0,1,0,0,NA,"Sussex","ENG","January 23","1850"
"Thomas Batson","England",1872,3,3,0,0,0,NA,"Hereford","ENG","May 18","1846"
"James Body","England",1872,2,1,0,1,0,NA,"Kent","ENG","September 3","1846"
"James Bush","England",1872,5,3,0,2,0,NA,"Cawnpore","AUS","July 28","1850"
