Opai Asher,95,1903,Wing,1,1,0,0,1,3,Tauranga,New Zealand/Aotearoa,Bay of Plenty,Tauranga City,Tauranga,NewZealand
Reuben Cooke,96,1903,Lock,1,1,0,0,0,0,?,g,n,i,s,NewZealand
Jimmy Duncan,69,1903,Fly-half,1,1,0,0,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Bernard Fanning,108,1903,Lock,2,2,0,0,0,0,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
David Gallaher,97,1903,Wing-forward,6,5,1,0,0,0,Ramelton,Republic of Ireland,County Donegal,Ramelton,Missing,NewZealand
Mickey Kiernan,99,1903,Scrum-half,1,1,0,0,0,0,Wanganui,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District,Whanganui,NewZealand
Paddy Long,100,1903,Lock,1,1,0,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Duncan McGregor,101,1903,Wing,4,3,1,0,6,18,Kaiapoi,New Zealand/Aotearoa,Canterbury,Waimakariri District,Kaiapoi,NewZealand
Dick McGregor,,1903,Fullback,2,2,0,0,1,3,Thames,New Zealand/Aotearoa,Waikato,Thames Coromandel District,Thames,NewZealand
Archibald McMinn,102,1903,Flanker,2,2,0,0,2,6,Marton,United Kingdom,England,North West England,Cheshire East,NewZealand
George Nicholson,103,1903,Lock,4,3,0,1,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Bubs Tyler,106,1903,Prop,7,6,1,0,1,5,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Daniel Udy,90,1903,Prop,1,1,0,0,0,0,Greytown,New Zealand/Aotearoa,Wellington,South Wairarapa District,Greytown,NewZealand
Carbine Wallace,,1903,Wing,11,8,1,2,5,53,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Maurice Wood,91,1903,Five-eighth,2,2,0,0,0,0,Waipawa,New Zealand/Aotearoa,Wellington,South Wairarapa District,Waipawa,NewZealand
Angry Cross,92,1904,Lock,2,2,0,0,1,3,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Billy Glenn,111,1904,Flanker,2,2,0,0,0,0,Greymouth,New Zealand/Aotearoa,West Coast,Grey District,Greymouth,NewZealand
Eric Harper,112,1904,Centre,2,2,0,0,2,6,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Peter Harvey,,1904,Scrum-half,1,1,0,0,0,0,S Rakaia,New Zealand/Aotearoa,Canterbury,Ashburton District,Rakaia River,NewZealand
Paddy McMinn,,1904,Prop,1,1,0,0,0,0,Turkina,____‹Å‹Å_Ù‹è,614056,_™‹—_Ù________‹Å___Ù__ ‹Ü_µ_‚_µ‹—_ç__‹‘__‹ __ ____‹—‹Û__,_™_µ‹—__‹Å___Ù__ __‹—_ç__,NewZealand
Bronco Seeling,115,1904,Flanker,11,9,1,1,2,6,Wanganui,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District,Whanganui,NewZealand
Billy Stead,105,1904,Fly-half,7,7,0,0,0,0,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Robert Bennet,,1905,Centre,1,1,0,0,0,0,Caversham,United Kingdom,England,South East,Reading,NewZealand
Jerry Burgess,,1905,Scrum-half,1,1,0,0,0,0,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Ernie Dodd,83,1905,Prop,1,1,0,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Bolla Francis,,1905,Lock,10,7,1,2,3,16,Wanganui,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District,Whanganui,NewZealand
Colin Gilray,135,1905,Wing,5,3,2,0,1,3,Broughty Ferry,United Kingdom,Scotland,Dundee City,Dundee,NewZealand
Donald Macpherson,136,1905,Wing,3,2,1,0,1,3,Waimate,New Zealand/Aotearoa,Canterbury,Waimate District,Waimate,NewZealand
Charles Purdue,89,1905,Flanker,1,1,0,0,0,0,Mataura,New Zealand/Aotearoa,Southland,Gore District,Mataura,NewZealand
Pat Purdue,,1905,Lock,1,1,0,0,0,0,Dipton,New Zealand/Aotearoa,Southland,Dipton,Missing,NewZealand
William Smith,138,1905,Fly-half,1,1,0,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
John Spencer,110,1905,Lock,2,2,0,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Hubert Turtill,139,1905,Fullback,1,1,0,0,0,0,London,United Kingdom,England,Greater London,London,NewZealand
Eric Watkins,140,1905,Prop,1,1,0,0,0,0,Akaroa,New Zealand/Aotearoa,Canterbury,Christchurch City,Akaroa,NewZealand
Edgar Wrigley,141,1905,Five-eighth,1,1,0,0,1,3,Masterton,New Zealand/Aotearoa,Wellington,Masterton District,Masterton,NewZealand
Steve Casey,,1905,Prop,8,6,1,1,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Bill Cunningham,82,1905,Lock,9,7,0,2,1,3,Rangiaohia,g,n,i,s,NewZealand
Bob Deans,,1905,Centre,5,4,1,0,3,9,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
George Gillett,,1905,Wing-forward,8,6,1,1,1,7,Leeston,New Zealand/Aotearoa,Canterbury,Selwyn District,Leeston,NewZealand
Francis Glasgow,117,1905,Lock,6,5,1,0,3,9,S Dunedin,New Zealand/Aotearoa,9012,Otago,Dunedin City,NewZealand
Jimmy Hunter,118,1905,Five-eighth,11,8,1,2,4,12,Hawera,New Zealand/Aotearoa,Taranaki,South Taranaki District,Hawera,NewZealand
Alexander McDonald,,1905,Flanker,8,7,1,0,3,11,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
James O'Sullivan,,1905,Lock,5,3,1,1,0,0,Okaiawa,New Zealand/Aotearoa,Taranaki,South Taranaki District,Okaiawa,NewZealand
Frederick Roberts,,1905,Scrum-half,12,9,2,1,2,11,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
George Smith,74,1905,Wing,2,2,0,0,2,6,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Simon Mynott,,1905,Fly-half,8,6,1,1,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Frederick Newton,121,1905,Lock,3,2,1,0,1,3,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Bunny Abbott,,1906,Wing,1,1,0,0,2,8,Camerontown,United States of America,South Carolina,Florence County,Lee Crossroads,NewZealand
Ernest Booth,127,1906,Fullback,3,2,0,1,0,0,Teschemakers,New Zealand/Aotearoa,Otago,Waitaki District,Reidston,NewZealand
Bill Mackrell,131,1906,Prop,1,1,0,0,0,0,Milton,United States of America,Massachusetts,Norfolk County,Milton,NewZealand
Ginger Colman,142,1907,Fullback,4,4,0,0,0,2,Hawera,New Zealand/Aotearoa,Taranaki,South Taranaki District,Hawera,NewZealand
Frank Fryer,143,1907,Wing,4,2,0,2,0,0,Riccarton,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Ned Hughes,144,1907,Prop,6,4,1,1,1,3,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Massa Johnston,,1907,Lock,3,2,0,1,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Frank Mitchinson,145,1907,Centre,11,8,1,2,10,32,Lawrence,United States of America,Kansas,Douglas County,Lawrence,NewZealand
Don Cameron,,1908,Wing,3,2,0,1,1,3,Waitara,New Zealand/Aotearoa,Taranaki,New Plymouth District,Waitara,NewZealand
Mona Thomson,,1908,Wing,1,1,0,0,1,3,Napier,New Zealand/Aotearoa,Hawke's Bay,Napier City,Napier,NewZealand
Ranji Wilson,,1908,Flanker,10,7,2,1,2,6,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Paddy Burns,,1908,Centre,5,2,2,1,2,6,Lyttelton,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Doddy Gray,,1908,Fly-half,3,2,0,1,3,9,?,g,n,i,s,NewZealand
Donald Hamilton,,1908,Wing-forward,1,0,0,1,0,0,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Peter Murray,,1908,Prop,1,0,0,1,0,0,Southern Grove,United Kingdom,E3 4PN,England,Greater London,NewZealand
Sandy Paterson,156,1908,Lock,5,3,1,1,1,3,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
William Reedy,157,1908,Prop,2,1,0,1,0,0,Buller,United States of America,Louisiana,Jefferson Davis,Buller,NewZealand
Circus Hayward,158,1908,Flanker,1,1,0,0,1,3,Blenheim,New Zealand/Aotearoa,Marlborough,Blenheim,Missing,NewZealand
Henry Avery,,1910,Wing-forward,3,2,1,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
William Fuller,162,1910,Five-eighth,2,1,1,0,1,3,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Gerald McKellar,167,1910,Flanker,3,2,1,0,0,0,Cromwell,United States of America,89109,Nevada,Clark County,NewZealand
James Maguire,168,1910,Prop,3,2,1,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Joe O'Leary,163,1910,Fullback,4,3,1,0,0,16,Masterton,New Zealand/Aotearoa,Wellington,Masterton District,Masterton,NewZealand
Henry Paton,148,1910,Lock,2,2,0,0,1,3,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Alexander Ridland,,1910,Prop,3,2,1,0,0,0,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Jack Stohr,,1910,Wing,3,2,1,0,2,6,New Plymouth,New Zealand/Aotearoa,Taranaki,New Plymouth District,New Plymouth,NewZealand
Dave Evans,,1910,Lock,1,0,1,0,0,0,Napier,New Zealand/Aotearoa,Hawke's Bay,Napier City,Napier,NewZealand
Billy Mitchell,,1910,Wing,2,1,1,0,1,3,VIC,Australia,Victoria,Missing,Missing,NewZealand
James Ryan,,1910,Five-eighth,4,3,1,0,0,0,Masterton,New Zealand/Aotearoa,Wellington,Masterton District,Masterton,NewZealand
Harry Atkinson,,1913,Lock,1,1,0,0,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Jock Cuthill,174,1913,Fullback,2,2,0,0,0,0,Inverleithen,g,n,i,s,NewZealand
Norkey Dewar,175,1913,Flanker,2,2,0,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Doolan Downing,176,1913,Lock,5,5,0,0,0,0,Napier,New Zealand/Aotearoa,Hawke's Bay,Napier City,Napier,NewZealand
Tiger Lynch,177,1913,Wing,4,4,0,0,4,12,Milton,United States of America,Massachusetts,Norfolk County,Milton,NewZealand
Dougie McGregor,178,1913,Wing,2,2,0,0,1,3,Thames,New Zealand/Aotearoa,Waikato,Thames Coromandel District,Thames,NewZealand
Jock McKenzie,179,1913,Five-eighth,4,4,0,0,5,15,Lyttelton,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Toby Murray,180,1913,Wing-forward,4,4,0,0,3,9,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Dick Roberts,181,1913,Centre,5,5,0,0,7,29,Manaia,New Zealand/Aotearoa,Taranaki,South Taranaki District,Manaia,NewZealand
George Sellars,182,1913,Prop,2,2,0,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Harry Taylor,183,1913,Wing,5,5,0,0,4,12,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Peter Williams,184,1913,Prop,1,1,0,0,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Jim Wylie,185,1913,Lock,2,2,0,0,1,3,Galatea,United States of America,Ohio,Wood County,Galatea,NewZealand
James Baird,190,1913,Centre,1,1,0,0,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Buster Barrett,191,1913,Flanker,2,1,1,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Charles Brown,192,1913,Scrum-half,2,1,1,0,1,3,New Plymouth,New Zealand/Aotearoa,Taranaki,New Plymouth District,New Plymouth,NewZealand
William Cummings,193,1913,Lock,2,1,1,0,1,3,Timaru,New Zealand/Aotearoa,Canterbury,Timaru District,Timaru,NewZealand
William Francis,194,1913,Prop,5,4,1,0,2,6,New Plymouth,New Zealand/Aotearoa,Taranaki,New Plymouth District,New Plymouth,NewZealand
William Geddes,195,1913,Fly-half,1,1,0,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Charles Gillespie,196,1913,Lock,1,1,0,0,0,0,Masterton,New Zealand/Aotearoa,Wellington,Masterton District,Masterton,NewZealand
Edward Hasell,197,1913,Prop,2,1,1,0,1,3,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
John Macky,198,1913,Wing,1,1,0,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
James McNeece,199,1913,Lock,5,4,1,0,1,3,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Augustine Spillane,200,1913,Five-eighth,2,1,1,0,0,0,Geraldine,New Zealand/Aotearoa,Canterbury,Timaru District,Geraldine,NewZealand
James Stewart,201,1913,Wing,2,1,1,0,0,0,Kaiapoi,New Zealand/Aotearoa,Canterbury,Waimakariri District,Kaiapoi,NewZealand
Reginald Taylor,202,1913,Wing-forward,2,1,1,0,1,3,Taranak,g,n,i,s,NewZealand
Eric Cockroft,203,1913,Fullback,3,2,1,0,0,0,Clinton,United States of America,Illinois,Clinton County,Missing,NewZealand
Alfred Fanning,204,1913,Lock,1,0,1,0,1,3,Linwood,United States of America,penna,Delaware County,Linwood,NewZealand
James Tilyard,205,1913,Fly-half,1,0,1,0,0,0,Waratah,Australia,Tasmania,Waratah,Missing,NewZealand
Michael Cain,187,1913,Prop,4,4,0,0,0,0,Waitara,New Zealand/Aotearoa,Taranaki,New Plymouth District,Waitara,NewZealand
James Graham,189,1913,Lock,3,3,0,0,0,10,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Robert Black,211,1914,Fly-half,1,1,0,0,0,0,Arrowtown,New Zealand/Aotearoa,Otago,Queenstown-Lakes District,Arrowtown,NewZealand
John Bruce,186,1914,Flanker,2,2,0,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Sal Irvine,208,1914,Lock,3,3,0,0,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
John O'Brien,210,1914,Fullback,1,1,0,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Teddy Roberts,207,1914,Scrum-half,5,3,1,1,0,4,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
George Aitken,229,1921,Centre,10,8,2,0,0,0,Westport,United States of America,Connecticut,Fairfield County,Westport,NewZealand
Cecil Badeley,215,1921,Fly-half,2,1,1,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Moke Belliss,226,1921,Flanker,3,1,1,1,1,3,Palmerston North,New Zealand/Aotearoa,Manawatu-Wanganui,Palmerston North City,Palmerston North,NewZealand
Jim Donald,218,1921,Wing-forward,2,1,1,0,0,0,Featherston,New Zealand/Aotearoa,Wellington,South Wairarapa District,Featherston,NewZealand
Bill Duncan,219,1921,Prop,3,1,1,1,0,0,Port Chalmers,New Zealand/Aotearoa,Otago,Dunedin City,Port Chalmers,NewZealand
Richard Fogarty,230,1921,Prop,2,1,0,1,0,0,Matakanui,g,n,i,s,NewZealand
Nipper Kingstone,231,1921,Fullback,3,1,1,1,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Jim Moffitt,222,1921,Lock,3,1,1,1,0,0,Waikaia,New Zealand/Aotearoa,Southland,Waikaia,Missing,NewZealand
Ginger Nicholls,232,1921,Scrum-half,1,1,0,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Mark Nicholls,233,1921,Five-eighth,10,8,1,1,0,48,Greytown,New Zealand/Aotearoa,Wellington,South Wairarapa District,Greytown,NewZealand
Jock Richardson,234,1921,Lock,7,5,1,1,1,3,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
John Steel,223,1921,Wing,6,4,1,1,3,9,Dillmanstown,g,n,i,s,NewZealand
Percival Storey,224,1921,Wing,2,1,1,0,1,3,Temuka,New Zealand/Aotearoa,Canterbury,Timaru District,Temuka,NewZealand
Son White,235,1921,Flanker,4,4,0,0,1,3,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Andrew McLean,236,1921,Lock,2,0,1,1,1,3,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Alfred West,225,1921,Flanker,2,0,1,1,0,0,Inglewood,United States of America,California,Los Angeles County,Inglewood,NewZealand
Billy Fea,248,1921,Fly-half,1,0,0,1,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Charles Fletcher,240,1921,Flanker,1,0,0,1,0,0,Rewiti,New Zealand/Aotearoa,1050,Auckland,Orakei,NewZealand
Karl Ifwersen,249,1921,Five-eighth,1,0,0,1,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Stanley Siddells,250,1921,Wing,1,0,0,1,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Maurice Brownlie,261,1924,Lock,8,6,2,0,2,6,Wanganui,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District,Whanganui,NewZealand
Bert Cooke,,1924,Five-eighth,8,7,1,0,4,12,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Les Cupples,252,1924,Flanker,2,2,0,0,0,0,Otautau,New Zealand/Aotearoa,Southland,Otautau,Missing,NewZealand
Bill Dalley,,1924,Scrum-half,5,3,2,0,0,0,Lyttelton,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Quentin Donald,,1924,Prop,4,4,0,0,0,0,Featherston,New Zealand/Aotearoa,Wellington,South Wairarapa District,Featherston,NewZealand
Augustine Hart,293,1924,Wing,1,1,0,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Bull Irvine,,1924,Prop,5,4,1,0,3,9,Wairapapa,g,n,i,s,NewZealand
Frederick Lucas,,1924,Centre,7,6,1,0,1,3,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Read Masters,,1924,Lock,4,4,0,0,0,0,Picton,United Kingdom,England,North West England,Cheshire West and Chester,NewZealand
George Nepia,295,1924,Fullback,9,7,2,0,0,5,Wairoa,New Zealand/Aotearoa,Hawke's Bay,Wairoa District,Wairoa,NewZealand
James Parker,299,1924,Wing-forward,3,3,0,0,1,3,Lyttelton,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Snowy Svenson,258,1924,Wing,4,4,0,0,4,12,Toowoomba,Australia,Queensland,Toowoomba,Missing,NewZealand
Cyril Brownlie,291,1924,Lock,3,3,0,0,0,0,Wanganui,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District,Whanganui,NewZealand
Neil McGregor,298,1924,Fly-half,2,2,0,0,0,0,Lowburn,United Kingdom,England,Yorkshire and the Humber,North Yorkshire,NewZealand
Jimmy Mill,267,1924,Scrum-half,4,3,1,0,0,0,Tokomaru Bay,New Zealand/Aotearoa,Gisborne,Tokomaru Bay,Missing,NewZealand
Cliff Porter,286,1925,Wing-forward,7,4,3,0,4,12,Edinburgh,United Kingdom,Scotland,City of Edinburgh,Missing,NewZealand
Geoff Alley,,1928,Lock,3,1,2,0,0,0,Amberley,United Kingdom,England,South East,West Sussex,NewZealand
Syd Carleton,,1928,Centre,6,1,5,0,0,0,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Bunny Finlayson,,1928,Lock,6,3,3,0,0,0,Maungaturoto,New Zealand/Aotearoa,Northland,Kaipara District,Maungaturoto,NewZealand
Bert Grenside,,1928,Wing,6,2,4,0,3,9,Hastings,United Kingdom,England,South East,East Sussex,NewZealand
Swin Hadley,,1928,Prop,4,2,2,0,0,0,Whangaroa,New Zealand/Aotearoa,Northland,Far North District,Whangaroa,NewZealand
William Hazlett,,1928,Flanker,8,5,3,0,0,0,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Lancelot Johnson,,1928,Fly-half,4,2,2,0,0,0,Lumsden,New Zealand/Aotearoa,Southland,Lumsden,Missing,NewZealand
David Lindsay,,1928,Fullback,3,1,2,0,0,3,Studholm,Canada,E3B3E7,New Brunswick,York County,NewZealand
Alan Robilliard,,1928,Wing,4,2,2,0,0,0,Ashburton,United Kingdom,England,South West England,Devon,NewZealand
George Scrimshaw,,1928,Wing-forward,1,0,1,0,0,0,Islington,United Kingdom,N1,England,Greater London,NewZealand
Ronald Stewart,,1928,Wing-forward,5,3,2,0,1,3,Waikaia,New Zealand/Aotearoa,Southland,Waikaia,Missing,NewZealand
William Strang,,1928,Fly-half,5,4,1,0,1,13,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Tuna Swain,,1928,Prop,4,2,2,0,1,3,NSW,Australia,New South Wales,Missing,Missing,NewZealand
Reuben McWilliams,,1928,Flanker,10,5,5,0,1,3,Paeroa,New Zealand/Aotearoa,Waikato,Hauraki District,Paeroa,NewZealand
Herb Lilburne,,1928,Fly-half,10,3,6,1,0,4,Burnham,United States of America,Illinois,Cook County,Burnham,NewZealand
Ian Harvey,,1928,Lock,1,1,0,0,0,0,Masterton,New Zealand/Aotearoa,Wellington,Masterton District,Masterton,NewZealand
Beau Cottrell,,1929,Prop,11,6,5,0,0,0,Westport,United States of America,Connecticut,Fairfield County,Westport,NewZealand
John Geddes,,1929,Wing,1,0,1,0,0,0,Invercargill,New Zealand/Aotearoa,Southland,Invercargill City,Invercargill,NewZealand
Bill Heke,,1929,Lock,3,0,3,0,0,0,King Country,United States of America,23011,Virginia,New Kent County,NewZealand
Lew Hook,,1929,Centre,3,0,3,0,0,0,Puni,Tanzania,Lake,Shinyanga,Shinyanga Rural,NewZealand
Charles Oliver,,1929,Five-eighth,7,2,5,0,2,6,Wanganui,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District,Whanganui,NewZealand
Keith Reid,,1929,Prop,2,0,2,0,0,0,Clareville,United States of America,Texas,Bee County,Clareville,NewZealand
Wattie Reside,,1929,Lock,1,0,1,0,0,0,Masterton,New Zealand/Aotearoa,Wellington,Masterton District,Masterton,NewZealand
Fritz Snow,,1929,Flanker,3,0,3,0,0,0,Nelson,New Zealand/Aotearoa,Nelson,Missing,Missing,NewZealand
Charles Sonntag,,1929,Lock,3,0,3,0,0,0,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Jack Tuck,,1929,Scrum-half,3,0,3,0,0,0,Tikokino,New Zealand/Aotearoa,Hawke's Bay,Central Hawke's Bay District,Tikokino,NewZealand
Alfred Waterman,,1929,Wing,2,0,2,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
Clinton Stringfellow,,1929,Centre,2,0,2,0,1,3,Chertsey,United Kingdom,England,South East,Surrey,NewZealand
Alfred Kivell,,1929,Lock,2,0,2,0,0,0,Thames,New Zealand/Aotearoa,Waikato,Thames Coromandel District,Thames,NewZealand
Bertram Palmer,,1929,Hooker,3,2,1,0,1,3,Mosstown,Republic of Ireland,Leinster,County Longford,Mosstown,NewZealand
Rawi Cundy,,1929,Wing-forward,1,0,1,0,0,3,Featherston,New Zealand/Aotearoa,Wellington,South Wairarapa District,Featherston,NewZealand
Tiny Leys,,1929,Scrum-half,1,0,1,0,0,0,Wellington,New Zealand/Aotearoa,Wellington,Wellington City,Wellington,NewZealand
Walter Batty,,1930,Flanker,4,3,1,0,1,3,1905,Alg’©rie ¿_ªÜ¿Œ¿_¿_¿_¿±,S’©tif - ¿_¿àª_ªÅ_—_,Da’Àra Salah Bey,Boutaleb,NewZealand
George Hart,,1930,Wing,11,8,3,0,7,21,Christchurch,New Zealand/Aotearoa,Canterbury,Christchurch City,Christchurch,NewZealand
Don Oliver,,1930,Wing,2,1,1,0,1,3,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Edward Steere,,1930,Lock,6,4,2,0,0,0,Raetihi,New Zealand/Aotearoa,Manawatu-Wanganui,Ruapehu District,Raetihi,NewZealand
Merv Corner,,1930,Scrum-half,6,4,2,0,0,0,Auckland,New Zealand/Aotearoa,Auckland,Missing,Missing,NewZealand
John Hore,,1930,Prop,10,6,3,1,3,9,Dunedin,New Zealand/Aotearoa,Otago,Dunedin City,Dunedin,NewZealand
Hugh McLean,,1930,Flanker,9,5,4,0,3,9,Wanganui,New Zealand/Aotearoa,Manawatu-Wanganui,Wanganui District,Whanganui,NewZealand
Kelly Ball,,1931,Wing,5,3,2,0,4,12,Foxton,United Kingdom,England,East of England,Cambridgeshire,NewZealand
Ron Bush,,1931,Fullback,1,1,0,0,0,14,Nelson,New Zealand/Aotearoa,Nelson,Missing,Missing,NewZealand
